policy_id,scope,support_weeks,mean_return,median_return,mean_spread_vs_b0,median_spread_vs_b0,beat_b0_rate,spread_ci_low,spread_ci_high,mean_stop_delta_pp,ruin_week_delta_pp,full3_rate,mean_added_pick_return,median_added_pick_return
B0_ORIGINAL,all_mature,41,3.6288398536585365,2.364088666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853658536585366,,
B0_ORIGINAL,underfilled_only,17,2.655338745098039,2.364088666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
B0_FILL3_RELAX_INDUSTRY,all_mature,41,3.3261999186991873,1.897781666666667,-0.3026399349593496,0.0,0.0,-0.823151,0.0,1.6260162601626014,4.878048780487805,0.6097560975609756,-18.612356,-18.612356
B0_FILL3_RELAX_INDUSTRY,underfilled_only,17,1.925442431372549,1.2055353333333334,-0.7298963137254902,0.0,0.0,-1.780805,0.0,3.92156862745098,11.76470588235294,0.058823529411764705,-18.612356,-18.612356
B0_FILL3_EPS_ONLY,all_mature,41,3.847071365853658,2.4322916666666665,0.21823151219512196,0.0,0.07317073170731707,-0.03325,0.71493,0.8130081300813007,2.4390243902439024,0.6097560975609756,6.710619,4.619635
B0_FILL3_EPS_ONLY,underfilled_only,17,3.1816618039215685,2.4322916666666665,0.5263230588235295,0.0,0.17647058823529413,-0.080192,1.648529,1.96078431372549,5.88235294117647,0.058823529411764705,6.710619,4.619635
B0_FILL3_SINGLE_REJECT,all_mature,41,4.488968040650407,4.299613,0.86012818699187,0.0,0.2682926829268293,-0.16966,2.908282,8.130081300813007,7.317073170731707,1.0,3.3685749999999994,3.1727879999999997
B0_FILL3_SINGLE_REJECT,underfilled_only,17,4.729765549019608,5.641863333333333,2.0744268039215683,1.9733780000000003,0.6470588235294118,-0.907901,5.631287,19.607843137254903,17.647058823529413,1.0,3.3685749999999994,3.1727879999999997
B0_FILL3_ANY_REJECT,all_mature,41,4.866380430894309,4.299613,1.2375405772357722,0.0,0.2926829268292683,0.22557,3.019775,7.317073170731708,7.317073170731707,1.0,4.427151147058823,5.231802333333333
B0_FILL3_ANY_REJECT,underfilled_only,17,5.639995431372548,5.641863333333333,2.9846566862745094,2.1151919999999995,0.7058823529411765,0.290585,5.835659,17.647058823529413,17.647058823529413,1.0,4.427151147058823,5.231802333333333
