snapshot_date,policy_id,underfill_cause,original_pick_count,pick_count,full3,original_codes,codes,added_codes,added_reasons,mature,capital_adjusted_return,selection_quality_return,capital_stop8_pct,one_pick_ruined,added_pick_count,added_selection_quality_return,added_stop8_pct
2025-10-10,B0_ORIGINAL,ELIGIBILITY_SHORTAGE,0,0,False,[],[],[],{},True,0.0,,0.0,False,0,,
2025-10-10,B0_FILL3_RELAX_INDUSTRY,ELIGIBILITY_SHORTAGE,0,0,False,[],[],[],{},True,0.0,,0.0,False,0,,
2025-10-10,B0_FILL3_EPS_ONLY,ELIGIBILITY_SHORTAGE,0,0,False,[],[],[],{},True,0.0,,0.0,False,0,,
2025-10-10,B0_FILL3_SINGLE_REJECT,ELIGIBILITY_SHORTAGE,0,3,True,[],"[""RIOT"", ""TEM"", ""ANET""]","[""RIOT"", ""TEM"", ""ANET""]","{""ANET"": [""non_actionable""], ""RIOT"": [""non_actionable""], ""TEM"": [""non_actionable""]}",True,-19.070733333333333,-19.070733333333333,100.0,True,3,-19.070733333333333,100.0
2025-10-10,B0_FILL3_ANY_REJECT,ELIGIBILITY_SHORTAGE,0,3,True,[],"[""RIOT"", ""GSK"", ""ANET""]","[""RIOT"", ""GSK"", ""ANET""]","{""ANET"": [""non_actionable""], ""GSK"": [""non_actionable"", ""eps_unknown""], ""RIOT"": [""non_actionable""]}",True,-8.188908333333332,-8.188908333333332,66.66666666666666,True,3,-8.188908333333332,66.66666666666666
2025-10-24,B0_ORIGINAL,ELIGIBILITY_SHORTAGE,2,2,False,"[""IBM"", ""AAPL""]","[""IBM"", ""AAPL""]",[],{},True,1.2055353333333334,1.8083030000000002,0.0,False,0,,
2025-10-24,B0_FILL3_RELAX_INDUSTRY,ELIGIBILITY_SHORTAGE,2,2,False,"[""IBM"", ""AAPL""]","[""IBM"", ""AAPL""]",[],{},True,1.2055353333333334,1.8083030000000002,0.0,False,0,,
2025-10-24,B0_FILL3_EPS_ONLY,ELIGIBILITY_SHORTAGE,2,2,False,"[""IBM"", ""AAPL""]","[""IBM"", ""AAPL""]",[],{},True,1.2055353333333334,1.8083030000000002,0.0,False,0,,
2025-10-24,B0_FILL3_SINGLE_REJECT,ELIGIBILITY_SHORTAGE,2,3,True,"[""IBM"", ""AAPL""]","[""IBM"", ""AAPL"", ""HWM""]","[""HWM""]","{""HWM"": [""non_actionable""]}",True,1.0511143333333335,1.0511143333333335,0.0,False,1,-0.463263,0.0
2025-10-24,B0_FILL3_ANY_REJECT,ELIGIBILITY_SHORTAGE,2,3,True,"[""IBM"", ""AAPL""]","[""IBM"", ""AAPL"", ""HWM""]","[""HWM""]","{""HWM"": [""non_actionable""]}",True,1.0511143333333335,1.0511143333333335,0.0,False,1,-0.463263,0.0
2025-10-31,B0_ORIGINAL,ELIGIBILITY_SHORTAGE,2,2,False,"[""VTR"", ""SOFI""]","[""VTR"", ""SOFI""]",[],{},True,2.637856,3.9567840000000003,33.33333333333333,True,0,,
2025-10-31,B0_FILL3_RELAX_INDUSTRY,ELIGIBILITY_SHORTAGE,2,2,False,"[""VTR"", ""SOFI""]","[""VTR"", ""SOFI""]",[],{},True,2.637856,3.9567840000000003,33.33333333333333,True,0,,
2025-10-31,B0_FILL3_EPS_ONLY,ELIGIBILITY_SHORTAGE,2,2,False,"[""VTR"", ""SOFI""]","[""VTR"", ""SOFI""]",[],{},True,2.637856,3.9567840000000003,33.33333333333333,True,0,,
2025-10-31,B0_FILL3_SINGLE_REJECT,ELIGIBILITY_SHORTAGE,2,3,True,"[""VTR"", ""SOFI""]","[""VTR"", ""SOFI"", ""HOOD""]","[""HOOD""]","{""HOOD"": [""non_actionable""]}",True,-3.086094999999999,-3.086094999999999,66.66666666666666,True,1,-17.171853,99.99999999999999
2025-10-31,B0_FILL3_ANY_REJECT,ELIGIBILITY_SHORTAGE,2,3,True,"[""VTR"", ""SOFI""]","[""VTR"", ""SOFI"", ""HOOD""]","[""HOOD""]","{""HOOD"": [""non_actionable""]}",True,-3.086094999999999,-3.086094999999999,66.66666666666666,True,1,-17.171853,99.99999999999999
2025-11-07,B0_ORIGINAL,ELIGIBILITY_SHORTAGE,1,1,False,"[""COLL""]","[""COLL""]",[],{},True,4.367327666666667,13.101983,0.0,False,0,,
2025-11-07,B0_FILL3_RELAX_INDUSTRY,ELIGIBILITY_SHORTAGE,1,2,False,"[""COLL""]","[""COLL"", ""SEDG""]","[""SEDG""]","{""SEDG"": []}",True,-4.565396333333333,-6.8480945,33.33333333333333,True,1,-26.798172,99.99999999999999
2025-11-07,B0_FILL3_EPS_ONLY,ELIGIBILITY_SHORTAGE,1,1,False,"[""COLL""]","[""COLL""]",[],{},True,4.367327666666667,13.101983,0.0,False,0,,
