raw_count,covered_count,price_coverage,primary_valid,eligible_count,accept_rate,winner_count,winner_retained_by_eligibility,winner_retention_rate,winner_captured_by_b0,winner_capture_rate_b0,rejected_count,rejected_winner_count,rejected_winner_rate,bottom_loser_count,bottom_loser_retained_count,bottom_loser_rejected_count,bottom_loser_rejection_rate,big_winner_count,big_winner_retained_count,big_winner_retention_rate,eligible_next_open_w4_mean,rejected_next_open_w4_mean,gate_mean_lift,selected_count,expected_random_matched_n_winner_capture,expected_random_fixed3_winner_capture,snapshot_date
12,12,1.0,True,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,3.0,0.25,3.0,0.0,3.0,1.0,2.0,0.0,0.0,,-3.1527904166666665,,0.0,0.0,0.75,2025-10-10
29,29,1.0,True,2.0,0.06896551724137931,6.0,0.0,0.0,0.0,0.0,27.0,6.0,0.2222222222222222,6.0,0.0,6.0,1.0,3.0,0.0,0.0,1.8083030000000002,-1.9923861851851852,3.8006891851851856,2.0,0.41379310344827586,0.6206896551724138,2025-10-24
28,27,0.9642857142857143,False,2.0,0.07407407407407407,6.0,1.0,0.16666666666666666,1.0,0.16666666666666666,25.0,5.0,0.2,6.0,0.0,6.0,1.0,0.0,0.0,,3.9567840000000003,-7.5669026399999995,11.52368664,2.0,0.4444444444444444,0.6666666666666666,2025-10-31
15,15,1.0,True,2.0,0.13333333333333333,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,13.0,2.0,0.15384615384615385,3.0,1.0,2.0,0.6666666666666666,1.0,0.0,0.0,-6.8480945,1.1701479230769238,-8.018242423076924,1.0,0.2,0.6,2025-11-07
18,17,0.9444444444444444,False,3.0,0.17647058823529413,4.0,0.0,0.0,0.0,0.0,14.0,4.0,0.2857142857142857,4.0,1.0,3.0,0.75,0.0,0.0,,-6.098831333333334,4.132435571428571,-10.231266904761906,3.0,0.7058823529411765,0.7058823529411765,2025-11-14
8,8,1.0,True,1.0,0.125,2.0,1.0,0.5,1.0,0.5,7.0,1.0,0.14285714285714285,2.0,0.0,2.0,1.0,0.0,0.0,,7.092266,-3.283633714285714,10.375899714285715,1.0,0.25,0.75,2025-11-21
36,35,0.9722222222222222,False,3.0,0.08571428571428572,7.0,1.0,0.14285714285714285,1.0,0.14285714285714285,32.0,6.0,0.1875,7.0,0.0,7.0,1.0,1.0,0.0,0.0,5.472503333333333,0.6831170312500001,4.789386302083333,3.0,0.6,0.6,2025-11-28
30,29,0.9666666666666667,False,1.0,0.034482758620689655,6.0,0.0,0.0,0.0,0.0,28.0,6.0,0.21428571428571427,6.0,0.0,6.0,1.0,1.0,0.0,0.0,0.921433,2.8202590357142854,-1.8988260357142854,1.0,0.20689655172413793,0.6206896551724138,2025-12-05
26,26,1.0,True,0.0,0.0,6.0,0.0,0.0,0.0,0.0,26.0,6.0,0.23076923076923078,6.0,0.0,6.0,1.0,2.0,0.0,0.0,,4.1048135384615385,,0.0,0.0,0.6923076923076923,2025-12-12
19,19,1.0,True,8.0,0.42105263157894735,4.0,3.0,0.75,1.0,0.25,11.0,1.0,0.09090909090909091,4.0,1.0,3.0,0.75,2.0,1.0,0.5,5.9504927499999996,-1.093361,7.043853749999999,3.0,0.631578947368421,0.631578947368421,2025-12-19
