offset,weeks,value_mean,value_median,value_positive_rate,benchmark_mean,spread_mean,spread_median,spread_positive_rate,comparison
0,6,4.1889,2.8647,0.833333,2.074101,2.114799,1.619744,0.833333,active_choice_b0_vs_eligible_random
1,5,3.824887,7.624067,0.6,2.662152,1.162734,1.94762,0.6,active_choice_b0_vs_eligible_random
2,5,1.431147,3.772733,0.6,-0.372464,1.803611,1.730261,0.8,active_choice_b0_vs_eligible_random
3,5,9.331313,6.938633,0.6,1.302378,8.028935,5.355915,0.8,active_choice_b0_vs_eligible_random
0,6,3.250179,0.274609,0.5,2.805934,0.444245,-1.919746,0.333333,b0_vs_raw_fixed3_next_open
1,6,0.884431,1.818913,0.666667,4.51404,-3.629609,-1.591668,0.5,b0_vs_raw_fixed3_next_open
2,5,4.447811,4.367328,0.8,3.70663,0.74118,0.687994,0.6,b0_vs_raw_fixed3_next_open
3,5,8.476755,2.364089,0.6,6.719307,1.757448,3.313512,0.6,b0_vs_raw_fixed3_next_open
0,6,6.636886,7.622489,0.833333,3.250179,3.386708,6.46716,0.666667,momentum20_vs_b0_next_open
1,6,13.931969,3.975056,0.833333,0.884431,13.047538,5.123724,0.833333,momentum20_vs_b0_next_open
2,5,7.017154,10.346469,0.8,4.447811,2.569343,-0.369289,0.4,momentum20_vs_b0_next_open
3,5,19.791291,3.794633,0.8,8.476755,11.314536,8.109169,0.6,momentum20_vs_b0_next_open
