code,eligible_rank,rank_bucket,w4_return_pct,w4_stop8,selected,snapshot_date
IBM,1,rank_1_3,-2.8333,False,True,2025-10-24
AAPL,2,rank_1_3,2.5918,False,True,2025-10-24
VTR,1,rank_1_3,10.3583,False,True,2025-10-31
SOFI,2,rank_1_3,0.2023,True,True,2025-10-31
COLL,1,rank_1_3,13.102,False,True,2025-11-07
SEDG,2,rank_1_3,-28.9873,True,False,2025-11-07
ALL,1,rank_1_3,-3.269,False,True,2025-11-14
LH,2,rank_1_3,-0.3111,False,True,2025-11-14
LYFT,3,rank_1_3,-11.1644,True,True,2025-11-14
WMT,1,rank_1_3,8.7672,False,True,2025-11-21
MNST,1,rank_1_3,2.6557,False,True,2025-11-28
ROST,2,rank_1_3,3.4522,False,True,2025-11-28
WFC,3,rank_1_3,10.9901,False,True,2025-11-28
DASH,1,rank_1_3,-2.1634,False,True,2025-12-05
SCHW,1,rank_1_3,4.2808,False,True,2025-12-19
PLTR,2,rank_1_3,-12.3462,True,True,2025-12-19
MU,3,rank_1_3,30.9376,False,True,2025-12-19
HLT,4,rank_4_6,2.7955,False,False,2025-12-19
HWM,5,rank_4_6,9.7025,False,False,2025-12-19
RTX,6,rank_4_6,10.4201,False,False,2025-12-19
LLY,7,rank_7_10,-3.5584,False,False,2025-12-19
CHRW,8,rank_7_10,5.3721,False,False,2025-12-19
HEI,1,rank_1_3,0.0988,False,True,2025-12-26
HUT,2,rank_1_3,19.4501,False,True,2025-12-26
FTAI,1,rank_1_3,28.0439,False,True,2026-01-02
GH,1,rank_1_3,-9.8673,True,True,2026-01-09
BKR,1,rank_1_3,18.4504,False,True,2026-01-16
FE,2,rank_1_3,7.6282,False,True,2026-01-16
BTU,3,rank_1_3,-4.7672,False,False,2026-01-16
MTB,1,rank_1_3,8.7447,False,True,2026-01-23
MDT,2,rank_1_3,-4.0508,False,True,2026-01-23
HON,1,rank_1_3,8.2013,False,True,2026-01-30
