snapshot_date,pick_count,fixed_capacity_pick_count,raw_count,covered_count,coverage,primary_valid,b0_return,b0_selection_quality,raw_equal_weight_mean,fixed_random_mean,fixed_random_median,fixed_random_p25,fixed_random_p75,fixed_b0_percentile,fixed_oracle,fixed_edge_vs_random_mean,fixed_oracle_capture_ratio,fixed_oracle_codes,fixed_distribution_method,fixed_distribution_theoretical_combinations_before_constraints,fixed_distribution_evaluated_portfolios,fixed_distribution_mc_percentile_se_max_pp,matched_random_mean,matched_random_median,matched_random_p25,matched_random_p75,matched_b0_percentile,matched_oracle,matched_edge_vs_random_mean,matched_oracle_capture_ratio,matched_oracle_codes,matched_distribution_method,matched_distribution_theoretical_combinations_before_constraints,matched_distribution_evaluated_portfolios,matched_distribution_mc_percentile_se_max_pp
2025-10-10,0,3,12,12,1.0,True,0.0,,-3.152790416666667,0.202975,0.00564,-10.626323,8.861299,50.0,33.17309,-0.202975,-0.006156,"[""GH"", ""SANM"", ""GSK""]",exact,220.0,130.0,0.0,,,,,,,,,,,,,
2025-10-24,2,3,29,29,1.0,True,1.2055353333333334,1.8083030000000002,-1.7302696896551724,0.416531,-0.382688,-5.140866,5.173611,58.4531,31.953966,0.789004,0.025018,"[""GH"", ""NTRA"", ""GOOG""]",exact,3654.0,2366.0,0.0,-0.298416,-1.214861,-4.766165,2.931898,66.185,25.282013,1.503951,0.058793,"[""GH"", ""NTRA""]",exact,406.0,346.0,0.0
2025-10-31,2,3,28,27,0.9642857142857143,False,2.637856,3.9567840000000003,-6.7132962222222226,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-07,1,3,15,15,1.0,True,4.367327666666667,13.101983,0.10104893333333381,0.987242,0.798182,-2.967188,4.210647,76.9841,14.787371,3.380086,0.244931,"[""FIGS"", ""VTR"", ""GH""]",exact,455.0,252.0,0.0,0.033683,0.118994,-2.329106,2.0725,93.3333,10.409491,4.333645,0.417668,"[""FIGS""]",exact,15.0,15.0,0.0
2025-11-14,3,3,18,17,0.9444444444444444,False,-6.098831333333334,-6.098831333333334,2.326917882352941,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-21,1,3,8,8,1.0,True,2.364088666666667,7.092266,-1.9866462500000002,-2.2571,-1.871457,-6.437136,1.665609,77.5,6.684667,4.621188,0.516809,"[""BTSG"", ""WMT"", ""ROST""]",exact,56.0,40.0,0.0,-0.662215,-0.543177,-1.377056,1.7041,87.5,2.836474,3.026304,0.864982,"[""BTSG""]",exact,8.0,8.0,0.0
2025-11-28,3,3,36,35,0.9722222222222222,False,5.472503333333333,5.472503333333333,1.093635857142857,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05,1,3,30,29,0.9666666666666667,False,0.3071443333333333,0.921433,2.754782275862069,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12,0,3,26,26,1.0,True,0.0,,4.104813538461539,4.166476,3.417639,0.737691,6.667896,18.4556,23.576702,-4.166476,-0.214654,"[""FEIM"", ""ASTS"", ""HWM""]",exact,2600.0,1826.0,0.0,,,,,,,,,,,,,
2025-12-19,3,3,19,19,1.0,True,7.624064,7.624064,1.8724721578947368,2.713956,1.526433,-1.834524,7.056237,76.3081,22.778679,4.910108,0.244713,"[""RKLB"", ""MU"", ""CHRW""]",exact,969.0,688.0,0.0,2.713956,1.526433,-1.834524,7.056237,76.3081,22.778679,4.910108,0.244713,"[""RKLB"", ""MU"", ""CHRW""]",exact,969.0,688.0,0.0
