comparison,quarter,support_weeks,total_snapshots,support_rate
raw_fixed3_primary,2025Q4,7,11,0.6363636363636364
raw_fixed3_primary,2026Q1,12,12,1.0
raw_fixed3_primary,2026Q2,1,13,0.07692307692307693
raw_fixed3_primary,2026Q3,2,6,0.3333333333333333
simple_closest_to_trigger,2025Q4,7,11,0.6363636363636364
simple_closest_to_trigger,2026Q1,12,12,1.0
simple_closest_to_trigger,2026Q2,1,13,0.07692307692307693
simple_closest_to_trigger,2026Q3,2,6,0.3333333333333333
simple_entry_volume,2025Q4,6,11,0.5454545454545454
simple_entry_volume,2026Q1,10,12,0.8333333333333334
simple_entry_volume,2026Q2,1,13,0.07692307692307693
simple_entry_volume,2026Q3,2,6,0.3333333333333333
simple_eps,2025Q4,7,11,0.6363636363636364
simple_eps,2026Q1,12,12,1.0
simple_eps,2026Q2,1,13,0.07692307692307693
simple_eps,2026Q3,2,6,0.3333333333333333
simple_momentum_20,2025Q4,7,11,0.6363636363636364
simple_momentum_20,2026Q1,12,12,1.0
simple_momentum_20,2026Q2,1,13,0.07692307692307693
simple_momentum_20,2026Q3,2,6,0.3333333333333333
