model,segment,horizon,weeks,median_spread_pct,mean_spread_pct,beat_b0_pct,stop_delta_pct
f1_elastic_w1,contaminated_validation,W1,11,-0.15840000000000004,-0.5456151515151515,36.36363636363637,6.06060606060606
f1_elastic_w1,contaminated_validation,W2,11,0.0,-1.0680454545454543,45.45454545454545,6.06060606060606
f1_elastic_w1,contaminated_validation,W3,10,-0.08261666666666656,-0.7377233333333334,40.0,13.333333333333334
f1_elastic_w1,contaminated_validation,W4,9,-3.7766,-1.8962851851851852,22.22222222222222,22.22222222222222
f1_elastic_w1,train_oof,W1,8,0.0,-1.7168916666666665,37.5,12.5
f1_elastic_w1,train_oof,W2,8,-0.7026833333333333,-3.0863416666666663,25.0,12.5
f1_elastic_w1,train_oof,W3,8,-0.6490166666666668,-3.703204166666667,12.5,20.833333333333332
f1_elastic_w1,train_oof,W4,8,-1.0710833333333336,-3.4355624999999996,12.5,16.666666666666664
f1_elastic_w2,contaminated_validation,W1,11,-1.6824333333333334,-0.6226121212121213,27.27272727272727,9.090909090909092
f1_elastic_w2,contaminated_validation,W2,11,-0.9595999999999991,-1.4850939393939393,45.45454545454545,9.090909090909092
f1_elastic_w2,contaminated_validation,W3,10,-0.7404999999999999,-1.6431733333333334,40.0,16.666666666666664
f1_elastic_w2,contaminated_validation,W4,9,-2.8759000000000015,-2.4352851851851853,22.22222222222222,25.925925925925924
f1_elastic_w2,train_oof,W1,8,0.0,-1.8368791666666664,37.5,8.333333333333332
f1_elastic_w2,train_oof,W2,8,-0.13101666666666664,-2.3901166666666667,25.0,8.333333333333332
f1_elastic_w2,train_oof,W3,8,-1.0792166666666663,-3.1590333333333334,12.5,12.5
f1_elastic_w2,train_oof,W4,8,-1.3253333333333335,-3.247533333333333,25.0,8.333333333333334
f1_elastic_w4,contaminated_validation,W1,11,0.2942666666666667,-0.6688,54.54545454545454,6.06060606060606
f1_elastic_w4,contaminated_validation,W2,11,0.03393333333333337,-0.7692151515151512,54.54545454545454,12.12121212121212
f1_elastic_w4,contaminated_validation,W3,10,0.6227666666666666,-0.43776333333333356,50.0,16.666666666666668
f1_elastic_w4,contaminated_validation,W4,9,-4.892333333333333,-3.0688518518518517,22.22222222222222,22.22222222222222
f1_elastic_w4,train_oof,W1,8,-2.2363166666666667,-2.993104166666667,37.5,16.666666666666664
f1_elastic_w4,train_oof,W2,8,-1.8910666666666667,-4.3894,37.5,16.666666666666664
f1_elastic_w4,train_oof,W3,8,-3.787016666666667,-6.3872625,12.5,25.0
f1_elastic_w4,train_oof,W4,8,-3.015916666666667,-5.727716666666666,25.0,20.833333333333336
f1_lgbm_w1,contaminated_validation,W1,11,-1.561433333333333,-0.6071757575757576,36.36363636363637,6.06060606060606
f1_lgbm_w1,contaminated_validation,W2,11,-2.780033333333334,-1.0229272727272727,36.36363636363637,0.0
f1_lgbm_w1,contaminated_validation,W3,10,-3.0221000000000005,-3.1858933333333335,10.0,10.0
f1_lgbm_w1,contaminated_validation,W4,9,-7.370566666666667,-6.738766666666667,0.0,11.11111111111111
f1_lgbm_w1,train_oof,W1,8,-0.6531500000000001,-0.8718541666666666,25.0,-4.166666666666666
f1_lgbm_w1,train_oof,W2,8,-0.19224999999999995,-1.8159500000000002,12.5,4.166666666666666
f1_lgbm_w1,train_oof,W3,8,-0.7512833333333324,-4.154770833333333,25.0,8.333333333333332
f1_lgbm_w1,train_oof,W4,8,-2.0314999999999994,-6.626474999999999,25.0,4.166666666666666
f1_lgbm_w2,contaminated_validation,W1,11,-1.2380666666666666,-0.9459212121212122,27.27272727272727,9.090909090909092
f1_lgbm_w2,contaminated_validation,W2,11,-0.8409999999999993,-2.89540303030303,27.27272727272727,9.090909090909088
f1_lgbm_w2,contaminated_validation,W3,10,-4.5328333333333335,-5.388809999999999,10.0,16.666666666666664
f1_lgbm_w2,contaminated_validation,W4,9,-6.862133333333333,-7.814362962962964,0.0,25.925925925925924
f1_lgbm_w2,train_oof,W1,8,-0.6381999999999998,-1.3931791666666664,12.5,0.0
f1_lgbm_w2,train_oof,W2,8,-0.1205999999999996,-2.6186083333333334,25.0,8.333333333333332
f1_lgbm_w2,train_oof,W3,8,-0.5616999999999996,-3.820866666666667,0.0,8.333333333333332
f1_lgbm_w2,train_oof,W4,8,-0.48815000000000053,-5.622345833333333,25.0,4.166666666666666
f1_lgbm_w4,contaminated_validation,W1,11,0.2931666666666667,-0.3742060606060606,54.54545454545454,12.12121212121212
f1_lgbm_w4,contaminated_validation,W2,11,0.8815999999999999,-0.24542424242424232,54.54545454545454,9.090909090909088
f1_lgbm_w4,contaminated_validation,W3,10,-1.4793333333333332,-1.87483,40.0,20.0
f1_lgbm_w4,contaminated_validation,W4,9,-4.231233333333333,-5.865655555555556,11.11111111111111,25.925925925925924
f1_lgbm_w4,train_oof,W1,8,-1.06175,-0.6184166666666666,25.0,8.333333333333334
f1_lgbm_w4,train_oof,W2,8,-1.5038,-1.7684291666666667,25.0,8.333333333333334
f1_lgbm_w4,train_oof,W3,8,-0.8405833333333335,-3.0520499999999995,12.5,12.5
f1_lgbm_w4,train_oof,W4,8,0.0,-4.252899999999999,37.5,8.333333333333334
f1_ridge_w1,contaminated_validation,W1,11,-0.15840000000000004,-0.6489030303030301,36.36363636363637,9.090909090909092
f1_ridge_w1,contaminated_validation,W2,11,0.0,-1.3437999999999997,45.45454545454545,9.090909090909092
f1_ridge_w1,contaminated_validation,W3,10,-0.08261666666666656,-1.5021033333333333,40.0,16.666666666666664
f1_ridge_w1,contaminated_validation,W4,9,-3.7766,-2.222037037037037,22.22222222222222,25.925925925925924
f1_ridge_w1,train_oof,W1,8,-0.10678333333333301,-2.4237458333333333,25.0,8.333333333333332
f1_ridge_w1,train_oof,W2,8,-0.7026833333333333,-4.214541666666667,25.0,12.5
