model,segment,horizon,weeks,median_spread_pct,mean_spread_pct,beat_b0_pct,stop_delta_pct
agent_elastic_w1,contaminated_validation,W1,11,-0.15840000000000004,-0.8410181818181818,36.36363636363637,9.090909090909092
agent_elastic_w1,contaminated_validation,W2,11,0.0,-0.9613909090909089,45.45454545454545,9.090909090909092
agent_elastic_w1,contaminated_validation,W3,10,-0.08261666666666656,-0.6639033333333335,40.0,13.333333333333334
agent_elastic_w1,contaminated_validation,W4,9,-2.8759000000000015,-1.7195851851851853,22.22222222222222,22.22222222222222
agent_elastic_w1,train_oof,W1,8,0.0,-2.0769666666666664,37.5,12.5
agent_elastic_w1,train_oof,W2,8,-0.7026833333333333,-3.6283166666666666,12.5,12.5
agent_elastic_w1,train_oof,W3,8,-0.6490166666666668,-4.2309625,0.0,20.833333333333332
agent_elastic_w1,train_oof,W4,8,-1.0710833333333336,-4.135566666666667,12.5,16.666666666666664
agent_elastic_w2,contaminated_validation,W1,11,-1.7003000000000001,-0.9461272727272728,27.27272727272727,12.12121212121212
agent_elastic_w2,contaminated_validation,W2,11,-0.8238000000000003,-1.915530303030303,45.45454545454545,12.12121212121212
agent_elastic_w2,contaminated_validation,W3,10,0.7230333333333343,-1.5284,50.0,13.333333333333334
agent_elastic_w2,contaminated_validation,W4,9,-2.479466666666667,-2.4825185185185186,33.33333333333333,22.22222222222222
agent_elastic_w2,train_oof,W1,8,-0.9642333333333334,-2.976141666666667,37.5,8.333333333333332
agent_elastic_w2,train_oof,W2,8,-1.2699833333333332,-2.9373708333333335,25.0,8.333333333333332
agent_elastic_w2,train_oof,W3,8,-1.64355,-3.9734916666666664,0.0,12.5
agent_elastic_w2,train_oof,W4,8,-2.9541,-3.7194083333333325,12.5,8.333333333333334
agent_elastic_w4,contaminated_validation,W1,11,-0.15840000000000004,-0.7394333333333333,45.45454545454545,6.06060606060606
agent_elastic_w4,contaminated_validation,W2,11,-0.6290999999999993,-1.8047757575757573,45.45454545454545,9.090909090909092
agent_elastic_w4,contaminated_validation,W3,10,-0.30989999999999895,-2.089106666666667,40.0,10.0
agent_elastic_w4,contaminated_validation,W4,9,-0.9456333333333333,-2.9219259259259256,44.44444444444444,14.814814814814813
agent_elastic_w4,train_oof,W1,8,-0.5325333333333333,-2.7810791666666663,37.5,12.5
agent_elastic_w4,train_oof,W2,8,-0.9945999999999999,-4.404441666666667,25.0,12.5
agent_elastic_w4,train_oof,W3,8,-3.787016666666667,-6.220191666666667,0.0,20.833333333333332
agent_elastic_w4,train_oof,W4,8,-3.015916666666667,-5.5220416666666665,12.5,16.666666666666664
agent_lgbm_w1,contaminated_validation,W1,11,-0.15840000000000004,-0.6591939393939394,27.27272727272727,9.090909090909092
agent_lgbm_w1,contaminated_validation,W2,11,0.0,-0.504430303030303,45.45454545454545,6.06060606060606
agent_lgbm_w1,contaminated_validation,W3,10,-0.15010000000000023,-1.5546000000000002,20.0,3.3333333333333335
agent_lgbm_w1,contaminated_validation,W4,9,-3.289933333333333,-2.668111111111111,11.11111111111111,11.11111111111111
agent_lgbm_w1,train_oof,W1,8,-0.6531500000000001,-0.8718541666666666,25.0,-4.166666666666666
agent_lgbm_w1,train_oof,W2,8,-0.19224999999999995,-1.8159500000000002,12.5,4.166666666666666
agent_lgbm_w1,train_oof,W3,8,-0.7512833333333324,-4.154770833333333,25.0,8.333333333333332
agent_lgbm_w1,train_oof,W4,8,-2.0314999999999994,-6.626474999999999,25.0,4.166666666666666
agent_lgbm_w2,contaminated_validation,W1,11,-1.4209999999999998,-0.5604272727272727,27.27272727272727,6.06060606060606
agent_lgbm_w2,contaminated_validation,W2,11,-0.6952666666666667,-2.0775060606060602,18.181818181818183,6.06060606060606
agent_lgbm_w2,contaminated_validation,W3,10,-4.5328333333333335,-4.344966666666666,20.0,20.0
agent_lgbm_w2,contaminated_validation,W4,9,-6.833966666666669,-6.638933333333333,0.0,25.925925925925924
agent_lgbm_w2,train_oof,W1,8,-0.6381999999999998,-1.1541624999999998,12.5,0.0
agent_lgbm_w2,train_oof,W2,8,-0.1205999999999996,-2.0472583333333336,25.0,4.166666666666666
agent_lgbm_w2,train_oof,W3,8,-0.5616999999999996,-3.0894583333333334,0.0,4.166666666666666
agent_lgbm_w2,train_oof,W4,8,-0.48815000000000053,-4.974629166666666,25.0,0.0
agent_lgbm_w4,contaminated_validation,W1,11,0.2931666666666667,-0.4404575757575756,54.54545454545454,12.12121212121212
agent_lgbm_w4,contaminated_validation,W2,11,0.8815999999999999,-0.28152424242424234,54.54545454545454,9.090909090909088
agent_lgbm_w4,contaminated_validation,W3,10,-1.4793333333333332,-1.9328233333333333,40.0,20.0
agent_lgbm_w4,contaminated_validation,W4,9,-4.231233333333333,-5.968644444444445,11.11111111111111,25.925925925925924
agent_lgbm_w4,train_oof,W1,8,-0.27995000000000003,-0.20931666666666637,25.0,0.0
agent_lgbm_w4,train_oof,W2,8,-0.12044999999999995,-0.9561625000000002,25.0,8.333333333333334
agent_lgbm_w4,train_oof,W3,8,-0.10508333333333297,-3.2050791666666667,25.0,12.5
agent_lgbm_w4,train_oof,W4,8,0.0,-4.697408333333332,37.5,8.333333333333334
agent_ridge_w1,contaminated_validation,W1,11,-0.15840000000000004,-0.6533424242424243,36.36363636363637,9.090909090909092
agent_ridge_w1,contaminated_validation,W2,11,0.0,-1.4395666666666667,45.45454545454545,6.06060606060606
agent_ridge_w1,contaminated_validation,W3,10,-0.08261666666666656,-1.8762566666666665,40.0,13.333333333333334
agent_ridge_w1,contaminated_validation,W4,9,-3.7766,-3.37517037037037,22.22222222222222,22.22222222222222
agent_ridge_w1,train_oof,W1,8,-2.0856166666666662,-3.5277083333333334,25.0,8.333333333333332
agent_ridge_w1,train_oof,W2,8,-2.36305,-5.494795833333334,25.0,16.666666666666664
agent_ridge_w1,train_oof,W3,8,-2.946716666666667,-7.596683333333333,0.0,25.0
agent_ridge_w1,train_oof,W4,8,-3.0947500000000003,-9.233875,12.5,20.833333333333336
agent_ridge_w2,contaminated_validation,W1,11,-0.15840000000000004,-0.2819757575757577,36.36363636363637,9.09090909090909
agent_ridge_w2,contaminated_validation,W2,11,-0.8238000000000003,-1.9231757575757578,45.45454545454545,9.090909090909092
agent_ridge_w2,contaminated_validation,W3,10,0.6227666666666666,-1.94956,50.0,13.333333333333334
agent_ridge_w2,contaminated_validation,W4,9,-2.8759000000000015,-2.2431962962962966,33.33333333333333,18.51851851851852
agent_ridge_w2,train_oof,W1,8,-0.21828333333333338,-2.0228333333333333,37.5,12.5
agent_ridge_w2,train_oof,W2,8,-1.1147666666666667,-3.682916666666667,25.0,16.666666666666664
agent_ridge_w2,train_oof,W3,8,-1.6222333333333339,-4.802404166666667,12.5,20.833333333333332
agent_ridge_w2,train_oof,W4,8,-1.6520833333333336,-4.6999125,25.0,16.666666666666664
agent_ridge_w4,contaminated_validation,W1,11,1.2703999999999995,0.1034757575757575,63.63636363636363,3.03030303030303
agent_ridge_w4,contaminated_validation,W2,11,0.03393333333333337,-0.22787575757575765,54.54545454545454,9.090909090909088
agent_ridge_w4,contaminated_validation,W3,10,0.6227666666666666,0.25908999999999976,50.0,13.333333333333334
agent_ridge_w4,contaminated_validation,W4,9,-2.8759000000000015,-2.0023074074074074,22.22222222222222,18.51851851851852
agent_ridge_w4,train_oof,W1,8,-0.6960499999999992,-2.7430833333333338,25.0,16.666666666666664
agent_ridge_w4,train_oof,W2,8,-1.925733333333334,-3.3713125,37.5,20.833333333333332
agent_ridge_w4,train_oof,W3,8,-2.236616666666666,-5.661354166666666,12.5,25.0
agent_ridge_w4,train_oof,W4,8,-1.635899999999999,-4.579970833333334,25.0,20.833333333333336
