snapshot_date,pool_sha256,expected_pick_count,expected_codes,selection_signature_sha256
2025-10-10,80c613310b4429352d6fdf77b609afb6c9aa9155fbff821049b898365455afac,0,,debb81d1803b9cb54f472dab71e7b45f4627883983738e89b59acc50e7d22218
2025-10-24,73dae2a0ee12ee9053a7159e7263da4c89e4f22497e8804a92b76c2d6f466b76,2,"IBM,AAPL",addbd0d30541e70e088085fcf304b89bdfc4d66d31b0e3cf21065953045d57b1
2025-10-31,2eb5edf2d70fd6463b8e6d58dd440a87508e04cf831973e5748740873b2d13da,2,"VTR,SOFI",1efc1829d08c5177e16c8c967b7912978097d1e46fa7f74cdd9e49821d41506f
2025-11-07,8d91aa9088057a132c5d6ae4d16cd351b8cd21ff8ee7be78195c8ccf9daeee7a,1,COLL,125cb2848d09441ed9ee7a5164d8195b4131af34717eb81417a87b9d4a2a041e
2025-11-14,2d9321775645d14cf64452b8207d1f61cff5169c6c9f6d76b900d9bfed7637bf,3,"ALL,LH,LYFT",dbb2d6af09dc0fbabd3b70df5467c05a135981569a1c84c6be97e3532afef7e1
2025-11-21,7f8105d3767117d1573941bd0a9860a74c0f888232bcab27c594a26f62d539a7,1,WMT,61f0a4b40e1ccdb41cffa994c3e69f634ff07f56a3b2273fb10ceaf82ec2f238
2025-11-28,5b80df5b04961ea44890a0ade24ea26f1a6b92d5f7abdd96e8265c858f227f7e,3,"MNST,ROST,WFC",77301a668fb0ef95d60b486b2362f81ab4c9bcdb78e8db6232f9a813e8fc2f53
2025-12-05,ce892242bce3560e20792ada2d0356321d0c70c92d7abbdaca6212e4efb5f753,1,DASH,b777ebd05eba11260c5e692c0e9387c9cc86f0ec9c16c668a5345e528b0606ae
2025-12-12,81a35f5c65e0d9f0da3bed58fadb711eacf1080016617b00a3ddd7af9db717df,0,,d89743b64a268f6ad77264e2702de01abd0d796d0bbd2b7f2cf58b8050145e01
2025-12-19,fcd13b2d3b5b33ea0e3b3ee4ec4002acd7495773fecd6b1e6716cba23bdac345,3,"SCHW,PLTR,MU",42f449caade5deca01ee9c416fd5e78cd19d2bf6a64fb5f52892f0699db70f40
2025-12-26,a411b248b6a5f23c9861a715c277d9cd7cff00ec9f1322ea2b1a1b4e25e2e55f,2,"HEI,HUT",e00fe40f34edb697afea0161bc784835826ed835bc6f70b32351f476d248eca2
2026-01-02,8ba6d6e322e3593db43ce82339b57078354425b470a9c87664182316f41cef3b,1,FTAI,6ac380471311d7e811a7a8079cb3ef9a37b3c2d5f5f15b4a0a463a8aece99be1
2026-01-09,7b8b2ceb6032c3090ce064fb4d18a19db6e422eb2fd61ebc1e35b483a11dc1b1,1,GH,6c342f1c1ac0728fe57f13dbc5c95e4af946823bf55e54e24e8c715d7f546bbc
2026-01-16,0957ff517c21c7114836ac6a1140904d7ba905cfb37ab1a7336df55c543bbac8,2,"BKR,FE",7c352d0cfb430177f6e7c3945709e9ef67fbb929ee2bede5834f99d04c20657f
2026-01-23,bfc5c6a1b377df7dcbbc8825f880295e5bfce75443aa0fda6172884d49daae85,2,"MTB,MDT",16768163ee22c434f14fc4edb8ec1f5e93e750fe4df96ade0366651908a9d6da
2026-01-30,f03027ec33a44daff9ddbcbedff52657b30a5913928690649ac99eb7dcc819f5,3,"HON,AAOI,ZM",807c11c6afed9dc565f9a5b16b3ee8613db83cf9c2f398dbc6ae5ee1f3f3cdce
2026-02-06,cdfdaf5c4f935f613e8fa12cff3f809368a0ca6969fd51cb9d49d2edebae3e17,0,,16e999e81a0efbe3c9454c93b2e183e98d2dc494436a0e264b72a7185ee51c60
2026-02-13,104f9373886106706efd12fc20805fa80c4377cb7cd6f8a384d5cda315494727,1,WULF,5f4e26bb17203829dc4b1e47b5186ad4051748df867a1154a73ce6b10db400a4
2026-02-20,ab54882e791c9e0b34cf18e3dfe9bd0aa1e42b6608e8ce800e011702d6f78c83,3,"FANG,HEI,UAL",3171e1333815f45201fecf51a605c82fcee3ab78199ff17a8c260b3e7e0384fe
2026-02-27,06d48b4dde52a6552c1f6dd0d63e5e1fc5a32daa5f4948170d4f6ee90449c5f7,3,"GMED,EQIX,EXPE",609c29bf6599659129e8264ae2308ce0b72719a44a1e86eee0098b3f735e8cd2
2026-03-06,3d2debdff6063d1ac49fdf6c82ef90cb03190726fb371efbb466eca10aa0556c,2,"FIGS,RTX",32ce61ad3493a922b73252d7205a1bd4ae06f47814615cefd27d53e7660e56db
2026-03-13,ac3a1d6fb1589f17f0fc8eb6dbedbb948a03aef73caa455571f7e7c7391ad7d9,1,DOCN,f39a98c48303ce70e492d2b2852fbb6e2e7ba42770d207617695845c6363522e
2026-03-20,f3c6561dcca75086a749a479e188c77cb330ee0fb98fee9da14acd81c1764bed,1,LMND,557f63a97ba2d5633815c1f88e90105149186bc88e1f05183bdd622097c2f0c8
2026-03-27,5483b4df6b21a2cdb5ed8abebd5c708f196fa45d522bed57a0f8da2ca5a01c68,2,"DELL,CASY",a1504021442d8e9aa2eb9fea336bd6f0f460b308fd2142376bfe181396f73ef5
2026-04-02,8d2acf9572fbed94ef4a12f6f93f6217b63903db2542d3d4eb58d32dd8e785aa,3,"MRVL,INVA,PFIS",8bc2317a87617dddc089e1b35a4732e422151489cbec66f7d7563f140eff1a0b
2026-04-10,0e8a4a8fa763cf08ac1c0d5b99f60c8050a65ea5b6c83f5bb0c288f24a8ab5da,3,"FRAF,SPIR,HLIO",b73a213b8e30381322ded61cfd746e7d406294e2f90e531128d33bec4eda98d7
2026-04-17,75bbc4a874b2e84b59975c4836873c9687a1ca3d34f81a7f9404784c314fc267,3,"AMLX,ALB,CVEO",c53301c62be9e85d9db1e4d42930084a44c1f1e00f9558c6dc0140659f3fd12c
2026-04-24,af2bf26c6a613e8cccea47c8df35bdd16ad139af7679546aa5707af08a2a7055,3,"WSFS,MCRI,SANM",b685eeb749953fcaa912284e35c712c1b3632f0c636c0e034bc69c4c587adc09
2026-05-01,4bcb5810e67af204e1377c85b77e2f0ef3a36db6cfff64ec839897796a6cffea,3,"RBB,IRM,BEN",d80a6df483e7cdbbeef91b9fd438135f8f248895976a61edbf3218c8d27f33c3
2026-05-08,b79fb3f5f29c199d7368e2da39ef8bf484d60a155e4686394d824c68af986bc8,3,"FTNT,KRYS,CTS",d63e9408956649c75e6bb197787be85a0dae60a67d592608544631b6ab5690a3
2026-05-15,29c701230167fcd6b67f42a89d8c56c04b210816fec2570ab03bbb0d59308a33,3,"HLIO,CVS,AIZ",78c333aa2e8cc4819d30705b30226954575fdd6b6f3a2745db59d64c7890bb65
2026-05-22,0bbe143c229fb08e497c2726f9280c19b6ad6ba025aaed9721810537f435ce93,3,"CMPR,PDLB,ELMD",49f42b383e466bafa91d361aeff29950769fb7c7c6f7568740cada371b94ca51
2026-05-29,d71ddbcc4ea7649d856934606f780393e901dc77f2bce055063ca188d27f24eb,3,"BWA,NBIX,ILMN",5f39367c95de74e439e0c9a0605ace1b73fbd969fe758ab9a0c52ec98624ed64
2026-06-05,a47548a2a719a1bb95daf33fdc65301de2d40cd79e3a74ebcf53f51bc3eb01bf,3,"TWIN,AMG,TBBB",935da23111ccad2b1a57acf504f6bb3bd44458a0e0b10623312aaba847de545c
2026-06-12,2bd29d35c4856135e538b26e21295d2391dd87d6d45a6ef34d3e90b2394df0c5,3,"CWBC,AD,WTS",939ed9b643251663bd06718434ae783c846e085af0867545eb785141c2ae68e5
2026-06-18,61753a16177817a6ac2fb98750e2f893f0e4073ac46dea45dae728e882c154e4,3,"TER,ADI,GEV",8c725d69483e2ab8ed4f61fcd4372b7ce52583fc08dffa4e83adcbb40c17839b
2026-06-26,2c5e4f19e2a0fa952aaf5e9e28c4b946b712b068d7c3a688f194f846832e7e27,3,"EGBN,ADPT,QCRH",c27c0579f177ec438a562e6f323324e21e3f20377d46a0da63d4536b6301a203
2026-07-02,abc58adbc3b52744439bbc73ee36c14798309f04cacbba418a425a20ddc863a4,3,"BMRC,BSET,PACS",4cd4c0d8df3cc06c4c2cdf30a5173c775330cb7bf43d2bdfaacb3f97ee999f5e
2026-07-10,6dfc1b6042ad9e8016036425965423573191b384c1012b0ba78a8093386c7520,3,"BSVN,RAPP,LASR",a2b3d8258c87996cb423954f35caf8ea71d7c0d39be44a19db435a8058e4cb8b
2026-07-17,3271b081bb0ed93b5429fd8081f419301438cf2be56ac77ec1c46039d983ec60,3,"CZFS,BIIB,IRM",57a17f1f99151ce23ec850f93fc82bad7eb2f2df8f345741b3a4ada601eb8c3a
2026-07-24,cdbc470ff1fc2482193b6223089b9dc89aa840748c4677ac6b177bed960ffbb6,3,"IMAX,PKG,PCAR",f9f056da7db54244db2b79eaf24995270998fc822a0e11e9f3a5d33ea9c9d548
2026-07-31,ca2b58ebfa8ce8f8abae13cb71edbdb8612cd09973bcade8dce6b69a4548e14e,3,"SHOO,NBBK,GSAT",42b50e871f838fe140afd330e319a2cc2084cd1b79f523428fd28ad7e5a9471e
2026-08-07,b54765fb4a28d423490639d2d883f447b43bd5e980ba12f43e2d3d27d876d29f,3,"CFFI,MTUS,SWK",9b091108a9dd2cc9e9b70d8686f9f2605b901b825a5262ce355226d0135fd244
