snapshot_date,pool_sha256,expected_pick_count,expected_codes,selection_signature_sha256
2025-10-10,55c85a28532f7f6a6d623f2b596e563bd1702c782d06a2829bfa67048a755351,0,,debb81d1803b9cb54f472dab71e7b45f4627883983738e89b59acc50e7d22218
2025-10-24,4a2505f6ddafbe80cfc5d8514a350d4ec38e2b2d79fca27422920688eb58a5de,2,"IBM,AAPL",addbd0d30541e70e088085fcf304b89bdfc4d66d31b0e3cf21065953045d57b1
2025-10-31,fd43f834d4081f6beae6a4e199dc4b940fad4c662050d1909ad11caf55f8d594,2,"VTR,SOFI",1efc1829d08c5177e16c8c967b7912978097d1e46fa7f74cdd9e49821d41506f
2025-11-07,ab055576e281c6b72b5c8841d9fce0655a23123c84b8e612aead5711db0cbfa4,1,COLL,125cb2848d09441ed9ee7a5164d8195b4131af34717eb81417a87b9d4a2a041e
2025-11-14,98592cbbecf3c15ec489b9853b2c070781ed1a9f1a200af7b48381fa0024c544,3,"ALL,LH,LYFT",dbb2d6af09dc0fbabd3b70df5467c05a135981569a1c84c6be97e3532afef7e1
2025-11-21,4570e5657d59a925ab8a40b4c433f9ff35b987b9db473214d0dc7ab8c6cf6e42,1,WMT,61f0a4b40e1ccdb41cffa994c3e69f634ff07f56a3b2273fb10ceaf82ec2f238
2025-11-28,160244f8d263227de42a03d42d5db8a69c364de296235876a38a30883e37a2f9,3,"MNST,ROST,WFC",77301a668fb0ef95d60b486b2362f81ab4c9bcdb78e8db6232f9a813e8fc2f53
2025-12-05,7cae9b807936e712c979eae95c1b355064d9ea97106d86bb1594c2138adc5553,1,DASH,b777ebd05eba11260c5e692c0e9387c9cc86f0ec9c16c668a5345e528b0606ae
2025-12-12,12b4e56f02b783a0f4b3b3c9d69a1f0f7fb19cac0d15dbc041ce7d9beabb5321,0,,d89743b64a268f6ad77264e2702de01abd0d796d0bbd2b7f2cf58b8050145e01
2025-12-19,c922236e152bbb8afc1a05a4bb02c9de129109fb8ab0e89419e56b90b3193608,3,"SCHW,PLTR,MU",42f449caade5deca01ee9c416fd5e78cd19d2bf6a64fb5f52892f0699db70f40
2025-12-26,2328fe414266f06d7cebc2a030823e239fb08dfff5115b9c3735dc028d66c8df,2,"HEI,HUT",e00fe40f34edb697afea0161bc784835826ed835bc6f70b32351f476d248eca2
2026-01-02,cc498ec726395707dd476640cfe9e364a73620468d10a2cbe56a63b6fc0a12fd,1,FTAI,6ac380471311d7e811a7a8079cb3ef9a37b3c2d5f5f15b4a0a463a8aece99be1
2026-01-09,16e44948c92b55d0d203f32687647f678f738c6a22c7aed231723200ebe0b59e,1,GH,6c342f1c1ac0728fe57f13dbc5c95e4af946823bf55e54e24e8c715d7f546bbc
2026-01-16,7c662ea3b441279848ea5204ec83da9ca139df1ec42392bee761f6bd0ca20235,2,"BKR,FE",7c352d0cfb430177f6e7c3945709e9ef67fbb929ee2bede5834f99d04c20657f
2026-01-23,7b1f61b71b295a09e7bf1e194c8263abecf94010fbc75642630ccb017738835c,2,"MTB,MDT",16768163ee22c434f14fc4edb8ec1f5e93e750fe4df96ade0366651908a9d6da
2026-01-30,62bec5bfd7624dbb06921e9388b71bebb66aa0cdd5d14c81344d8667b3a8fadb,3,"HON,AAOI,ZM",807c11c6afed9dc565f9a5b16b3ee8613db83cf9c2f398dbc6ae5ee1f3f3cdce
2026-02-06,cdfdaf5c4f935f613e8fa12cff3f809368a0ca6969fd51cb9d49d2edebae3e17,0,,16e999e81a0efbe3c9454c93b2e183e98d2dc494436a0e264b72a7185ee51c60
2026-02-13,7fc47fcfa2e6e491265b3c4b85729d4367161d992c9b016993b4576de9f53293,1,WULF,5f4e26bb17203829dc4b1e47b5186ad4051748df867a1154a73ce6b10db400a4
2026-02-20,e0f275848778823242a701887d2c7d69f19dc3a63249b7f6e4b472afd23c0f7d,3,"FANG,HEI,UAL",3171e1333815f45201fecf51a605c82fcee3ab78199ff17a8c260b3e7e0384fe
2026-02-27,ad161d19bf782462de70f6fc1b1f142219b9cf053f5ac742a22f133c070ca5e9,3,"EQIX,GMED,EXPE",caf5f15c606640026cffaf98ad69dcbe8f0af46711f434cac03fde449858e7bb
2026-03-06,2b51fd30a8f31ce76e460af8382f8e52062bf3e6d338c88e8d897c538afac74b,2,"FIGS,RTX",28e81f9234e8388448d9d5049e4deb7ef29072ddfb11afcfa8dc93b8ddece665
2026-03-13,f1bf947a3ed388f8b57b9e9382778ccbe71cf8d132087b0eb756a927775199fd,1,DOCN,08bf1213423071ca3fb3d1fa6b76fa00828d0fe5bc32dbddb0bae178069cf1e1
2026-03-20,d3a90c02a293a263b1f138c00c33c1d7592f08f57c987e09745952bde1b214ac,1,LMND,557f63a97ba2d5633815c1f88e90105149186bc88e1f05183bdd622097c2f0c8
2026-03-27,1debb7b3f0c1ef76f11828dcd0ddf9e9d39e78441c8564df2910243578f8827e,2,"DELL,CASY",a1504021442d8e9aa2eb9fea336bd6f0f460b308fd2142376bfe181396f73ef5
2026-04-02,cb99196374e1e2213e2e7e6db0fcaf322cbc67a151af438046d05d952091f0d8,3,"MRVL,INVA,PFIS",8bc2317a87617dddc089e1b35a4732e422151489cbec66f7d7563f140eff1a0b
2026-04-10,81347972355bb5a3fb9f5d0cfff9925afcdd7506bd18870e7572f693ff33c25c,3,"SPIR,FRAF,HLIO",261656c93367a778393974c6cc31a9ea32aaa817afcbba766be89268656594f6
2026-04-17,08eb9d30ddd47e78ecc4a746bcabfdd15bf12bbd2f38fe72b6c58586f8851752,3,"AMLX,ALB,CVEO",613b68c0101a441be6c4921e89774c82904f64c33b38ba58a40db2c10dbc0590
2026-04-24,b22bc5e593c86ff2cd2c5d29e7b8eae5aaf6f1d1cc3452a788e9ba49bb306c95,3,"MCRI,NVTS,SANM",e5990a8cee3ad991504f64cccf1e4550a9bd7cc43e4ecfe277e0b0fdfe11f9af
2026-05-01,ffc6d53cdaf353f4a09d79bc70809558b7000910236fe576959d6e132d319781,3,"RBB,IRM,BEN",d80a6df483e7cdbbeef91b9fd438135f8f248895976a61edbf3218c8d27f33c3
2026-05-08,714b2176070cb90b225bec9a2b73e2e16211ab3174ec904ac2859a69432dda71,3,"FTNT,KRYS,CTS",d63e9408956649c75e6bb197787be85a0dae60a67d592608544631b6ab5690a3
2026-05-15,023f65d5851f6a1a703586e4a156ca665479aead99a0f80986fa0edfb58cbbfc,3,"HLIO,CVS,AIZ",78c333aa2e8cc4819d30705b30226954575fdd6b6f3a2745db59d64c7890bb65
2026-05-22,09e5ec83ef8ed5ba3c17064e5efe58404439d5c1ed69dd360ae8703ad7736115,3,"CMPR,PDLB,CLBK",1b2912fce829904b9c0a4e8884030a35f1ad2a6e3e14bc62983834d47d4f88f5
2026-05-29,5a6290ac69a002b72b249f68be9fd0b002756d0ec401763f9c62c592e94cf61c,3,"BWA,NBIX,ILMN",5f39367c95de74e439e0c9a0605ace1b73fbd969fe758ab9a0c52ec98624ed64
2026-06-05,478862381883b95aa9506dd37803ed25cace756444da2064c752940c779078e9,3,"TWIN,AMG,TBBB",935da23111ccad2b1a57acf504f6bb3bd44458a0e0b10623312aaba847de545c
2026-06-12,2e75873f35ab4af038bd6adc563b1b7cc8dcf67e8e503d29e660dab0e36229fa,3,"MCS,CWBC,FDSB",569dd54fb0ef0c0d6cc57c926e6bc76b179641e29f23add8e11cae0b802e2e0a
2026-06-18,fabbd1edf4ec804236897c324ea345dad5798f0e4175743e971d4c91aad77a79,3,"TER,ADI,GEV",8c725d69483e2ab8ed4f61fcd4372b7ce52583fc08dffa4e83adcbb40c17839b
2026-06-26,0ed636a236abf3ed65a61d0133fbc5c4cb5e7c9a24cf390229ad0eacdb3ae60f,3,"EGBN,ADPT,QCRH",c27c0579f177ec438a562e6f323324e21e3f20377d46a0da63d4536b6301a203
2026-07-02,ba82f9d3069c6e47d247b11ab1e8c7a121677b719b6da2db619c880d701f4a69,3,"BMRC,BSET,PACS",4cd4c0d8df3cc06c4c2cdf30a5173c775330cb7bf43d2bdfaacb3f97ee999f5e
2026-07-10,b59af9ef8b54a750886572f01987b16627fc683e84856304ac72322cb13e7989,3,"BSVN,RAPP,LASR",a2b3d8258c87996cb423954f35caf8ea71d7c0d39be44a19db435a8058e4cb8b
2026-07-17,4b1a4748de45302aa457afb52db694506d45fd9f6fefbed96698a0705ed638cc,3,"CZFS,BIIB,IRM",57a17f1f99151ce23ec850f93fc82bad7eb2f2df8f345741b3a4ada601eb8c3a
2026-07-24,a8ea5d93e56d02085d399c8ae01370dcaef116e14fb468e9fb4473424d5adf8a,3,"BLFS,IMAX,PKG",eb523ce908caa0b6282e62363224b58be110e8353bb8ecd2396f8059852efc9a
