snapshot_date,production_top3_count,replay_top3_count,production_codes,replay_codes,is_exact_match,discrepancy_count,reason_match,risk_match
2025-10-10,0,0,,,True,0,True,True
2025-10-24,2,2,"IBM,AAPL","IBM,AAPL",True,0,True,True
2025-10-31,2,2,"VTR,SOFI","VTR,SOFI",True,0,True,True
2025-11-07,1,1,COLL,COLL,True,0,True,True
2025-11-14,3,3,"ALL,LH,LYFT","ALL,LH,LYFT",True,0,True,True
2025-11-21,1,1,WMT,WMT,True,0,True,True
2025-11-28,3,3,"MNST,ROST,WFC","MNST,ROST,WFC",True,0,True,True
2025-12-05,1,1,DASH,DASH,True,0,True,True
2025-12-12,0,0,,,True,0,True,True
2025-12-19,3,3,"SCHW,PLTR,MU","SCHW,PLTR,MU",True,0,True,True
2025-12-26,2,2,"HEI,HUT","HEI,HUT",True,0,True,True
2026-01-02,1,1,FTAI,FTAI,True,0,True,True
2026-01-09,1,1,GH,GH,True,0,True,True
2026-01-16,2,2,"BKR,FE","BKR,FE",True,0,True,True
2026-01-23,2,2,"MTB,MDT","MTB,MDT",True,0,True,True
2026-01-30,3,3,"HON,AAOI,ZM","HON,AAOI,ZM",True,0,True,True
2026-02-06,0,0,,,True,0,True,True
2026-02-13,1,1,WULF,WULF,True,0,True,True
2026-02-20,3,3,"FANG,HEI,UAL","FANG,HEI,UAL",True,0,True,True
2026-02-27,3,3,"GMED,EQIX,EXPE","GMED,EQIX,EXPE",True,0,True,True
2026-03-06,2,2,"FIGS,RTX","FIGS,RTX",True,0,True,True
2026-03-13,1,1,DOCN,DOCN,True,0,True,True
2026-03-20,1,1,LMND,LMND,True,0,True,True
2026-03-27,2,2,"DELL,CASY","DELL,CASY",True,0,True,True
2026-04-02,3,3,"MRVL,INVA,PFIS","MRVL,INVA,PFIS",True,0,True,True
2026-04-10,3,3,"FRAF,SPIR,HLIO","FRAF,SPIR,HLIO",True,0,True,True
2026-04-17,3,3,"AMLX,ALB,CVEO","AMLX,ALB,CVEO",True,0,True,True
2026-04-24,3,3,"WSFS,MCRI,SANM","WSFS,MCRI,SANM",True,0,True,True
2026-05-01,3,3,"RBB,IRM,BEN","RBB,IRM,BEN",True,0,True,True
2026-05-08,3,3,"FTNT,KRYS,CTS","FTNT,KRYS,CTS",True,0,True,True
2026-05-15,3,3,"HLIO,CVS,AIZ","HLIO,CVS,AIZ",True,0,True,True
2026-05-22,3,3,"CMPR,PDLB,ELMD","CMPR,PDLB,ELMD",True,0,True,True
2026-05-29,3,3,"BWA,NBIX,ILMN","BWA,NBIX,ILMN",True,0,True,True
2026-06-05,3,3,"TWIN,AMG,TBBB","TWIN,AMG,TBBB",True,0,True,True
2026-06-12,3,3,"CWBC,AD,WTS","CWBC,AD,WTS",True,0,True,True
2026-06-18,3,3,"TER,ADI,GEV","TER,ADI,GEV",True,0,True,True
2026-06-26,3,3,"EGBN,ADPT,QCRH","EGBN,ADPT,QCRH",True,0,True,True
2026-07-02,3,3,"BMRC,BSET,PACS","BMRC,BSET,PACS",True,0,True,True
2026-07-10,3,3,"BSVN,RAPP,LASR","BSVN,RAPP,LASR",True,0,True,True
2026-07-17,3,3,"CZFS,BIIB,IRM","CZFS,BIIB,IRM",True,0,True,True
2026-07-24,3,3,"IMAX,PKG,PCAR","IMAX,PKG,PCAR",True,0,True,True
2026-07-31,3,3,"SHOO,NBBK,GSAT","SHOO,NBBK,GSAT",True,0,True,True
2026-08-07,3,3,"CFFI,MTUS,SWK","CFFI,MTUS,SWK",True,0,True,True
