snapshot_date,actual_picks_count,b0_selected_count,b0_is_asof_valid,b0_is_w1_valid,b0_is_w2_valid,b0_is_w4_valid,b0_stop8_before_profit20_rate_pct,b0_stop8_ever_rate_pct,b0_gap_stop_rate_pct,b0_profit20_rate_pct,b0_has_profit20_winner,b0_all_stopped_ever,b0_worst_asof_return_pct,b0_mean_max_gain_to_asof_pct,b0_w1_mean_max_gain_pct,b0_w2_mean_max_gain_pct,b0_w4_mean_max_gain_pct,random_stop8_before_profit20_rate_p50_pct,random_stop8_ever_rate_p50_pct,random_gap_stop_rate_p50_pct,random_profit20_rate_p50_pct,random_has_profit20_winner_rate_pct,random_all_stopped_ever_rate_pct,random_worst_asof_return_p50_pct,random_mean_max_gain_to_asof_p50_pct,random_w1_mean_max_gain_p50_pct,random_w2_mean_max_gain_p50_pct,random_w4_mean_max_gain_p50_pct
2025-10-10,0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
2025-10-24,2,2,True,True,True,True,100.0,100.0,0.0,50.0,True,True,-22.9867,20.2399,4.2241,2.8483,2.0221,100.0,100.0,0.0,50.0,87.2,51.4,-10.0315,39.1474,3.4971,2.0856,0.6052
2025-10-31,2,2,True,True,True,True,50.0,50.0,0.0,50.0,True,False,-38.503,25.9964,4.7976,8.6188,5.5818,100.0,100.0,0.0,50.0,80.39,59.91,-12.2415,31.0392,2.3389,-0.3945,-3.8032
2025-11-07,1,1,True,True,True,True,100.0,100.0,0.0,0.0,False,True,-35.4344,19.9008,13.7394,9.7262,14.1879,100.0,100.0,0.0,100.0,60.7,81.0,13.1975,28.4805,3.4758,1.4881,1.6031
2025-11-14,3,3,True,True,True,True,66.6667,66.6667,0.0,66.6667,True,False,-22.8958,20.2672,0.6867,-1.8534,-0.301,33.3333,66.6667,0.0,66.6667,97.5,16.19,-5.7177,32.6506,3.34,5.086,4.3626
2025-11-21,1,1,True,True,True,True,0.0,0.0,0.0,100.0,True,False,1.9238,29.0582,5.0727,10.356,11.7056,0.0,0.0,0.0,100.0,61.4,48.4,10.0999,29.0582,4.7235,4.1237,0.6089
2025-11-28,3,3,True,True,True,True,33.3333,66.6667,33.3333,66.6667,True,False,-35.0418,31.5062,3.1548,4.4682,6.8679,33.3333,66.6667,0.0,66.6667,98.38,26.41,-15.5839,40.399,4.7997,5.3951,4.2237
2025-12-05,1,1,True,True,True,True,100.0,100.0,0.0,0.0,False,True,1.9631,6.3877,3.5522,6.3877,4.6072,100.0,100.0,0.0,100.0,56.14,79.46,10.0159,28.1395,3.4775,1.0832,2.8084
2025-12-12,0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
2025-12-19,3,3,True,True,True,True,66.6667,66.6667,0.0,33.3333,True,False,-7.742,123.0614,3.2198,4.0607,10.3536,66.6667,66.6667,0.0,66.6667,91.0,38.5,-22.5978,23.7563,2.2993,1.7017,3.9672
2025-12-26,2,2,True,True,True,True,50.0,100.0,0.0,50.0,True,True,6.3121,100.8628,3.9865,18.4326,17.1212,50.0,50.0,0.0,100.0,93.9,41.7,11.5083,74.6153,2.7083,7.6037,11.3212
2026-01-02,1,1,True,True,True,True,0.0,100.0,100.0,100.0,True,True,-6.18,52.1112,18.9371,30.2757,40.5882,0.0,100.0,0.0,100.0,86.7,53.6,27.1534,46.3006,4.6727,6.9597,8.8903
2026-01-09,1,1,True,True,True,True,100.0,100.0,0.0,100.0,True,True,51.0531,56.2655,2.2478,6.8496,4.4248,100.0,100.0,0.0,100.0,64.9,65.0,9.9324,27.8592,3.88,4.1499,4.4248
2026-01-16,2,2,True,True,True,True,0.0,0.0,0.0,50.0,True,False,2.0824,24.6268,4.1892,7.6216,14.1202,50.0,100.0,0.0,50.0,85.9,51.1,-11.3544,32.5678,4.8781,6.7613,8.1623
2026-01-23,2,2,True,True,True,True,100.0,100.0,0.0,50.0,True,True,-6.3886,12.9412,3.1283,8.0329,3.3517,100.0,100.0,0.0,50.0,77.0,73.7,-26.3103,26.2299,3.9591,3.8141,2.2484
2026-01-30,3,3,True,True,True,True,100.0,100.0,0.0,66.6667,True,True,-8.2611,163.8689,8.4696,11.5867,36.0571,66.6667,66.6667,0.0,66.6667,97.2,17.6,-8.0246,23.7839,7.4054,7.7376,8.9515
2026-02-13,1,1,True,True,True,True,100.0,100.0,0.0,100.0,True,True,-1.9011,89.1001,5.5767,17.3004,1.3942,100.0,100.0,0.0,100.0,62.8,75.5,8.7385,25.3833,2.615,7.2608,1.3942
2026-02-20,3,3,True,True,True,True,66.6667,66.6667,66.6667,66.6667,True,False,1.7657,19.2841,2.6151,-1.4752,-6.2135,66.6667,100.0,33.3333,66.6667,95.2,58.0,-21.8443,54.4335,7.5201,7.639,0.5767
2026-02-27,3,3,True,True,True,True,33.3333,33.3333,0.0,33.3333,True,False,-11.3548,27.2968,7.7308,4.6772,4.393,66.6667,66.6667,0.0,33.3333,69.1,46.2,-12.9288,21.2804,2.6268,-1.886,-4.6292
2026-03-06,2,2,True,True,True,True,100.0,100.0,0.0,0.0,False,True,-4.3396,8.7037,1.5504,-1.4617,-5.5503,100.0,100.0,0.0,50.0,90.9,79.1,-4.3396,32.792,3.3056,5.553,5.0342
2026-03-13,1,1,True,True,True,True,0.0,0.0,0.0,100.0,True,False,66.7243,170.3287,24.7116,28.0854,36.4764,100.0,100.0,0.0,0.0,39.4,81.7,-19.5965,15.8478,2.4938,0.2869,0.8313
2026-03-20,1,1,True,True,True,True,100.0,100.0,0.0,100.0,True,True,-15.8594,26.9219,8.2812,1.8594,13.7188,100.0,100.0,0.0,100.0,88.5,100.0,-0.9039,60.1616,6.2425,5.9531,21.1779
2026-03-27,2,2,True,True,True,True,50.0,50.0,0.0,100.0,True,False,20.0205,114.5965,2.8377,9.227,19.9524,50.0,50.0,0.0,50.0,93.1,14.5,9.521,31.4167,4.3099,10.2488,15.6966
2026-04-02,3,3,True,True,True,True,33.3333,33.3333,0.0,66.6667,True,False,-8.1659,81.5378,10.9912,14.6387,21.7448,33.3333,33.3333,0.0,66.6667,95.58,9.48,-5.5114,28.684,6.7285,8.691,9.8623
2026-04-10,3,3,True,True,True,True,33.3333,33.3333,0.0,33.3333,True,False,-37.3815,22.6577,3.8342,-0.8091,-3.8488,33.3333,66.6667,0.0,66.6667,87.3,17.3,-13.5372,32.1697,5.2578,8.3711,12.0293
2026-04-17,3,3,True,True,True,True,66.6667,66.6667,0.0,66.6667,True,False,-27.6164,53.1875,2.2831,5.1267,5.3014,66.6667,66.6667,0.0,66.6667,88.61,24.73,-11.119,23.4989,3.7418,3.1937,5.7718
2026-04-24,3,3,True,True,True,True,0.0,33.3333,0.0,33.3333,True,False,-6.1833,26.9095,7.8658,12.1813,10.566,66.6667,66.6667,0.0,33.3333,82.62,28.57,-23.6593,27.7974,3.5269,5.6805,7.2881
2026-05-01,3,3,True,True,True,True,33.3333,33.3333,0.0,33.3333,True,False,-3.7869,15.5175,4.4248,3.9091,3.0173,66.6667,66.6667,0.0,33.3333,77.85,14.91,-5.3888,20.3554,4.8077,4.5032,3.8199
2026-05-08,3,3,True,True,True,True,33.3333,33.3333,0.0,66.6667,True,False,-9.3361,29.9463,4.5606,6.9491,14.6552,66.6667,66.6667,0.0,66.6667,90.35,29.93,-17.6091,22.7926,4.0909,2.5506,5.6456
2026-05-15,3,3,True,True,True,True,0.0,0.0,0.0,33.3333,True,False,-2.1975,19.3921,2.1183,2.4751,7.1039,66.6667,66.6667,0.0,33.3333,80.65,23.59,-18.4204,19.5146,3.0299,3.9451,3.5467
2026-05-22,3,3,True,True,True,True,33.3333,33.3333,0.0,33.3333,True,False,-14.4644,14.5372,4.313,1.4039,-1.1413,33.3333,33.3333,0.0,33.3333,80.07,8.02,-9.4779,19.0087,4.0099,5.2274,8.5969
2026-05-29,3,3,True,True,True,True,33.3333,33.3333,0.0,33.3333,True,False,-9.0318,21.7464,9.3302,6.2228,8.1558,66.6667,66.6667,0.0,33.3333,81.73,21.88,-22.2994,21.3922,6.4117,6.4551,11.3633
2026-06-05,3,3,True,True,True,True,0.0,0.0,0.0,66.6667,True,False,5.6752,24.5153,6.0824,9.7713,11.3155,33.3333,33.3333,0.0,33.3333,61.98,3.7,1.1173,16.5746,4.5947,5.491,8.4354
2026-06-12,3,3,True,True,True,True,33.3333,33.3333,0.0,0.0,False,False,-11.8636,8.6119,1.2239,4.8337,1.7522,33.3333,33.3333,0.0,0.0,44.43,5.72,-10.7805,12.3599,2.395,4.5946,3.8658
2026-06-18,3,3,True,True,True,True,100.0,100.0,33.3333,0.0,False,True,-17.6262,4.8869,2.1602,1.0063,-10.6866,66.6667,66.6667,0.0,33.3333,53.56,29.92,-25.2594,12.656,5.1515,4.3076,-1.1522
2026-06-26,3,3,True,True,True,True,33.3333,33.3333,0.0,33.3333,True,False,-2.9351,11.5368,3.4511,0.1221,3.4376,33.3333,33.3333,0.0,0.0,33.85,6.07,-7.6445,9.4522,3.5211,3.0567,3.2995
2026-07-02,3,3,True,True,True,True,66.6667,66.6667,0.0,0.0,False,False,-6.2035,9.9807,2.9529,6.6126,5.155,33.3333,33.3333,0.0,0.0,27.13,13.56,-9.3416,9.0288,3.3285,3.3643,3.1068
