horizon,segment,rank_position,sample_weeks,mean_return_pct,median_return_pct,p25_return_pct,p75_return_pct,positive_return_rate_pct,stop8_before_p20_rate_pct,stop8_ever_rate_pct,gap_stop_rate_pct,profit20_hit_rate_pct,mean_max_gain_pct,median_max_gain_pct,mean_asof_return_pct,median_asof_return_pct,mean_asof_drawdown_pct,median_asof_drawdown_pct,horizon_status
W1,All common-support weeks,Rank1,25,1.0241,0.3201,-2.0847,2.7931,52.0,36.0,40.0,8.0,36.0,4.0589,2.9795,11.9453,0.853,-11.3196,-6.7509,PRIMARY
W1,All common-support weeks,Rank2,25,-1.0739,-0.0472,-3.2455,2.284,44.0,44.0,44.0,8.0,24.0,3.7613,2.4771,6.9861,-1.0723,-13.1543,-7.5487,PRIMARY
W1,All common-support weeks,Rank3,25,1.1693,0.5562,-2.0925,3.7603,60.0,32.0,36.0,4.0,48.0,5.4438,4.8313,15.4762,3.2959,-10.5395,-4.6984,PRIMARY
W1,Train-era weeks 1-30,Rank1,15,1.3765,0.73,-1.6627,2.8071,53.33,46.67,53.33,6.67,46.67,4.3222,2.7389,18.3553,10.5853,-12.8319,-8.9744,PRIMARY
W1,Train-era weeks 1-30,Rank2,15,-1.02,-0.0303,-2.8949,1.9398,46.67,46.67,46.67,6.67,26.67,4.3391,2.8951,11.5819,1.7657,-15.9675,-7.5589,PRIMARY
W1,Train-era weeks 1-30,Rank3,15,2.0352,1.2346,-1.3597,4.4878,73.33,33.33,40.0,6.67,73.33,6.4583,5.6328,27.0082,11.959,-11.196,-4.4283,PRIMARY
W1,Contaminated validation weeks 31-40,Rank1,10,0.4955,0.1351,-2.3464,2.7003,50.0,20.0,20.0,10.0,20.0,3.6641,3.2688,2.3304,-0.448,-9.0511,-5.2214,PRIMARY
W1,Contaminated validation weeks 31-40,Rank2,10,-1.1546,-0.4867,-3.4912,1.8725,40.0,40.0,40.0,10.0,20.0,2.8946,2.1706,0.0924,-1.9813,-8.9343,-6.9318,PRIMARY
W1,Contaminated validation weeks 31-40,Rank3,10,-0.1296,-0.2529,-1.9138,1.4318,40.0,30.0,30.0,0.0,10.0,3.922,3.2679,-1.8219,-1.1511,-9.5547,-4.7082,PRIMARY
W1,Early half,Rank1,13,1.6666,0.73,-1.2406,2.9569,53.85,38.46,46.15,7.69,53.85,3.8233,2.0357,22.9866,12.1438,-11.9263,-6.7509,PRIMARY
W1,Early half,Rank2,13,-1.4278,-0.6777,-3.2455,1.5957,38.46,53.85,53.85,7.69,30.77,4.3706,2.8951,13.006,1.7657,-17.7006,-9.2331,PRIMARY
W1,Early half,Rank3,13,2.183,2.7557,-2.8179,4.666,69.23,38.46,46.15,7.69,69.23,6.1034,4.9516,27.9112,11.959,-12.3243,-7.9156,PRIMARY
W1,Late half,Rank1,12,0.3281,0.1351,-3.0125,2.6912,50.0,33.33,33.33,8.33,16.67,4.3142,3.6408,-0.016,-2.0364,-10.6623,-6.3973,PRIMARY
W1,Late half,Rank2,12,-0.6904,-0.0006,-2.8893,2.5701,50.0,33.33,33.33,8.33,16.67,3.1013,2.1706,0.4646,-1.9813,-8.229,-6.6922,PRIMARY
W1,Late half,Rank3,12,0.071,0.1156,-1.5563,1.3751,50.0,25.0,25.0,0.0,25.0,4.7292,4.1635,2.0049,-0.645,-8.6059,-4.5635,PRIMARY
W2,All common-support weeks,Rank1,25,1.2988,0.4071,-3.9627,6.4397,52.0,36.0,40.0,8.0,36.0,5.342,4.4833,11.9453,0.853,-11.3196,-6.7509,PRIMARY
W2,All common-support weeks,Rank2,25,-2.5818,-0.6604,-4.9311,1.4225,44.0,44.0,44.0,8.0,24.0,2.8292,2.4727,6.9861,-1.0723,-13.1543,-7.5487,PRIMARY
W2,All common-support weeks,Rank3,25,2.2016,0.5976,-1.4982,6.7715,60.0,32.0,36.0,4.0,48.0,6.2411,5.2678,15.4762,3.2959,-10.5395,-4.6984,PRIMARY
W2,Train-era weeks 1-30,Rank1,15,2.1542,0.4071,-3.5878,6.0018,53.33,46.67,53.33,6.67,46.67,4.9257,2.2824,18.3553,10.5853,-12.8319,-8.9744,PRIMARY
W2,Train-era weeks 1-30,Rank2,15,-2.669,0.251,-3.9135,2.2804,53.33,46.67,46.67,6.67,26.67,2.7911,2.4727,11.5819,1.7657,-15.9675,-7.5589,PRIMARY
