snapshot_date,is_train,is_contaminated_val,n_picks,is_3picks,r1_code,r2_code,r3_code,w1_common_valid,r1_w1_return_pct,r2_w1_return_pct,r3_w1_return_pct,k1_w1,k2_w1,k3_w1,mc2_w1,mc3_w1,r3_minus_r2_w1,r1_minus_r2_w1,r1_minus_r3_w1,r1_w1_max_gain_pct,r2_w1_max_gain_pct,r3_w1_max_gain_pct,w2_common_valid,r1_w2_return_pct,r2_w2_return_pct,r3_w2_return_pct,k1_w2,k2_w2,k3_w2,mc2_w2,mc3_w2,r3_minus_r2_w2,r1_minus_r2_w2,r1_minus_r3_w2,r1_w2_max_gain_pct,r2_w2_max_gain_pct,r3_w2_max_gain_pct,w3_common_valid,r1_w3_return_pct,r2_w3_return_pct,r3_w3_return_pct,k1_w3,k2_w3,k3_w3,mc2_w3,mc3_w3,r3_minus_r2_w3,r1_minus_r2_w3,r1_minus_r3_w3,r1_w3_max_gain_pct,r2_w3_max_gain_pct,r3_w3_max_gain_pct,w4_common_valid,r1_w4_return_pct,r2_w4_return_pct,r3_w4_return_pct,k1_w4,k2_w4,k3_w4,mc2_w4,mc3_w4,r3_minus_r2_w4,r1_minus_r2_w4,r1_minus_r3_w4,r1_w4_max_gain_pct,r2_w4_max_gain_pct,r3_w4_max_gain_pct,r1_stop8_before_p20,r1_stop8_ever,r1_gap_stop,r1_profit20,r1_asof_return_pct,r1_asof_max_gain_pct,r1_asof_drawdown_pct,r2_stop8_before_p20,r2_stop8_ever,r2_gap_stop,r2_profit20,r2_asof_return_pct,r2_asof_max_gain_pct,r2_asof_drawdown_pct,r3_stop8_before_p20,r3_stop8_ever,r3_gap_stop,r3_profit20,r3_asof_return_pct,r3_asof_max_gain_pct,r3_asof_drawdown_pct
2025-10-24,True,False,2,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,True,False,2,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-07,True,False,1,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14,True,False,3,True,ALL,LH,LYFT,True,-0.4057,-0.0303,-13.7375,-0.4057,-0.218,-4.7245,0.1877,-4.5065,-13.7072,-0.3754,13.3318,0.3208,1.4339,0.3053,True,-1.0284,1.4225,-8.2861,-1.0284,0.1971,-2.6307,1.2254,-2.8277,-9.7086,-2.4509,7.2577,0.0802,2.0787,-7.7191,True,-5.5616,-2.496,0.1744,-5.5616,-4.0288,-2.6277,1.5328,1.4011,2.6704,-3.0656,-5.736,-0.283,2.9474,1.7444,True,-3.269,-0.3111,-11.1644,-3.269,-1.7901,-4.9148,1.4789,-3.1248,-10.8533,-2.9579,7.8954,-2.9435,0.6449,1.3956,True,True,False,True,19.7368,30.7703,-10.7647,False,False,False,True,27.5852,28.2869,-7.5487,True,True,False,False,-22.8958,1.7444,-45.6607
2025-11-21,True,False,1,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28,True,False,3,True,MNST,ROST,WFC,True,-2.0847,1.3534,4.666,-2.0847,-0.3657,1.3116,1.7191,1.6772,3.3126,-3.4381,-6.7507,1.288,2.03,6.1464,True,-1.7793,3.997,8.0767,-1.7793,1.1088,3.4315,2.8881,2.3226,4.0797,-5.7763,-9.856,-1.1021,5.6601,8.8465,True,1.2615,4.1805,8.361,1.2615,2.721,4.601,1.4595,1.88,4.1805,-2.919,-7.0995,2.4698,6.1418,9.8176,True,2.6557,3.4522,10.9901,2.6557,3.0539,5.6993,0.3982,2.6454,7.5379,-0.7965,-8.3344,3.9835,4.9432,11.6769,False,True,True,True,-35.0418,33.236,-40.1806,False,False,False,True,37.0799,47.3793,-0.3498,True,True,False,False,0.3316,13.9034,-14.306
2025-12-05,True,False,1,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-19,True,False,3,True,SCHW,PLTR,MU,True,2.3433,-3.2455,2.7557,2.3433,-0.4511,0.6178,-2.7944,1.0689,6.0012,5.5888,-0.4124,2.7389,1.9688,4.9516,True,2.0187,-13.9356,13.8544,2.0187,-5.9585,0.6458,-7.9772,6.6043,27.79,15.9543,-11.8357,2.2824,-4.0197,13.9194,True,0.6188,-8.9982,24.563,0.6188,-4.1897,5.3945,-4.8085,9.5842,33.5612,9.617,-23.9442,5.2242,-3.9787,25.0,True,4.2808,-12.3462,30.9376,4.2808,-4.0327,7.6241,-8.3135,11.6568,43.2838,16.627,-26.6568,5.4474,-6.4295,32.0428,True,True,False,False,13.9176,14.0191,-15.0741,True,True,False,False,-7.742,1.9688,-45.4625,False,False,False,True,249.1693,353.1963,-3.1963
2025-12-26,True,False,2,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02,True,False,1,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
