snapshot_date,code,pick_order,entry_status,lane,industry,reason_codes,risk_codes,sort_key,raw_rank,ibd_candidate_rule,ibd_candidate_price,latest_close,current_vs_ibd_candidate_pct,ibd_entry_volume_ratio,ibd_entry_close_position,ibd_entry_breakout_range_ratio,dist_to_52w_high_pct,volume_ratio,eps_yoy_growth,effective_eps_yoy_growth,price_data_status
2025-10-24,IBM,1,ACTIONABLE,fresh_demand_alpha,Unknown,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -3.4439759503332747, 'IBM', 21)",1,ceiling,293.13,307.46,4.89,3.4439759503332747,0.884723195515066,0.5021023125437972,-1.058728881737736,2.510703264532189,611.1111111111,611.1111111111,PENDING
2025-10-24,AAPL,2,ACTIONABLE,standard_breakout,Telecommunications Equipment,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;near_52w_high,,"(0, 2, 0, -3, 0, 0, 1, 1, -1.7323389230937476, 'AAPL', 15)",12,ceiling,259.18,262.82,1.4,1.7323389230937476,0.755428571428573,0.349714285714286,-0.93105657959216,1.1632026102461466,11.1111111111,11.1111111111,PENDING
2025-10-31,VTR,1,ACTIONABLE,constructive_pullback,Real Estate Investment Trusts,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,pullback_not_dry,"(0, 1, 0, -4, 1, 1, 0, 0, -2.157459398838709, 'VTR', 27)",1,ma10_touch_confirm,70.84,73.79,4.16,2.157459398838709,0.9466463414634154,0.5365853658536589,-1.231428188997441,1.7382656987851068,180.0,180.0,PENDING
2025-10-31,SOFI,2,ACTIONABLE,constructive_pullback,Unknown,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;pullback_structure,pullback_not_dry,"(0, 1, 0, -3, 1, 0, 0, 0, -2.638767822182297, 'SOFI', 9)",2,pivot,29.63,29.68,0.17,2.638767822182297,0.8993710691823898,0.6383647798742142,-8.845208845208852,1.5713871268676354,116.6666666667,116.6666666667,PENDING
2025-11-07,COLL,1,ACTIONABLE,fresh_demand_alpha,Unknown,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -2.1072591018944413, 'COLL', 4)",1,ceiling,42.23,42.3,0.17,2.1072591018944413,0.6923076923076901,0.02834008097166,-1.7649790989317404,1.88133182204756,211.1111111111,211.1111111111,PENDING
2025-11-14,ALL,1,ACTIONABLE,fresh_demand_alpha,Multi-Line Insurance,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -1.8068879028430345, 'ALL', 13)",1,ceiling,210.85,214.3,1.64,1.8068879028430345,0.7946666666666715,0.9200000000000046,-0.64904960593416,1.3277408563188609,222.1709006928,222.1709006928,PENDING
2025-11-14,LH,2,ACTIONABLE,fresh_demand_alpha,Medical/Nursing Services,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,,"(0, 0, 0, -4, 0, 1, 0, 0, -2.182088193729191, 'LH', 3)",2,ceiling,260.99,266.89,2.26,2.182088193729191,0.9263854425144756,0.0115798180314298,-9.134549911480338,2.121417600518684,56.0,56.0,PENDING
2025-11-14,LYFT,3,ACTIONABLE,constructive_pullback,Unknown,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;pullback_structure,,"(0, 1, 0, -4, 0, 1, 0, 0, -2.1354427537112186, 'LYFT', 0)",3,ma10_touch_confirm,22.19,23.14,4.28,2.1354427537112186,0.9112426035502946,0.90532544378698,-9.397024275646038,1.4075003914351387,466.6666666667,466.6666666667,PENDING
2025-11-21,WMT,1,ACTIONABLE,fresh_demand_alpha,Unknown,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -3.238023896478674, 'WMT', 3)",1,ceiling,104.51,105.32,0.78,3.238023896478674,0.8470363288718932,0.4971319311663478,-3.887570724584788,2.129459793119035,57.1428571429,57.1428571429,PENDING
2025-11-28,MNST,1,ACTIONABLE,constructive_pullback,Beverages: Non-Alcoholic,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high;pullback_structure,pullback_not_dry,"(0, 1, 0, -3, 1, 1, 0, 1, -1.8327218348925831, 'MNST', 24)",1,ma10_touch_confirm,72.62,74.99,3.26,1.8327218348925831,0.763975155279497,0.3850931677018575,-0.3719941543775751,0.8831286156597405,30.4347826087,30.4347826087,PENDING
2025-11-28,ROST,2,ACTIONABLE,standard_breakout,Apparel/Footwear Retail,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;near_52w_high;pullback_structure,pullback_not_dry,"(0, 2, 0, -2, 1, 0, 1, 1, -1.7914428565667524, 'ROST', 29)",16,ceiling_pullback,174.86,176.36,0.86,1.7914428565667524,0.7832898172323735,0.4281984334203605,-1.0269936584544448,1.1661167543326116,-1.8867924528,-1.8867924528,PENDING
2025-11-28,WFC,3,ACTIONABLE,standard_breakout,Major Banks,near_buy_point;volume_confirms_breakout;near_52w_high;pullback_structure,pullback_not_dry,"(0, 2, 0, -2, 1, 1, 1, 1, -1.8425351284104892, 'WFC', 27)",17,pivot,83.89,85.85,2.34,1.8425351284104892,0.839552238805968,0.2873134328358186,-3.1475631768953183,0.8642318565516041,16.9014084507,16.9014084507,PENDING
2025-12-05,DASH,1,ACTIONABLE,fresh_demand_alpha,Air Freight/Couriers,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,,"(0, 0, 0, -4, 0, 1, 0, 0, -2.1449777553709577, 'DASH', 18)",1,ceiling,214.64,225.0,4.83,2.1449777553709577,0.896825396825397,0.1428571428571431,-21.190893169877413,1.4500688461208224,44.7368421053,44.7368421053,PENDING
2025-12-19,SCHW,1,ACTIONABLE,fresh_demand_alpha,Investment Banks/Brokers,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -2.6493764581893835, 'SCHW', 18)",1,ceiling,97.27,98.82,1.59,2.6493764581893835,0.6926406926406895,0.6709956709956691,-0.7133527579624266,1.633422314965375,77.4647887324,77.4647887324,PENDING
