horizon,segment,sample_weeks,k1_median_return_pct,k1_mean_return_pct,k2_median_return_pct,k2_mean_return_pct,k3_median_return_pct,k3_mean_return_pct,mc2_median_pct,mc2_mean_pct,mc2_win_rate_pct,mc2_wilcoxon_p,mc2_boot_ci95_low,mc2_boot_ci95_high,mc3_median_pct,mc3_mean_pct,mc3_win_rate_pct,mc3_wilcoxon_p,mc3_boot_ci95_low,mc3_boot_ci95_high,hyp_a_r3_minus_r2_median_spread_pct,hyp_a_r3_minus_r2_mean_spread_pct,hyp_a_r3_gt_r2_win_rate_pct,hyp_a_wilcoxon_p,hyp_a_boot_ci95_low,hyp_a_boot_ci95_high,hyp_b_k3_minus_k2_median_spread_pct,hyp_b_k3_minus_k2_mean_spread_pct,hyp_b_k3_gt_k2_win_rate_pct,hyp_b_wilcoxon_p,hyp_b_boot_ci95_low,hyp_b_boot_ci95_high,hyp_c_r1_minus_r2_median_spread_pct,hyp_c_r1_minus_r2_mean_spread_pct,hyp_c_r1_gt_r2_win_rate_pct,hyp_c_wilcoxon_p,hyp_c_boot_ci95_low,hyp_c_boot_ci95_high,horizon_status
W1,All common-support weeks,25,0.3201,0.9285,0.4035,0.3735,0.6892,0.5456,0.0431,-0.5551,52.0,0.3525,-1.7658,0.6422,0.0992,0.1721,60.0,0.8532,-0.7575,1.1792,2.4121,1.0714,56.0,0.6338,-1.9056,4.2774,0.0992,0.1721,60.0,0.8532,-0.7575,1.1792,-0.0861,1.1102,48.0,0.3525,-1.2843,3.5316,PRIMARY
W1,Train-era weeks 1-30,14,-0.5972,0.7597,-0.2918,0.0143,0.8093,0.6518,-0.2303,-0.7453,50.0,0.4263,-2.4648,1.1041,0.3262,0.6374,71.43,0.4263,-0.8612,2.3171,2.6784,2.6576,64.29,0.391,-1.8586,7.8968,0.3262,0.6374,71.43,0.4263,-0.8612,2.3171,0.4606,1.4907,50.0,0.4263,-2.2082,4.9297,PRIMARY
W1,Contaminated validation weeks 31-40,11,2.4218,1.1435,1.3189,0.8305,0.6892,0.4104,0.0896,-0.3129,54.55,0.7646,-1.86,1.1643,-0.3056,-0.4201,45.45,0.4648,-1.2468,0.2748,-0.446,-0.9473,45.45,0.7646,-4.3116,1.8706,-0.3056,-0.4201,45.45,0.4648,-1.2468,0.2748,-0.1791,0.6259,45.45,0.7646,-2.3286,3.72,PRIMARY
W1,Early half,13,-0.4057,1.1008,-0.218,0.1404,1.0008,0.8213,-0.5036,-0.9604,46.15,0.3396,-2.7252,0.9397,0.5318,0.6809,69.23,0.4973,-0.9391,2.4826,2.7138,3.003,69.23,0.4143,-1.8415,8.6012,0.5318,0.6809,69.23,0.4973,-0.9391,2.4826,1.0072,1.9207,53.85,0.3396,-1.8793,5.4503,PRIMARY
W1,Late half,12,1.371,0.742,1.2764,0.6259,0.4355,0.2469,0.5851,-0.116,58.33,0.9697,-1.616,1.2656,-0.1165,-0.379,50.0,0.5186,-1.1306,0.2528,-0.8882,-1.021,41.67,0.6772,-3.9785,1.5868,-0.1165,-0.379,50.0,0.5186,-1.1306,0.2528,-1.1702,0.2321,41.67,0.9697,-2.5311,3.232,PRIMARY
W2,All common-support weeks,25,1.9559,1.4254,0.1971,0.1785,0.1032,0.7704,-0.4286,-1.2468,44.0,0.2752,-3.3259,0.8018,0.0023,0.5918,52.0,0.5602,-0.5722,1.8191,0.0662,3.0223,52.0,0.2872,-0.1831,6.6365,0.0023,0.5918,52.0,0.5602,-0.5722,1.8191,0.8573,2.4937,56.0,0.2752,-1.6037,6.6517,PRIMARY
W2,Train-era weeks 1-30,14,1.5433,1.2355,-1.534,-0.288,0.0757,0.8574,0.3984,-1.5236,50.0,0.5016,-4.9461,2.0268,1.5792,1.1454,57.14,0.2958,-0.6987,3.0042,3.0928,4.9598,64.29,0.2412,-0.1257,10.5244,1.5792,1.1454,57.14,0.2958,-0.6987,3.0042,-0.7968,3.0472,50.0,0.5016,-4.0535,9.8923,PRIMARY
W2,Contaminated validation weeks 31-40,11,1.9559,1.667,2.7828,0.7724,1.6008,0.6596,-2.2322,-0.8946,36.36,0.2783,-2.4485,0.7325,-0.0503,-0.1128,45.45,0.7002,-1.3816,1.2194,-0.1764,0.5563,36.36,0.8311,-2.641,3.8986,-0.0503,-0.1128,45.45,0.7002,-1.3816,1.2194,4.4643,1.7893,63.64,0.2783,-1.465,4.8969,PRIMARY
W2,Early half,13,2.0187,1.9147,0.1971,-0.0591,0.1032,1.1102,-0.4286,-1.9738,46.15,0.4143,-5.4574,1.677,2.3226,1.1692,53.85,0.2734,-0.7969,3.1958,3.4934,5.4814,69.23,0.2163,0.1307,11.5258,2.3226,1.1692,53.85,0.2734,-0.7969,3.1958,0.8573,3.9475,53.85,0.4143,-3.354,10.9149,PRIMARY
W2,Late half,12,0.851,0.8953,1.1122,0.4359,0.4679,0.4022,-1.2683,-0.4593,41.67,0.6221,-2.1088,1.2126,-0.024,-0.0337,50.0,0.8501,-1.2244,1.1796,-0.3532,0.3582,33.33,0.6772,-2.5845,3.4078,-0.024,-0.0337,50.0,0.8501,-1.2244,1.1796,2.5366,0.9187,58.33,0.6221,-2.4253,4.2176,PRIMARY
W3,All common-support weeks,24,1.342,2.5471,-0.3419,2.125,1.2174,2.2829,0.4368,-0.4222,54.17,0.9888,-3.6881,2.5509,0.6576,0.1579,58.33,0.684,-1.3824,1.7099,0.951,0.8959,58.33,0.7257,-3.4511,5.6081,0.6576,0.1579,58.33,0.684,-1.3824,1.7099,-0.8737,0.8443,45.83,0.9888,-5.1018,7.3762,DIAGNOSTIC_ONLY
W3,Train-era weeks 1-30,14,0.9402,2.6474,-2.5736,2.1964,1.7157,2.7239,1.1461,-0.451,57.14,1.0,-5.6134,4.3148,1.5882,0.5275,64.29,0.583,-1.7787,2.8498,0.8477,2.0335,57.14,0.9032,-4.5393,9.0005,1.5882,0.5275,64.29,0.583,-1.7787,2.8498,-2.2921,0.902,42.86,1.0,-8.6296,11.2267,DIAGNOSTIC_ONLY
W3,Contaminated validation weeks 31-40,10,1.4815,2.4067,0.8817,2.0249,1.0142,1.6654,-0.5325,-0.3818,50.0,0.8457,-3.2047,2.4018,-0.08,-0.3595,50.0,0.8457,-2.1538,1.194,1.1974,-0.6968,60.0,0.8457,-6.2886,3.9508,-0.08,-0.3595,50.0,0.8457,-2.1538,1.194,1.065,0.7636,50.0,0.8457,-4.8037,6.4093,DIAGNOSTIC_ONLY
W3,Early half,13,1.2615,3.8615,-1.1184,2.7458,2.0866,3.151,0.8326,-1.1157,53.85,0.7869,-6.4574,3.9706,1.4011,0.4052,61.54,0.6848,-2.0895,2.9341,0.85,2.3313,61.54,0.8394,-4.7102,9.7988,1.4011,0.4052,61.54,0.6848,-2.0895,2.9341,-1.6652,2.2314,46.15,0.7869,-7.9411,12.9147,DIAGNOSTIC_ONLY
W3,Late half,11,1.4225,0.9938,0.4346,1.3913,0.9384,1.2569,0.041,0.3974,54.55,0.8984,-2.5247,3.264,0.0789,-0.1344,54.55,0.9658,-1.8285,1.342,1.052,-0.8005,54.55,0.9658,-5.8229,3.4419,0.0789,-0.1344,54.55,0.9658,-1.8285,1.342,-0.0821,-0.7949,45.45,0.8984,-6.528,5.0495,DIAGNOSTIC_ONLY
W4,All common-support weeks,23,1.5779,2.8824,1.0083,4.9871,3.7727,4.0997,1.2279,2.1047,56.52,0.709,-3.4859,8.3472,0.1951,-0.8874,52.17,0.8229,-4.0159,1.7864,3.0804,-4.7669,60.87,0.8462,-18.3627,5.655,0.1951,-0.8874,52.17,0.8229,-4.0159,1.7864,-2.4557,-4.2094,43.48,0.709,-16.6944,6.9718,PRIMARY
W4,Train-era weeks 1-30,14,2.1168,3.6371,-0.9454,6.5631,3.5174,5.4448,0.8131,2.926,57.14,0.7609,-6.0092,12.9219,-0.348,-1.1183,50.0,0.7609,-5.7277,2.9063,2.5286,-6.2809,57.14,1.0,-27.5796,9.7989,-0.348,-1.1183,50.0,0.7609,-5.7277,2.9063,-1.6261,-5.8521,42.86,0.7609,-25.8437,12.0184,PRIMARY
W4,Contaminated validation weeks 31-40,9,-1.7677,1.7084,1.6086,2.5355,3.7727,2.0073,3.3041,0.8271,55.56,0.7344,-2.4855,3.9743,0.1951,-0.5282,55.56,1.0,-3.5864,2.1537,4.0126,-2.4117,66.67,0.7344,-12.0209,5.3848,0.1951,-0.5282,55.56,1.0,-3.5864,2.1537,-6.6081,-1.6542,44.44,0.7344,-7.9486,4.9708,PRIMARY
W4,Early half,13,2.6557,5.2302,-0.1006,7.6183,5.6993,6.2805,0.3982,2.388,53.85,0.946,-6.9616,13.3489,-1.6643,-1.3378,46.15,0.6848,-6.323,3.0071,3.0804,-6.4015,61.54,0.8926,-30.022,11.1387,-1.6643,-1.3378,46.15,0.6848,-6.323,3.0071,-0.7965,-4.7761,46.15,0.946,-26.6978,13.9233,PRIMARY
W4,Late half,10,-1.7989,-0.1698,1.3085,1.5666,2.7882,1.2647,3.3714,1.7364,60.0,0.4316,-1.6979,5.05,0.9652,-0.3018,60.0,0.7695,-3.1065,2.1059,2.9306,-2.6419,60.0,0.9219,-11.4009,4.5957,0.9652,-0.3018,60.0,0.7695,-3.1065,2.1059,-6.7427,-3.4728,40.0,0.4316,-10.1,3.3957,PRIMARY
