snapshot_date,total_picks,valid_picks,picked_codes,w1_mean_close_return_pct,w1_median_close_return_pct,w1_portfolio_win_rate_pct,w1_mean_max_gain_pct,w2_mean_close_return_pct,w3_mean_close_return_pct,w4_mean_close_return_pct,asof_mean_current_return_pct,asof_median_current_return_pct,asof_mean_exec_return_pct,asof_median_exec_return_pct,asof_mean_max_gain_pct,asof_stop8_count,has_profit20_winner,all_three_stopped
2025-10-24,2,2,"IBM,AAPL",0.9711,0.9711,50.0,4.2241,0.4464,1.4019,-0.1207,-2.8843,-2.8843,-8.0,-8.0,20.2399,2,True,False
2025-10-31,2,2,"VTR,SOFI",-0.3811,-0.3811,50.0,4.7976,0.279,-3.3042,5.2803,-4.3833,-4.3833,10.8682,10.8682,25.9964,1,True,False
2025-11-07,1,1,COLL,8.5458,8.5458,100.0,13.7394,6.5628,10.1983,13.102,-35.4344,-35.4344,-8.0,-8.0,19.9008,1,False,False
2025-11-14,3,3,"ALL,LH,LYFT",-4.7245,-0.4057,0.0,0.6867,-2.6307,-2.6277,-4.9148,8.1421,19.7368,3.8617,-8.0,20.2672,2,True,False
2025-11-21,1,1,WMT,4.8909,4.8909,100.0,5.0727,9.2554,10.9877,8.7672,1.9238,1.9238,1.9238,1.9238,29.0582,0,True,False
2025-11-28,3,3,"MNST,ROST,WFC",1.3116,1.3534,66.67,3.1548,3.4315,4.601,5.6993,0.7899,0.3316,-2.1201,-8.0,31.5062,2,True,False
2025-12-05,1,1,DASH,1.2642,1.2642,100.0,3.5522,4.2733,4.1398,-2.1634,1.9631,1.9631,-8.0,-8.0,6.3877,1,False,False
2025-12-19,3,3,"SCHW,PLTR,MU",0.6178,2.3433,66.67,3.2198,0.6458,5.3945,7.6241,85.115,13.9176,77.7231,-8.0,123.0614,2,True,False
2025-12-26,2,2,"HEI,HUT",1.8633,1.8633,50.0,3.9865,14.5071,13.9558,9.7744,34.7728,34.7728,-8.0,-8.0,100.8628,2,True,False
2026-01-02,1,1,FTAI,15.5421,15.5421,100.0,18.9371,28.6964,37.3446,28.0439,-6.18,-6.18,-12.7429,-12.7429,52.1112,1,True,False
2026-01-09,1,1,GH,-0.7611,-0.7611,0.0,2.2478,1.5487,0.9204,-9.8673,51.0531,51.0531,-8.0,-8.0,56.2655,1,True,False
2026-01-16,2,2,"BKR,FE",1.7213,1.7213,50.0,4.1892,4.6086,7.1117,13.0393,11.6849,11.6849,11.6849,11.6849,24.6268,0,True,False
2026-01-23,2,2,"MTB,MDT",2.8041,2.8041,100.0,3.1283,6.6174,2.7553,2.347,3.7934,3.7934,-8.0,-8.0,12.9412,2,True,False
2026-01-30,3,3,"HON,AAOI,ZM",3.7908,5.365,100.0,8.4696,4.5045,9.7751,29.7808,54.0902,14.3309,-8.0,-8.0,163.8689,3,True,True
2026-02-13,1,1,WULF,-4.8796,-4.8796,0.0,5.5767,2.7883,-12.8644,-7.0342,-1.9011,-1.9011,-8.0,-8.0,89.1001,1,True,False
2026-02-20,3,3,"FANG,HEI,UAL",-4.7334,-4.4924,0.0,2.6151,-9.0718,-11.8219,-10.1525,8.4636,2.0395,0.3408,-10.1527,19.2841,2,True,False
