comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,stop8_diff_wilcoxon_p,mean_all_stopped_rate_diff_pct,all_stopped_diff_wilcoxon_p,mean_profit20_rate_diff_pct,removed_gate,screening_gate_verdict
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W1,PRIMARY,All historical,40,0.3619,0.8513,57.5,0.4105,-0.6543,2.5749,0.9164,-2.18,0.5466,-3.61,0.1941,0.86,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W2,PRIMARY,All historical,40,0.5765,1.8808,55.0,0.3154,-0.018,4.0051,1.9205,-2.18,0.5466,-3.61,0.1941,0.86,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W3,DIAGNOSTIC_ONLY,All historical,39,1.4746,1.8485,53.85,0.3154,-1.3038,5.2043,2.4023,-2.17,0.5707,-3.68,0.2189,1.13,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W4,PRIMARY,All historical,38,1.3401,1.6921,55.26,0.3728,-0.8711,4.3558,1.6224,-1.91,0.6469,-3.77,0.2451,1.7,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W1,PRIMARY,Train-era weeks 1-30,29,0.4602,1.2126,55.17,0.438,-0.7963,3.5143,1.0423,-2.73,0.6617,-7.33,0.2792,2.77,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W2,PRIMARY,Train-era weeks 1-30,29,0.9568,2.8117,58.62,0.1936,0.3278,5.6292,2.3082,-2.73,0.6617,-7.33,0.2792,2.77,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,29,1.907,2.5982,55.17,0.2652,-1.4858,6.9599,2.5704,-2.73,0.6617,-7.33,0.2792,2.77,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W4,PRIMARY,Train-era weeks 1-30,29,1.1238,2.4809,55.17,0.256,-0.5843,5.8111,1.939,-2.73,0.6617,-7.33,0.2792,2.77,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W1,PRIMARY,Contaminated validation weeks 31-40,11,0.2185,-0.101,63.64,0.7002,-1.2905,0.8583,0.5843,-0.73,0.5771,6.2,0.5771,-4.17,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W2,PRIMARY,Contaminated validation weeks 31-40,11,-0.7484,-0.5734,45.45,0.6377,-2.6247,1.1076,0.8984,-0.73,0.5771,6.2,0.5771,-4.17,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,10,0.1328,-0.3255,50.0,0.9219,-2.8874,2.017,1.9148,-0.52,0.625,6.93,0.6953,-3.64,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
ACTIONABLE Status Gate (E0 vs NO_ACTIONABLE),GATE_ABLATION,E0_BASE,E0_NO_ACTIONABLE,W4,PRIMARY,Contaminated validation weeks 31-40,9,1.5564,-0.8496,55.56,0.9102,-4.8464,2.4937,0.6024,0.76,0.8203,7.73,0.8203,-1.73,ACTIONABLE,DIRECTIONALLY SUPPORTED & OPERATIONALLY CRITICAL GATE
