comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,mean_all_stopped_rate_diff_pct,mean_profit20_rate_diff_pct
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W1,PRIMARY,All historical,40,0.0271,0.7894,50.0,0.6948,-0.5636,2.3684,0.7763,-0.0225,-0.0324,0.0125
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W2,PRIMARY,All historical,40,0.2622,1.6147,52.5,0.3269,-0.3485,3.7935,1.9616,-0.0225,-0.0324,0.0125
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W3,DIAGNOSTIC_ONLY,All historical,39,0.4063,2.3246,56.41,0.2302,-0.2673,5.2686,2.5916,-0.0213,-0.0328,0.0151
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W4,PRIMARY,All historical,38,1.2052,1.7975,55.26,0.2677,-0.593,4.3478,1.4978,-0.0177,-0.0332,0.0204
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W1,PRIMARY,Train-era weeks 1-30,30,0.2334,1.1949,56.67,0.428,-0.5616,3.2322,0.7988,-0.0191,-0.0622,0.0409
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W2,PRIMARY,Train-era weeks 1-30,30,1.0044,2.3388,56.67,0.2129,-0.2826,5.1553,2.1905,-0.0191,-0.0622,0.0409
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,30,2.0774,3.1534,56.67,0.1772,-0.1911,6.8305,2.6422,-0.0191,-0.0622,0.0409
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W4,PRIMARY,Train-era weeks 1-30,30,2.2741,2.695,56.67,0.1373,-0.2216,5.6716,1.6295,-0.0191,-0.0622,0.0409
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W1,PRIMARY,Contaminated validation weeks 31-40,10,-0.1197,-0.4272,30.0,0.375,-1.276,0.2948,0.7091,-0.0327,0.057,-0.0729
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W2,PRIMARY,Contaminated validation weeks 31-40,10,-0.2019,-0.5578,40.0,0.625,-2.308,0.8156,1.2749,-0.0327,0.057,-0.0729
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,9,0.0628,-0.4383,55.56,1.0,-2.7359,1.5767,2.4229,-0.0286,0.0652,-0.071
Pure Eligibility Alpha (E0 - L0),ALPHA_DECOMPOSITION,E0_BASE,L0_SIGNAL,W4,PRIMARY,Contaminated validation weeks 31-40,8,0.2258,-1.5679,50.0,0.7422,-4.991,1.0915,1.0041,-0.0126,0.0752,-0.0566
Industry Diversity Alpha (E1 - E0),ALPHA_DECOMPOSITION,E1_INDUSTRY_DIVERSE,E0_BASE,W1,PRIMARY,All historical,40,0.0,-0.2097,30.0,0.229,-1.5034,0.64,0.1245,-0.001,-0.0072,0.0237
Industry Diversity Alpha (E1 - E0),ALPHA_DECOMPOSITION,E1_INDUSTRY_DIVERSE,E0_BASE,W2,PRIMARY,All historical,40,0.0,-0.3043,27.5,0.4091,-1.6993,0.587,0.1748,-0.001,-0.0072,0.0237
