comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,mean_all_stopped_rate_diff_pct,mean_profit20_rate_diff_pct,probe_name,probe_condition,probe_verdict
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W1,PRIMARY,All historical,40,0.0,0.1218,20.0,0.3225,-0.0081,0.355,0.0151,-0.0013,-0.0019,-0.0024,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W2,PRIMARY,All historical,40,0.0,0.026,17.5,0.8288,-0.03,0.1047,0.0101,-0.0013,-0.0019,-0.0024,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W3,DIAGNOSTIC_ONLY,All historical,39,0.0,-0.0357,20.51,0.5619,-0.1434,0.0571,0.0341,-0.0022,-0.0021,-0.0025,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W4,PRIMARY,All historical,38,0.0,0.0638,31.58,0.0448,-0.0996,0.201,0.0771,-0.0022,-0.0022,-0.0025,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W1,PRIMARY,Train-era weeks 1-30,30,0.0,0.1602,16.67,0.2188,-0.0052,0.4665,0.0266,-0.0017,-0.0013,-0.0022,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W2,PRIMARY,Train-era weeks 1-30,30,0.0,0.0409,13.33,0.7344,-0.0252,0.1425,0.0365,-0.0017,-0.0013,-0.0022,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,30,0.0,-0.0293,13.33,0.8438,-0.1652,0.0885,0.0498,-0.0017,-0.0013,-0.0022,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W4,PRIMARY,Train-era weeks 1-30,30,0.0,0.0395,20.0,0.25,-0.1541,0.205,0.094,-0.0017,-0.0013,-0.0022,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W1,PRIMARY,Contaminated validation weeks 31-40,10,-0.0113,0.0065,30.0,0.9102,-0.0626,0.0782,-0.0195,-0.0002,-0.0039,-0.003,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W2,PRIMARY,Contaminated validation weeks 31-40,10,-0.054,-0.0189,30.0,0.4922,-0.1042,0.0766,-0.069,-0.0002,-0.0039,-0.003,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,9,0.0,-0.0571,44.44,0.4609,-0.1664,0.0239,-0.0182,-0.0038,-0.0049,-0.0033,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 5% (T_FRESH_5 vs E0),TIGHTENING_PROBE,T_FRESH_5,E0_BASE,W4,PRIMARY,Contaminated validation weeks 31-40,8,0.0534,0.155,75.0,0.1484,0.0063,0.3571,0.0139,-0.0041,-0.0055,-0.0037,T_FRESH_5,0 <= current_vs <= 5.0,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W1,PRIMARY,All historical,22,0.0,-0.6876,45.45,0.498,-2.9161,0.6336,1.1104,-0.0258,-0.0241,0.0371,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W2,PRIMARY,All historical,22,0.0,-0.8496,36.36,0.9265,-3.3753,0.745,1.3576,-0.0258,-0.0241,0.0371,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W3,DIAGNOSTIC_ONLY,All historical,21,0.0,-0.6246,47.62,0.6794,-3.3079,1.2892,1.4781,-0.0256,-0.025,0.0389,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W4,PRIMARY,All historical,20,0.0,-1.0817,45.0,0.5171,-5.9836,2.0526,1.8707,-0.0244,-0.0263,0.0408,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W1,PRIMARY,Train-era weeks 1-30,13,0.0,-1.5317,46.15,0.9658,-5.0662,0.537,1.4373,-0.0383,-0.0276,0.0048,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W2,PRIMARY,Train-era weeks 1-30,13,0.0,-1.7423,30.77,0.8438,-5.6767,0.6264,1.9598,-0.0383,-0.0276,0.0048,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,13,0.0,-1.7487,38.46,0.8984,-5.6567,1.0019,1.8582,-0.0383,-0.0276,0.0048,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W4,PRIMARY,Train-era weeks 1-30,13,0.0,-2.4578,38.46,1.0,-9.6954,2.1428,2.3054,-0.0383,-0.0276,0.0048,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W1,PRIMARY,Contaminated validation weeks 31-40,9,-0.0143,0.5316,44.44,0.5703,-0.133,1.3247,0.6382,-0.0077,-0.019,0.0838,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W2,PRIMARY,Contaminated validation weeks 31-40,9,-0.0989,0.4399,44.44,0.8203,-0.6244,1.6895,0.4877,-0.0077,-0.019,0.0838,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,8,0.6923,1.2022,62.5,0.3828,-0.3353,2.866,0.8603,-0.005,-0.0207,0.0943,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: Freshness within 2% (T_FRESH_2 vs E0),TIGHTENING_PROBE,T_FRESH_2,E0_BASE,W4,PRIMARY,Contaminated validation weeks 31-40,7,0.408,1.4739,57.14,0.375,-0.2678,3.3826,1.0634,0.0014,-0.0237,0.1077,T_FRESH_2,0 <= current_vs <= 2.0,UNFAVORABLE COVERAGE TRADEOFF
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W1,PRIMARY,All historical,31,0.0,0.0697,25.81,0.7983,-0.3113,0.5409,0.3189,-0.0018,0.0047,0.0031,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W2,PRIMARY,All historical,31,0.0,-0.0842,29.03,0.6507,-0.3304,0.1468,0.2064,-0.0018,0.0047,0.0031,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W3,DIAGNOSTIC_ONLY,All historical,30,0.0,-0.1329,30.0,0.8603,-0.6316,0.2649,-0.0564,0.0003,0.0051,0.0032,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W4,PRIMARY,All historical,29,0.0,-0.3396,20.69,0.2979,-0.9541,0.2107,-0.5276,-0.001,0.0052,0.0033,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W1,PRIMARY,Train-era weeks 1-30,22,0.0,0.2178,22.73,0.9219,-0.2143,0.8353,0.4664,-0.0108,0.0071,-0.0218,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W2,PRIMARY,Train-era weeks 1-30,22,0.0,-0.0686,22.73,0.7695,-0.3542,0.2004,0.4689,-0.0108,0.0071,-0.0218,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,22,0.0,-0.1743,18.18,0.8438,-0.785,0.2827,0.2238,-0.0108,0.0071,-0.0218,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W4,PRIMARY,Train-era weeks 1-30,22,0.0,-0.4829,9.09,0.3594,-1.2434,0.2077,-0.4594,-0.0108,0.0071,-0.0218,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W1,PRIMARY,Contaminated validation weeks 31-40,9,-0.2526,-0.2923,33.33,0.5703,-0.9557,0.2027,-0.0414,0.0201,-0.0011,0.0641,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W2,PRIMARY,Contaminated validation weeks 31-40,9,-0.0996,-0.1225,44.44,0.8203,-0.5778,0.3388,-0.4352,0.0201,-0.0011,0.0641,T_EPS25,effective_eps >= 25.0,MIXED
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,8,0.132,-0.0191,62.5,0.6406,-0.8868,0.6225,-0.827,0.031,-0.0006,0.0721,T_EPS25,effective_eps >= 25.0,PROMISING DIAGNOSTIC HYPOTHESIS
Probe: EPS Growth >= 25% (T_EPS25 vs E0),TIGHTENING_PROBE,T_EPS25,E0_BASE,W4,PRIMARY,Contaminated validation weeks 31-40,7,0.0176,0.1108,57.14,0.9375,-0.5294,0.7676,-0.7417,0.0298,-0.0007,0.0824,T_EPS25,effective_eps >= 25.0,PROMISING DIAGNOSTIC HYPOTHESIS
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W1,PRIMARY,All historical,40,0.0,-0.383,32.5,0.3205,-1.5921,0.3495,0.0324,-0.0016,-0.0014,-0.0007,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W2,PRIMARY,All historical,40,0.0,-0.3882,32.5,0.406,-1.7459,0.4656,0.0472,-0.0016,-0.0014,-0.0007,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W3,DIAGNOSTIC_ONLY,All historical,39,0.0,-0.5284,23.08,0.7381,-1.7144,0.0969,0.0557,-0.0022,-0.0015,-0.0007,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W4,PRIMARY,All historical,38,0.0,-0.9132,36.84,0.0124,-3.2219,0.3295,0.0638,-0.0022,-0.0015,-0.0008,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W1,PRIMARY,Train-era weeks 1-30,30,0.0,-0.5445,26.67,0.2783,-2.1331,0.4478,0.0317,-0.0016,-0.0011,0.0006,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W2,PRIMARY,Train-era weeks 1-30,30,0.0,-0.5279,26.67,0.4697,-2.3336,0.6214,0.0574,-0.0016,-0.0011,0.0006,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
