variant_name,variant_group,horizon,horizon_status,segment,total_weeks,sample_mature_weeks,feasible_weeks,insufficient_pool_weeks,median_pool_size,mean_pool_size,p25_pool_size,p75_pool_size,mean_valid_draw_pct,median_weekly_p50_ret_pct,mean_weekly_p50_ret_pct,p25_weekly_p50_ret_pct,p75_weekly_p50_ret_pct,mean_worst_pick_pct,median_worst_pick_pct,mean_max_gain_pct,mean_stop8_ever_rate_pct,mean_all_stopped_rate_pct,mean_profit20_ever_rate_pct
L0_SIGNAL,PRIMARY_DECOMPOSITION,W1,PRIMARY,All historical,40,40,40,0,38.0,67.5,17.8,106.5,96.9,0.3704,0.1214,-1.0923,1.3772,-3.4503,-3.1676,4.9505,60.36,35.32,69.81
L0_SIGNAL,PRIMARY_DECOMPOSITION,W2,PRIMARY,All historical,40,40,40,0,38.0,67.5,17.8,106.5,96.9,0.0857,0.2418,-0.8384,2.1582,-4.8877,-4.9423,5.4654,60.36,35.32,69.81
L0_SIGNAL,PRIMARY_DECOMPOSITION,W3,DIAGNOSTIC_ONLY,All historical,40,39,40,0,38.0,67.5,17.8,106.5,96.8,0.7631,0.2322,-2.0047,2.8354,-5.8332,-5.0482,5.8014,61.14,36.15,71.3
L0_SIGNAL,PRIMARY_DECOMPOSITION,W4,PRIMARY,All historical,40,38,40,0,38.0,67.5,17.8,106.5,96.5,0.5002,1.0749,-0.658,4.1384,-6.4348,-6.7279,6.3064,62.21,37.08,72.67
E0_BASE,PRIMARY_DECOMPOSITION,W1,PRIMARY,All historical,40,40,40,0,5.0,10.3,2.0,14.5,100.0,0.1495,0.9714,-1.1372,2.0024,-2.5647,-2.0614,5.3301,57.37,31.11,71.46
E0_BASE,PRIMARY_DECOMPOSITION,W2,PRIMARY,All historical,40,40,40,0,5.0,10.3,2.0,14.5,100.0,0.6095,2.0143,-1.5527,4.0658,-2.9319,-3.2567,6.3631,57.37,31.11,71.46
E0_BASE,PRIMARY_DECOMPOSITION,W3,DIAGNOSTIC_ONLY,All historical,40,39,40,0,5.0,10.3,2.0,14.5,100.0,1.4019,2.5775,-3.5588,6.9111,-3.2368,-3.2894,6.7702,58.23,31.89,73.29
E0_BASE,PRIMARY_DECOMPOSITION,W4,PRIMARY,All historical,40,38,40,0,5.0,10.3,2.0,14.5,100.0,2.3361,3.0896,-3.4794,8.3376,-4.8278,-4.5903,7.8053,59.63,32.73,75.22
E1_INDUSTRY_DIVERSE,PRIMARY_DECOMPOSITION,W1,PRIMARY,All historical,40,40,40,0,5.0,10.3,2.0,14.5,100.0,0.4291,1.2315,-0.8064,2.4247,-2.4241,-2.0327,5.4356,57.54,30.76,73.52
E1_INDUSTRY_DIVERSE,PRIMARY_DECOMPOSITION,W2,PRIMARY,All historical,40,40,40,0,5.0,10.3,2.0,14.5,100.0,0.6517,2.2649,-1.2706,4.3866,-2.7477,-3.7061,6.6257,57.54,30.76,73.52
