original_code,resolved_code,action,bars_count,first_price_date,last_price_date,status,source
AA,AA,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AAL,AAL,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AAMI,AAMI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AAOI,AAOI,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AAON,AAON,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AAPL,AAPL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ABBV,ABBV,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ABCB,ABCB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ABNB,ABNB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ACA,ACA,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ACHC,ACHC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ACLS,ACLS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ACMR,ACMR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ACNB,ACNB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ACT,ACT,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ACU,ACU,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AD,AD,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ADC,ADC,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ADI,ADI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ADM,ADM,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ADPT,ADPT,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AEE,AEE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AEHR,AEHR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AEIS,AEIS,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AEO,AEO,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AEP,AEP,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AFL,AFL,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AGX,AGX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AHR,AHR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AIP,AIP,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AIR,AIR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AIRT,AIRT,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AIT,AIT,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AIZ,AIZ,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AKAM,AKAM,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AKR,AKR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
