snapshot_date,total_candidates,n_draws,seed,valid_draw_pct,w1_valid_draw_pct,w2_valid_draw_pct,w3_valid_draw_pct,w4_valid_draw_pct,w1_mean_return_pct_p05,w1_mean_return_pct_p25,w1_mean_return_pct_p50,w1_mean_return_pct_p75,w1_mean_return_pct_p95,w1_mean_max_gain_pct_p05,w1_mean_max_gain_pct_p25,w1_mean_max_gain_pct_p50,w1_mean_max_gain_pct_p75,w1_mean_max_gain_pct_p95,w2_mean_return_pct_p05,w2_mean_return_pct_p25,w2_mean_return_pct_p50,w2_mean_return_pct_p75,w2_mean_return_pct_p95,w3_mean_return_pct_p05,w3_mean_return_pct_p25,w3_mean_return_pct_p50,w3_mean_return_pct_p75,w3_mean_return_pct_p95,w4_mean_return_pct_p05,w4_mean_return_pct_p25,w4_mean_return_pct_p50,w4_mean_return_pct_p75,w4_mean_return_pct_p95,asof_mean_return_pct_p05,asof_mean_return_pct_p25,asof_mean_return_pct_p50,asof_mean_return_pct_p75,asof_mean_return_pct_p95,asof_mean_exec_return_pct_p05,asof_mean_exec_return_pct_p25,asof_mean_exec_return_pct_p50,asof_mean_exec_return_pct_p75,asof_mean_exec_return_pct_p95,asof_mean_max_gain_pct_p05,asof_mean_max_gain_pct_p25,asof_mean_max_gain_pct_p50,asof_mean_max_gain_pct_p75,asof_mean_max_gain_pct_p95,asof_worst_return_pct_p05,asof_worst_return_pct_p25,asof_worst_return_pct_p50,asof_worst_return_pct_p75,asof_worst_return_pct_p95,asof_stop8_count_p05,asof_stop8_count_p25,asof_stop8_count_p50,asof_stop8_count_p75,asof_stop8_count_p95,b0_actual_asof_mean_return_pct,b0_actual_asof_mean_exec_return_pct,b0_actual_asof_mean_max_gain_pct,b0_actual_w1_mean_return_pct,b0_actual_stop8_count,b0_asof_return_percentile,b0_asof_exec_return_percentile,b0_w1_return_percentile
2025-10-10,12,1000,51052,100.0,100.0,100.0,100.0,100.0,-5.874,-3.7403,-1.7548,-0.6155,1.656,4.06,7.0884,10.2109,13.8144,18.6762,-11.502,-7.5532,-3.6963,-0.1155,4.7256,-13.0394,-6.2737,-0.4258,6.6326,16.9494,-23.491,-14.1964,-4.6012,5.6206,19.6036,-28.8849,-5.7221,19.1171,45.8964,75.8683,-8.0,-8.0,2.6648,49.4632,67.804,26.2866,51.7088,73.8612,96.1041,127.0259,-74.8797,-74.8797,-29.1238,-28.0439,17.3488,1.0,2.0,2.0,3.0,3.0,,,,,,,,
2025-10-24,29,1000,51066,100.0,100.0,100.0,100.0,100.0,-5.1738,-1.91,-0.0476,1.2922,9.6843,0.9936,2.3903,3.63,5.4055,13.0971,-9.5651,-4.3988,-1.1893,0.6391,10.5913,-14.04,-5.462,-2.449,0.4838,8.566,-18.0261,-9.7669,-5.0193,0.1152,11.567,-17.8328,-0.7803,12.9587,27.1154,53.7206,-8.4346,-8.0,5.2276,17.854,48.5471,14.3832,28.4814,41.0138,58.6974,85.5283,-57.9141,-34.3166,-14.2923,-3.425,18.7207,1.0,2.0,2.0,3.0,3.0,-2.8843,-8.0,20.2399,0.9711,2.0,21.8,36.4,69.2
2025-10-31,28,1000,51073,89.3,89.3,89.3,89.3,89.3,-11.4411,-8.1381,-5.3244,-2.6908,0.85,0.9563,1.5353,2.2915,3.7305,5.2293,-21.2053,-14.2189,-9.3851,-5.2104,-0.5149,-24.9956,-17.7552,-12.987,-8.1969,-2.1312,-16.8528,-10.0397,-5.83,-1.498,3.1423,-27.146,-6.219,9.465,29.5377,85.9901,-8.9464,-8.0,-7.0402,4.5788,13.1231,7.6806,21.5929,39.2865,66.6026,166.7221,-65.4818,-41.4598,-24.3539,-5.1205,14.6844,1.0,2.0,2.0,3.0,3.0,-4.3833,10.8682,25.9964,-0.3811,1.0,28.56,92.83,89.25
2025-11-07,15,1000,51149,100.0,100.0,100.0,100.0,100.0,-7.0908,-3.6246,-1.3205,1.0014,3.9655,1.8949,3.5969,6.425,7.9385,11.6788,-13.6203,-7.8645,-4.5097,-0.0424,4.1032,-8.6845,-4.0284,-0.4463,2.8422,6.7365,-12.0592,-4.9626,0.0149,3.8335,11.4577,-18.8982,0.27,17.1756,37.7986,82.4646,-10.1821,-8.0746,-3.6919,14.806,25.8105,13.4843,31.4906,44.4518,66.5394,135.462,-35.7402,-35.4344,-27.6161,-14.9168,18.6206,1.0,2.0,2.5,3.0,3.0,-35.4344,-8.0,19.9008,8.5458,1.0,0.0,50.0,100.0
2025-11-14,18,1000,51156,84.0,84.0,84.0,84.0,84.0,-4.3252,-0.2546,1.3552,2.8983,5.3032,1.2739,2.3005,3.34,4.8799,7.7278,-1.029,1.9595,3.8883,5.9697,8.5254,-1.6586,0.29,2.0807,4.689,8.8127,-2.9944,-0.385,2.029,4.0863,7.2066,-11.1667,6.4158,17.4705,28.883,41.3588,-16.0348,-4.0164,6.2098,14.6127,30.4822,16.8078,24.6043,32.6506,40.2542,51.7033,-39.1004,-31.6855,-5.7177,3.9509,25.6795,0.0,1.0,2.0,2.0,3.0,8.1421,3.8617,20.2672,-4.7245,2.0,29.4,42.62,3.1
2025-11-21,8,1000,51163,100.0,100.0,100.0,100.0,100.0,-2.5174,-0.2002,0.8887,2.813,3.6916,2.5022,3.4686,4.1922,5.0104,6.1792,-5.9538,-2.8501,-0.2614,2.417,4.683,-8.9105,-4.7029,-0.7655,1.778,5.0782,-10.9679,-6.8348,-0.4301,1.7351,4.5061,2.0714,8.1968,16.1414,25.9231,38.9876,-8.0,-4.5495,7.5863,20.6759,32.9543,15.5097,22.6945,30.33,50.7998,62.9455,-6.2374,-6.2374,1.9238,2.3516,14.9252,0.0,1.0,2.0,2.0,3.0,1.9238,1.9238,29.0582,4.8909,0.0,2.2,38.7,100.0
2025-11-28,36,1000,51170,92.4,92.4,92.4,92.4,92.4,-3.2037,-0.7449,1.3346,3.5724,6.7596,1.7157,3.0175,4.7997,7.8668,12.0454,-6.1397,-2.3027,0.3164,2.7607,6.9442,-6.3736,-2.0821,0.881,4.109,9.2691,-6.1554,-1.5934,1.7005,5.2141,11.0588,-18.9354,-1.8671,10.9881,29.9723,79.7982,-8.954,-8.0,5.269,21.6542,68.9289,15.8216,26.5637,40.399,82.3343,134.4486,-49.2306,-32.6342,-15.5839,-5.1737,15.189,1.0,1.0,2.0,3.0,3.0,0.7899,-2.1201,31.5062,1.3116,2.0,30.19,35.17,49.57
2025-12-05,30,1000,51247,89.5,89.5,89.5,89.5,89.5,-6.2102,-3.164,-1.1611,0.3885,2.1063,1.4983,2.6137,3.4335,5.3133,7.24,-8.1765,-3.954,-1.1101,1.1419,3.6989,-6.4564,-2.4283,0.1214,2.4885,5.0184,-6.5287,-2.5328,0.5817,3.0437,6.3574,-19.9419,-4.1091,10.6849,26.731,61.0739,-8.2358,-8.0,-1.9947,4.2513,50.9977,9.1901,22.6914,41.2294,67.2849,145.0647,-57.2018,-28.5426,-16.7855,-6.0438,19.9871,1.0,2.0,2.0,3.0,3.0,1.9631,-8.0,6.3877,1.2642,1.0,33.97,47.6,89.16
2025-12-12,26,1000,51254,100.0,100.0,100.0,100.0,100.0,-1.9689,-0.1936,1.1396,2.6026,4.6514,1.3429,2.3573,3.2581,4.511,6.1874,-2.2968,0.1564,1.9007,3.8706,9.3861,-6.3956,-1.5614,0.6867,3.101,6.486,-1.2789,1.3665,3.2364,6.2528,13.1956,-10.1344,2.7821,12.5799,25.9671,72.5202,-8.8275,-8.0,0.3502,7.0938,63.9526,12.4808,21.1369,29.9759,55.2115,116.8568,-32.3848,-23.7039,-8.5964,7.1683,17.4239,1.0,2.0,2.0,3.0,3.0,,,,,,,,
2025-12-19,19,1000,51261,100.0,100.0,100.0,100.0,100.0,-1.5819,-0.3877,0.5841,1.6643,3.839,0.8754,1.6077,2.2993,3.8944,5.5452,-5.6451,-2.8812,-0.3332,1.1715,4.929,-4.7,-1.7082,0.8143,3.5767,8.9023,-8.012,-3.3355,0.5253,5.933,12.9317,-18.2459,-7.9663,1.3431,28.5822,85.833,-17.4148,-8.0,-1.4133,32.9111,84.3098,7.5542,14.1789,23.7563,68.3208,135.3937,-35.851,-28.7683,-22.5978,-8.9317,10.7808,1.0,2.0,2.0,3.0,3.0,85.115,77.7231,123.0614,0.6178,2.0,94.3,93.7,50.8
