snapshot_date,total_pool_rows,review_universe_events,valid_price_events,price_coverage_pct
2025-10-10,112,12,12,100.0
2025-10-24,120,29,29,100.0
2025-10-31,124,28,27,96.43
2025-11-07,113,15,15,100.0
2025-11-14,103,18,18,100.0
2025-11-21,94,8,8,100.0
2025-11-28,100,36,36,100.0
2025-12-05,101,30,30,100.0
2025-12-12,99,26,26,100.0
2025-12-19,100,19,19,100.0
2025-12-26,94,17,17,100.0
2026-01-02,83,15,15,100.0
2026-01-09,91,40,40,100.0
2026-01-16,94,21,21,100.0
2026-01-23,100,14,14,100.0
2026-01-30,100,17,17,100.0
2026-02-06,0,0,0,0.0
2026-02-13,119,27,27,100.0
2026-02-20,119,18,18,100.0
2026-02-27,111,27,27,100.0
2026-03-06,106,9,9,100.0
2026-03-13,102,10,10,100.0
2026-03-20,90,8,8,100.0
2026-03-27,92,10,10,100.0
2026-04-02,141,45,45,100.0
2026-04-10,148,69,69,100.0
2026-04-17,254,96,95,98.96
2026-04-24,380,80,77,96.25
2026-05-01,451,105,104,99.05
2026-05-08,513,128,128,100.0
2026-05-15,515,66,65,98.48
2026-05-22,554,87,86,98.85
2026-05-29,570,112,112,100.0
2026-06-05,594,108,108,100.0
2026-06-12,674,268,268,100.0
2026-06-18,670,145,145,100.0
2026-06-26,731,211,211,100.0
2026-07-02,760,120,120,100.0
2026-07-10,716,83,83,100.0
2026-07-17,754,174,173,99.43
2026-07-24,745,106,106,100.0
2026-07-31,742,114,114,100.0
2026-08-07,776,167,167,100.0
