snapshot_date,b0_picks_count,l0_pool_size,l1_pool_size,l0_valid_draws_count,l0_valid_draws_pct,l0_is_low_confidence,l1_valid_draws_count,l1_valid_draws_pct,l1_is_low_confidence,l2_executed_ret,l2_w1_ret,l2_w2_ret,l2_w3_ret,l2_w4_ret,l2_stop8_before_p20,l2_stop8_ever,l0_executed_ret_med,l0_executed_ret_p25,l0_executed_ret_p75,l0_w1_ret_med,l0_w2_ret_med,l0_w4_ret_med,l0_stop8_before_p20_med,l1_executed_ret_med,l1_executed_ret_p25,l1_executed_ret_p75,l1_w1_ret_med,l1_w2_ret_med,l1_w4_ret_med,l1_stop8_before_p20_med,total_alpha_exec_w,screening_alpha_exec_w,ranking_alpha_exec_w,total_alpha_w1_w,screening_alpha_w1_w,ranking_alpha_w1_w,total_alpha_w2_w,screening_alpha_w2_w,ranking_alpha_w2_w,total_alpha_w4_w,screening_alpha_w4_w,ranking_alpha_w4_w,win_l2_gt_l0_exec,win_l2_gt_l1_exec,win_l1_gt_l0_exec,win_l2_gt_l0_w1,win_l2_gt_l1_w1,win_l1_gt_l0_w1,win_l2_gt_l0_w2,win_l2_gt_l1_w2,win_l1_gt_l0_w2,win_l2_gt_l0_w4,win_l2_gt_l1_w4,win_l1_gt_l0_w4
2025-10-24,2,29,2,1000,100.0,False,1000,100.0,False,-8.0,0.9711000000000001,0.44635,1.40185,-0.12074999999999991,1.0,1.0,5.2605,-8.0,18.139333333333333,-0.09353333333333325,-1.2115333333333334,-2.4296,0.6666666666666666,-8.0,-8.0,-8.0,0.9711000000000001,0.44635,-0.12074999999999991,1.0,-13.2605,-13.2605,0.0,1.0646333333333333,1.0646333333333333,0.0,1.6578833333333334,1.6578833333333334,0.0,2.3088500000000005,2.3088500000000005,0.0,False,False,False,True,False,True,True,False,True,True,False,True
2025-10-31,2,28,2,894,89.4,False,1000,100.0,False,10.86825,-1.9367,-0.6192500000000001,0.2311500000000004,1.17915,0.5,0.5,-7.040166666666667,-8.0,4.578833333333333,-3.9578,-5.204933333333333,-4.3792333333333335,0.6666666666666666,10.86825,10.86825,10.86825,-1.9367,-0.6192500000000001,1.17915,0.5,17.908416666666668,17.908416666666668,0.0,2.0211,2.0211,0.0,4.585683333333333,4.585683333333333,0.0,5.5583833333333335,5.5583833333333335,0.0,True,False,True,True,False,True,True,False,True,True,False,True
2025-11-07,1,15,2,1000,100.0,False,1000,100.0,False,-8.0,8.5458,6.5628,10.1983,13.102,1.0,1.0,-3.6919166666666663,-8.074633333333333,14.806,-1.3041333333333334,-2.7316333333333334,-0.9659999999999999,0.6666666666666666,-8.0,-8.0,-8.0,8.5458,6.5628,13.102,1.0,-4.308083333333334,-4.308083333333334,0.0,9.849933333333333,9.849933333333333,0.0,9.294433333333334,9.294433333333334,0.0,14.068,14.068,0.0,False,False,False,True,False,True,True,False,True,True,False,True
2025-11-14,3,18,3,839,83.9,False,1000,100.0,False,3.8617333333333335,-2.812,-2.5353,-5.352533333333334,-3.8600333333333334,0.6666666666666666,0.6666666666666666,6.660600000000001,-4.016366666666666,17.653333333333332,1.3350333333333333,3.7744999999999997,2.0637666666666665,0.3333333333333333,3.8617333333333335,3.8617333333333335,3.8617333333333335,-2.812,-2.5353,-3.8600333333333334,0.6666666666666666,-2.798866666666668,-2.798866666666668,0.0,-4.147033333333333,-4.147033333333333,0.0,-6.309799999999999,-6.309799999999999,0.0,-5.9238,-5.9238,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2025-11-21,1,8,1,1000,100.0,False,1000,100.0,False,1.9238,4.8909,9.2554,10.9877,8.7672,0.0,0.0,10.894233333333332,-4.5494666666666665,17.367966666666664,0.6502333333333333,-0.2614333333333332,-0.29176666666666673,0.6666666666666666,1.9238,1.9238,1.9238,4.8909,9.2554,8.7672,0.0,-8.970433333333332,-8.970433333333332,0.0,4.240666666666667,4.240666666666667,0.0,9.516833333333333,9.516833333333333,0.0,9.058966666666667,9.058966666666667,0.0,False,False,False,True,False,True,True,False,True,True,False,True
2025-11-28,3,36,3,926,92.6,False,1000,100.0,False,-2.1200999999999985,1.3115666666666668,3.4314666666666667,4.601,5.699333333333333,0.3333333333333333,0.6666666666666666,5.268999999999999,-8.0,23.110041666666667,1.4584833333333336,0.39524999999999993,1.1688666666666665,0.3333333333333333,-2.1200999999999985,-2.1200999999999985,-2.1200999999999985,1.3115666666666668,3.4314666666666667,5.699333333333333,0.3333333333333333,-7.389099999999997,-7.389099999999997,0.0,-0.1469166666666668,-0.1469166666666668,0.0,3.036216666666667,3.036216666666667,0.0,4.530466666666666,4.530466666666666,0.0,False,False,False,False,False,False,True,False,True,True,False,True
2025-12-05,1,30,1,894,89.4,False,1000,100.0,False,-8.0,1.2642,4.2733,4.1398,-2.1634,1.0,1.0,-2.2305333333333333,-8.0,4.251333333333334,-1.2229666666666665,-1.8256333333333332,-2.906633333333333,0.6666666666666666,-8.0,-8.0,-8.0,1.2642,4.2733,-2.1634,1.0,-5.769466666666666,-5.769466666666666,0.0,2.4871666666666665,2.4871666666666665,0.0,6.098933333333333,6.098933333333333,0.0,0.743233333333333,0.743233333333333,0.0,False,False,False,True,False,True,True,False,True,True,False,True
2025-12-19,3,19,8,1000,100.0,False,1000,100.0,False,77.7231,0.6178333333333335,2.6243666666666665,5.727266666666666,9.072799999999999,0.6666666666666666,0.6666666666666666,0.012166666666666734,-8.0,32.91106666666666,0.56385,-1.0455333333333332,-0.30158333333333326,0.6666666666666666,6.598866666666666,-1.4133000000000002,77.7231,0.5159999999999999,0.948,5.592933333333334,0.3333333333333333,77.71093333333333,6.5866999999999996,71.12423333333334,0.053983333333333494,-0.04785000000000006,0.10183333333333355,3.6698999999999997,1.9935333333333332,1.6763666666666666,9.374383333333332,5.894516666666667,3.4798666666666653,True,True,True,True,True,False,True,True,True,True,True,True
2025-12-26,2,17,2,1000,100.0,False,1000,100.0,False,-8.0,1.8633000000000002,14.507100000000001,13.95585,9.77445,0.5,1.0,9.0606,-8.0,28.714100000000002,0.8339666666666667,3.1461000000000006,5.898066666666666,0.6666666666666666,-8.0,-8.0,-8.0,1.8633000000000002,14.507100000000001,9.77445,0.5,-17.0606,-17.0606,0.0,1.0293333333333334,1.0293333333333334,0.0,11.361,11.361,0.0,3.876383333333334,3.876383333333334,0.0,False,False,False,True,False,True,True,False,True,True,False,True
2026-01-02,1,15,1,1000,100.0,False,1000,100.0,False,-12.7429,15.5421,28.6964,37.3446,28.0439,0.0,1.0,10.242433333333333,3.818866666666667,22.0613,2.7094666666666662,6.1212333333333335,3.730233333333334,0.3333333333333333,-12.7429,-12.7429,-12.7429,15.5421,28.6964,28.0439,0.0,-22.985333333333333,-22.985333333333333,0.0,12.832633333333334,12.832633333333334,0.0,22.575166666666668,22.575166666666668,0.0,24.313666666666666,24.313666666666666,0.0,False,False,False,True,False,True,True,False,True,True,False,True
