snapshot_date,horizon,rank1_code,rank2_code,rank3_code,rank1_return_pct,rank2_return_pct,rank3_return_pct,raw_portfolio_return_pct,stop_capped_portfolio_return_pct,worst_pick_return_pct,best_pick_return_pct,loss_concentration,gain_concentration,one_pick_ruins_portfolio,is_left10_raw,is_right10_raw
2025-11-14,W1,ALL,LH,LYFT,-0.4057,-0.0303,-13.7375,-4.7245,-2.812,-13.7375,-0.0303,0.9692383673757364,,false,true,false
2025-11-28,W1,MNST,ROST,WFC,-2.0847,1.3534,4.666,1.3115666666666668,1.3115666666666668,-2.0847,4.666,1,0.7751603149815597,false,false,false
2025-12-19,W1,SCHW,PLTR,MU,2.3433,-3.2455,2.7557,0.6178333333333335,0.6178333333333335,-3.2455,2.7557,1,0.540439301823887,false,false,false
2026-01-30,W1,HON,AAOI,ZM,5.365,5.4511,0.5562,3.790766666666667,-0.6929333333333333,0.5562,5.4511,,0.479331357772834,false,false,false
2026-02-20,W1,FANG,HEI,UAL,-1.2406,-8.4671,-4.4924,-4.733366666666667,-4.5776666666666666,-8.4671,-1.2406,0.5962704487996563,,false,true,false
2026-02-27,W1,EQIX,GMED,EXPE,-2.3401,-8.1708,20.0897,3.192933333333334,3.249866666666667,-8.1708,20.0897,0.7773644502373727,1,false,false,false
2026-04-02,W1,MRVL,INVA,PFIS,17.4545,3.7555,6.1676,9.125866666666667,9.125866666666667,3.7555,17.4545,,0.6375467535503477,false,false,true
2026-04-10,W1,SPIR,FRAF,HLIO,-11.7833,2.9569,-2.8179,-3.8814333333333333,-2.6203333333333334,-11.7833,2.9569,0.8070090129578391,1,true,false,false
2026-04-17,W1,AMLX,ALB,CVEO,-6.1674,-3.913,3.6573,-2.141033333333333,-2.141033333333333,-6.1674,3.6573,0.6118209594857347,1,false,false,false
2026-04-24,W1,MCRI,NVTS,SANM,2.284,1.2768,12.9737,5.511499999999999,2.419233333333333,1.2768,12.9737,,0.7846442287338595,false,false,true
2026-05-01,W1,RBB,IRM,BEN,-0.7887,1.5957,4.3095,1.7055,1.7055,-0.7887,4.3095,1,0.7297805324121114,false,false,false
2026-05-08,W1,FTNT,KRYS,CTS,9.5272,-0.6777,-5.8472,1.000766666666667,1.000766666666667,-5.8472,9.5272,0.8961363392542415,1,false,false,false
2026-05-15,W1,HLIO,CVS,AIZ,2.1464,-2.5444,0.0985,-0.09983333333333337,-0.09983333333333337,-2.5444,2.1464,1,0.9561227671611208,true,false,false
2026-05-22,W1,CMPR,PDLB,CLBK,-3.6747,0.4255,-1.4069,-1.5520333333333334,-1.5520333333333334,-3.6747,0.4255,0.7231383816120908,1,false,false,false
2026-05-29,W1,BWA,NBIX,ILMN,2.6572,2.8363,0.9139,2.1358,2.1358,0.9139,2.8363,,0.4426600493179761,false,false,false
2026-06-05,W1,TWIN,AMG,TBBB,-0.05,5.2005,6.8222,3.9909,3.9909,-0.05,6.8222,1,0.5674432531794023,false,false,true
2026-06-12,W1,MCS,CWBC,FDSB,6.9027,-2.7918,1.1385,1.7498000000000005,1.7498000000000005,-2.7918,6.9027,1,0.8584166542307119,false,false,false
2026-06-18,W1,TER,ADI,GEV,-4.2268,-11.6139,-7.5104,-7.7837,-8,-11.6139,-4.2268,0.4973598674152395,,false,true,false
2026-06-26,W1,EGBN,ADPT,QCRH,-4.7652,-0.0472,-1.3776,-2.0633333333333335,-2.0633333333333335,-4.7652,-0.0472,0.769822294022617,,false,false,false
2026-07-02,W1,BMRC,BSET,PACS,0.3201,2.4814,-2.5259,0.09186666666666661,0.09186666666666661,-2.5259,2.4814,1,0.8857397822595038,false,false,false
2026-07-10,W1,BSVN,RAPP,LASR,-1.0101,3.6479,-2.0925,0.18176666666666672,-1.7873999999999999,-2.0925,3.6479,0.6744343453877393,1,false,false,false
2026-07-17,W1,CZFS,BIIB,IRM,2.8148,-0.9261,3.7603,1.883,1.883,-0.9261,3.7603,1,0.5719000471475719,false,false,false
2026-07-24,W1,BLFS,IMAX,PKG,4.7205,9.4486,-3.7921,3.459,3.459,-3.7921,9.4486,1,0.6668454594857824,false,false,false
2026-07-31,W1,SHOO,NBBK,GSAT,2.7931,-2.5884,0.3369,0.1805333333333333,0.1805333333333333,-2.5884,2.7931,1,0.8923642172523961,false,false,false
2026-08-07,W1,CFFI,MTUS,SWK,2.4218,0.0459,-0.4001,0.6892,0.6892,-0.4001,2.4218,1,0.9813996839161973,false,false,false
2025-11-14,W2,ALL,LH,LYFT,-1.0284,1.4225,-8.2861,-2.6306666666666665,-2.5353,-8.2861,1.4225,0.8895914971281336,1,true,false,false
2025-11-28,W2,MNST,ROST,WFC,-1.7793,3.997,8.0767,3.4314666666666667,3.4314666666666667,-1.7793,8.0767,1,0.6689498662381872,false,false,false
2025-12-19,W2,SCHW,PLTR,MU,2.0187,-13.9356,13.8544,0.6458333333333327,2.6243666666666665,-13.9356,13.8544,1,0.8728225740403576,false,false,false
2026-01-30,W2,HON,AAOI,ZM,6.6892,5.8319,0.9925,4.504533333333334,-0.10610000000000012,0.9925,6.6892,,0.49499763201515506,false,false,false
2026-02-20,W2,FANG,HEI,UAL,3.035,-12.9729,-17.2776,-9.071833333333332,-4.321666666666666,-17.2776,3.035,0.5711508900679327,1,false,true,false
2026-02-27,W2,EQIX,GMED,EXPE,1.068,-10.6273,9.8689,0.10319999999999989,0.9789666666666665,-10.6273,9.8689,1,0.9023489288555259,false,false,false
2026-04-02,W2,MRVL,INVA,PFIS,27.695,5.8515,7.4494,13.6653,13.6653,5.8515,27.695,,0.6755553604140903,false,false,true
2026-04-10,W2,SPIR,FRAF,HLIO,-25.4628,-1.3359,-3.625,-10.141233333333334,-4.3203000000000005,-25.4628,-1.3359,0.8369396227283336,,false,true,false
2026-04-17,W2,AMLX,ALB,CVEO,-11.8392,-1.0793,2.8336,-3.3616333333333333,-2.0818999999999996,-11.8392,2.8336,0.9164531485853621,1,true,false,false
2026-04-24,W2,MCRI,NVTS,SANM,3.1383,5.6297,25.6641,11.477366666666668,6.934133333333334,3.1383,25.6641,,0.7453538994136285,false,false,true
