feature,source,quarter,supported,positive_risk_cost
pct_above_ceiling,rdagent,2024Q2,True,False
pullback_v_is_dry,rdagent,2024Q2,True,False
pullback_v_is_dry,simple,2024Q2,True,False
volume_ratio,rdagent,2024Q3,True,False
volume_ratio,simple,2024Q3,True,False
base_depth_pct,rdagent,2024Q4,True,False
pullback_count,rdagent,2024Q4,True,False
pullback_pct,simple,2024Q4,True,False
pullback_v_is_dry,rdagent,2025Q1,True,False
volume_ratio,rdagent,2025Q1,True,False
pullback_pct,simple,2025Q1,True,False
pullback_v_is_dry,rdagent,2025Q2,True,True
touched_ema10_count,rdagent,2025Q2,True,True
eps_yoy_growth,simple,2025Q2,True,False
eps_yoy_growth,rdagent,2025Q3,True,True
pullback_pct,rdagent,2025Q3,True,True
pullback_pct,simple,2025Q3,True,False
pullback_pct,rdagent,2025Q4,True,False
volume_ratio,rdagent,2025Q4,True,False
pullback_pct,simple,2025Q4,True,False
dist_to_52w_high_pct,rdagent,2026Q1,True,False
pullback_pct,rdagent,2026Q1,True,False
ibd_entry_breakout_range_ratio,simple,2026Q1,True,False
pullback_pct,rdagent,2026Q2,False,False
volume_ratio,rdagent,2026Q2,False,False
pullback_v_is_dry,simple,2026Q2,False,False
