quarter,source,rule_status,supported,test_n,selected_n,evaluable_n,complement_n,ambiguous_n,unresolved_n,coverage,stop_rate,baseline_stop_rate,retained_stop_rate,stop_capture,winner_loss,capture_minus_winner_loss,matched_snapshots,matched_stop_lift,matched_winner_lift,matched_stop_positive_fraction
2024Q2,rdagent,FROZEN,True,579,74,74,504,0,48,0.12780656303972365,0.22972972972972974,0.22837370242214533,0.22817460317460317,0.12878787878787878,0.2903225806451613,-0.16153470185728253,11,0.039855940713300037,0.01915678138944543,0.45454545454545453
2024Q2,simple,FROZEN,True,579,93,93,485,0,65,0.16062176165803108,0.1935483870967742,0.22837370242214533,0.23505154639175257,0.13636363636363635,0.3225806451612903,-0.18621700879765396,13,-0.043851439304761014,0.08263280656223053,0.38461538461538464
2024Q3,rdagent,FROZEN,True,1014,252,251,762,1,161,0.2485207100591716,0.32270916334661354,0.315893385982231,0.3136482939632546,0.253125,0.2647058823529412,-0.01158088235294119,13,-0.024289918334273883,0.06520400170326315,0.3076923076923077
2024Q3,simple,FROZEN,True,1014,252,251,762,1,161,0.2485207100591716,0.32270916334661354,0.315893385982231,0.3136482939632546,0.253125,0.2647058823529412,-0.01158088235294119,13,-0.024289918334273883,0.06520400170326315,0.3076923076923077
2024Q4,rdagent,FROZEN,True,878,170,169,706,1,107,0.19362186788154898,0.2958579881656805,0.26857142857142857,0.26203966005665724,0.2127659574468085,0.24,-0.02723404255319148,13,0.04373624198497011,0.05233342159326712,0.6153846153846154
2024Q4,simple,FROZEN,True,878,59,58,817,1,25,0.06719817767653759,0.4482758620689655,0.26857142857142857,0.2558139534883721,0.11063829787234042,0.14,-0.029361702127659595,12,0.14341760180293603,0.10159465396122834,0.6666666666666666
2025Q1,rdagent,FROZEN,True,703,102,100,598,2,43,0.14509246088193456,0.47,0.4040114613180516,0.39297658862876256,0.16666666666666666,0.2702702702702703,-0.10360360360360363,12,0.0932162768827295,-0.011417270902608308,0.8333333333333334
2025Q1,simple,FROZEN,True,703,114,111,587,3,35,0.16216216216216217,0.5855855855855856,0.4040114613180516,0.3696763202725724,0.23049645390070922,0.2972972972972973,-0.0668008433965881,10,0.17576836520668443,0.05903852733904837,0.9
2025Q2,rdagent,FROZEN,True,399,106,106,290,0,77,0.2656641604010025,0.2169811320754717,0.17676767676767677,0.16206896551724137,0.32857142857142857,0.2,0.12857142857142856,13,0.034291823364337046,-0.05467800272610948,0.6923076923076923
2025Q2,simple,FROZEN,True,399,65,65,331,0,46,0.16290726817042606,0.2,0.17676767676767677,0.17220543806646527,0.18571428571428572,0.2,-0.01428571428571429,12,0.005293894833553779,0.009340740138351736,0.4166666666666667
2025Q3,rdagent,FROZEN,True,809,54,54,754,0,15,0.06674907292954264,0.6111111111111112,0.22277227722772278,0.19496021220159152,0.18333333333333332,0.10714285714285714,0.07619047619047618,12,0.4153023298340668,0.05269741159411104,1.0
2025Q3,simple,FROZEN,True,809,71,71,737,0,29,0.08776266996291718,0.4507042253521127,0.22277227722772278,0.20081411126187246,0.17777777777777778,0.17857142857142858,-0.0007936507936507908,13,0.3149348524691876,0.08536051356795399,0.8461538461538461
2025Q4,rdagent,FROZEN,True,865,103,103,761,0,49,0.11907514450867052,0.39805825242718446,0.2800925925925926,0.26412614980289095,0.16942148760330578,0.20634920634920634,-0.03692771874590056,13,0.14680757136664374,0.04869071415215543,0.6923076923076923
2025Q4,simple,FROZEN,True,865,103,103,761,0,49,0.11907514450867052,0.39805825242718446,0.2800925925925926,0.26412614980289095,0.16942148760330578,0.20634920634920634,-0.03692771874590056,13,0.14680757136664374,0.04869071415215543,0.6923076923076923
2026Q1,rdagent,FROZEN,True,977,96,95,880,1,33,0.09825997952917093,0.47368421052631576,0.32,0.3034090909090909,0.14423076923076922,0.2236842105263158,-0.07945344129554657,13,0.13450668906470528,0.11285332766743987,0.6923076923076923
2026Q1,simple,FROZEN,True,977,92,91,884,1,53,0.09416581371545547,0.32967032967032966,0.32,0.3190045248868778,0.09615384615384616,0.10526315789473684,-0.009109311740890677,12,-0.05811041950357452,-0.033664979419984246,0.4166666666666667
2026Q2,rdagent,FROZEN,False,0,0,0,0,0,0,,,,,,,,0,,,
2026Q2,simple,FROZEN,False,0,0,0,0,0,0,,,,,,,,0,,,
