quarter,policy,snapshot_date,code,flagged,feature_known,admitted_nonoverlap_w4
2024Q2,deep_pullback,2024-04-05,ARCB,True,True,True
2024Q2,deep_pullback,2024-04-05,CAAP,False,False,True
2024Q2,deep_pullback,2024-04-05,CECO,False,False,True
2024Q2,deep_pullback,2024-04-05,CRNX,True,True,True
2024Q2,deep_pullback,2024-04-05,CRS,False,False,True
2024Q2,deep_pullback,2024-04-05,DELL,True,True,True
2024Q2,deep_pullback,2024-04-05,DJCO,False,True,True
2024Q2,deep_pullback,2024-04-05,ECO,False,False,True
2024Q2,deep_pullback,2024-04-05,ET,False,False,True
2024Q2,deep_pullback,2024-04-05,FLXS,True,True,True
2024Q2,deep_pullback,2024-04-05,FRD,False,False,True
2024Q2,deep_pullback,2024-04-05,GENC,False,False,True
2024Q2,deep_pullback,2024-04-05,GKOS,False,False,True
2024Q2,deep_pullback,2024-04-05,INSW,False,False,True
2024Q2,deep_pullback,2024-04-05,KGC,False,False,True
2024Q2,deep_pullback,2024-04-05,LAUR,False,False,True
2024Q2,deep_pullback,2024-04-05,LBRT,False,False,True
2024Q2,deep_pullback,2024-04-05,LLY,False,True,True
2024Q2,deep_pullback,2024-04-05,META,False,True,True
2024Q2,deep_pullback,2024-04-05,MSFT,False,True,True
2024Q2,deep_pullback,2024-04-05,MTSI,False,True,True
2024Q2,deep_pullback,2024-04-05,NFLX,False,True,True
2024Q2,deep_pullback,2024-04-05,NPKI,False,False,True
2024Q2,deep_pullback,2024-04-05,NTNX,False,False,True
2024Q2,deep_pullback,2024-04-05,ODFL,False,True,True
2024Q2,deep_pullback,2024-04-05,ONTO,False,True,True
2024Q2,deep_pullback,2024-04-05,PARR,False,False,True
2024Q2,deep_pullback,2024-04-05,PBF,False,True,True
2024Q2,deep_pullback,2024-04-05,PGR,False,True,True
2024Q2,deep_pullback,2024-04-05,PLAY,False,True,True
2024Q2,deep_pullback,2024-04-05,PPC,False,False,True
2024Q2,deep_pullback,2024-04-05,SAIA,False,True,True
2024Q2,deep_pullback,2024-04-05,SDRL,False,False,True
2024Q2,deep_pullback,2024-04-05,SNPS,False,False,True
2024Q2,deep_pullback,2024-04-05,STNG,False,True,True
2024Q2,deep_pullback,2024-04-05,TOYO,False,True,True
2024Q2,deep_pullback,2024-04-05,ZETA,False,False,True
2024Q2,deep_pullback,2024-04-12,FRO,False,True,True
2024Q2,deep_pullback,2024-04-12,GKOS,False,False,False
2024Q2,deep_pullback,2024-04-12,GOOG,False,False,True
2024Q2,deep_pullback,2024-04-12,ICHR,False,False,True
2024Q2,deep_pullback,2024-04-12,RVMD,False,False,True
2024Q2,deep_pullback,2024-04-19,ACT,False,False,True
2024Q2,deep_pullback,2024-04-19,AGX,False,True,True
2024Q2,deep_pullback,2024-04-19,DRS,False,False,True
2024Q2,deep_pullback,2024-04-19,EZPW,False,False,True
2024Q2,deep_pullback,2024-04-19,HEI,False,True,True
2024Q2,deep_pullback,2024-04-19,MAMA,True,True,True
2024Q2,deep_pullback,2024-04-19,RNR,False,False,True
2024Q2,deep_pullback,2024-04-19,UNM,False,False,True
2024Q2,deep_pullback,2024-04-19,WFC,False,False,True
2024Q2,deep_pullback,2024-04-26,AAON,False,True,True
2024Q2,deep_pullback,2024-04-26,ACFN,False,False,True
2024Q2,deep_pullback,2024-04-26,ADDYY,False,False,True
2024Q2,deep_pullback,2024-04-26,ASML,False,False,True
2024Q2,deep_pullback,2024-04-26,AVAV,True,True,True
2024Q2,deep_pullback,2024-04-26,BSX,False,True,True
2024Q2,deep_pullback,2024-04-26,CARR,False,False,True
2024Q2,deep_pullback,2024-04-26,CASY,False,True,True
2024Q2,deep_pullback,2024-04-26,CAVA,True,True,True
2024Q2,deep_pullback,2024-04-26,CECO,False,True,False
2024Q2,deep_pullback,2024-04-26,CGON,False,False,True
2024Q2,deep_pullback,2024-04-26,CIX,True,True,True
2024Q2,deep_pullback,2024-04-26,CPAY,False,False,True
2024Q2,deep_pullback,2024-04-26,CR,False,True,True
2024Q2,deep_pullback,2024-04-26,CRS,False,True,False
2024Q2,deep_pullback,2024-04-26,CSWC,False,False,True
2024Q2,deep_pullback,2024-04-26,CW,False,True,True
2024Q2,deep_pullback,2024-04-26,DAL,False,False,True
2024Q2,deep_pullback,2024-04-26,DAVE,True,True,True
2024Q2,deep_pullback,2024-04-26,DELL,True,True,False
2024Q2,deep_pullback,2024-04-26,DJT,True,True,True
2024Q2,deep_pullback,2024-04-26,DY,False,True,True
2024Q2,deep_pullback,2024-04-26,ET,False,False,False
2024Q2,deep_pullback,2024-04-26,EZPW,False,False,False
2024Q2,deep_pullback,2024-04-26,FBP,False,True,True
2024Q2,deep_pullback,2024-04-26,FCNCA,False,True,True
2024Q2,deep_pullback,2024-04-26,FRD,False,True,False
2024Q2,deep_pullback,2024-04-26,GE,False,True,True
2024Q2,deep_pullback,2024-04-26,GKOS,False,False,False
2024Q2,deep_pullback,2024-04-26,GS,False,False,True
2024Q2,deep_pullback,2024-04-26,GTX,True,True,True
2024Q2,deep_pullback,2024-04-26,HCC,False,False,True
2024Q2,deep_pullback,2024-04-26,HEI,False,True,False
2024Q2,deep_pullback,2024-04-26,HIMS,False,False,True
2024Q2,deep_pullback,2024-04-26,HTGC,False,False,True
2024Q2,deep_pullback,2024-04-26,IBKR,False,True,True
2024Q2,deep_pullback,2024-04-26,IBOC,False,False,True
2024Q2,deep_pullback,2024-04-26,IESC,True,True,True
2024Q2,deep_pullback,2024-04-26,INSW,False,False,False
2024Q2,deep_pullback,2024-04-26,ISRG,False,False,True
2024Q2,deep_pullback,2024-04-26,JXN,False,True,True
2024Q2,deep_pullback,2024-04-26,LDOS,False,False,True
2024Q2,deep_pullback,2024-04-26,MDU,False,True,True
2024Q2,deep_pullback,2024-04-26,MLI,False,True,True
2024Q2,deep_pullback,2024-04-26,MOG-A,False,True,True
2024Q2,deep_pullback,2024-04-26,MPLX,False,True,True
2024Q2,deep_pullback,2024-04-26,MTG,True,True,True
2024Q2,deep_pullback,2024-04-26,MTSI,False,False,False
2024Q2,deep_pullback,2024-04-26,NBBK,False,False,True
2024Q2,deep_pullback,2024-04-26,NMM,False,True,True
2024Q2,deep_pullback,2024-04-26,NXPI,False,False,True
2024Q2,deep_pullback,2024-04-26,PHIN,False,True,True
2024Q2,deep_pullback,2024-04-26,PWR,False,True,True
2024Q2,deep_pullback,2024-04-26,R,False,False,True
2024Q2,deep_pullback,2024-04-26,RVMD,False,False,False
2024Q2,deep_pullback,2024-04-26,SAH,False,False,True
2024Q2,deep_pullback,2024-04-26,SHOO,True,True,True
2024Q2,deep_pullback,2024-04-26,SKT,False,True,True
2024Q2,deep_pullback,2024-04-26,SMTC,False,False,True
2024Q2,deep_pullback,2024-04-26,STNG,False,True,False
