policy,panel,quarter,horizon,role,group,n,unique_tickers,mean,median,p10,p90,positive_return_rate,ambiguous_3w_n,stop_first_3w_n,fast_winner_3w_n,unresolved_3w_n,mae_3w_median,mfe_3w_median,mae_4w_median,mfe_4w_median
deep_pullback,all_entries,2024Q2,w1,PRIMARY,baseline,579,313,0.0021048133400925176,0.0022378134560752,-0.04576565842329378,0.05689525401444568,0.5284974093264249,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
deep_pullback,all_entries,2024Q2,w1,PRIMARY,flagged,88,61,0.015103089306011548,0.01878580735223285,-0.06984116871245938,0.1005560344771859,0.6136363636363636,0,26,15,47,-0.0494675962429768,0.08911726495743674,-0.052825740334230445,0.10616447046170224
deep_pullback,all_entries,2024Q2,w1,PRIMARY,retained,491,270,-0.00022481656825956933,0.0008073508285832,-0.043740520793457,0.0473032044779906,0.5132382892057027,1,106,16,368,-0.0389261703728328,0.0485276826008884,-0.0453315350743417,0.0543875644122449
deep_pullback,all_entries,2024Q2,w1,PRIMARY,unknown_feature,279,178,-0.0007333013724155838,0.0010026967436165,-0.04911453514570722,0.05351070194354135,0.5161290322580645,1,66,11,201,-0.0427499215939252,0.0489259467259188,-0.0500000033580082,0.0528681892082405
deep_pullback,all_entries,2024Q2,w2,PRIMARY,baseline,579,313,0.01064691560697814,0.0096967914864209,-0.07650654250314182,0.09357174947555226,0.5647668393782384,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
deep_pullback,all_entries,2024Q2,w2,PRIMARY,flagged,88,61,0.021739222820283954,0.0283622549349827,-0.10787388460265929,0.14301260993512863,0.6363636363636364,0,26,15,47,-0.0494675962429768,0.08911726495743674,-0.052825740334230445,0.10616447046170224
deep_pullback,all_entries,2024Q2,w2,PRIMARY,retained,491,270,0.008658884986263453,0.0078037337811927,-0.0712720587743646,0.0861298091616531,0.5519348268839104,1,106,16,368,-0.0389261703728328,0.0485276826008884,-0.0453315350743417,0.0543875644122449
deep_pullback,all_entries,2024Q2,w2,PRIMARY,unknown_feature,279,178,0.009247108199398264,0.0085387134278742,-0.07433262950982207,0.0968660922951341,0.5483870967741935,1,66,11,201,-0.0427499215939252,0.0489259467259188,-0.0500000033580082,0.0528681892082405
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,baseline,579,313,0.02078236594939896,0.0142499106377971,-0.07927693339854065,0.12728633920174395,0.5924006908462867,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,flagged,88,61,0.04008730588797893,0.0520808834685847,-0.11931117871210413,0.1995696609263493,0.6477272727272727,0,26,15,47,-0.0494675962429768,0.08911726495743674,-0.052825740334230445,0.10616447046170224
