policy,panel,quarter,horizon,role,snapshot_date,path_label,baseline_n,flagged_n,avoided_gross_loss,foregone_gross_gain,saved_cost,cash_delta_contribution
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-05,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-05,stop_first_3w,18,3,0.005016457828461862,0.0,0.00016216216216216218,0.005178619990624024
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-05,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-05,unresolved_3w,19,1,0.00029867977165742973,0.0,5.405405405405406e-05,0.00035273382571148376
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-12,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-12,stop_first_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-12,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-12,unresolved_3w,4,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-19,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-19,stop_first_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-19,fast_winner_3w,1,1,-0.0,0.019864654445146422,0.0002222222222222222,-0.0196424322229242
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-19,unresolved_3w,7,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-26,ambiguous_3w,1,0,-0.0,0.0,0.0,-0.0
