policy,panel,quarter,horizon,role,status,n,flagged_n,unknown_n,snapshot_weeks,matched_weeks,evidence_weeks,operational_cash_delta,cash_delta,cash_delta_gross,incremental_vs_random,stop_lift,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage
deep_pullback,all_entries,2024Q2,w1,PRIMARY,SUPPORTED,579,88,279,13,12,13,-0.001917444247359,-0.001917444247359,-0.0021730364210389074,-0.0019811395219308655,0.1733883627873398,0.002681795733657719,0.004854832154696626,0.0002555921736799091,0.12779608683995455
deep_pullback,all_entries,2024Q2,w2,PRIMARY,SUPPORTED,579,88,279,13,12,13,-0.0029341048958645513,-0.0029341048958645513,-0.003189697069544461,-0.00180651827400917,0.1733883627873398,0.004616302465797515,0.007805999535341975,0.0002555921736799091,0.12779608683995455
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,SUPPORTED,579,88,279,13,12,13,-0.00533587725994592,-0.00533587725994592,-0.00559146943362583,-0.0025017647661068235,0.1733883627873398,0.004226955532976719,0.00981842496660255,0.0002555921736799091,0.12779608683995455
deep_pullback,all_entries,2024Q2,w4,PRIMARY,SUPPORTED,579,88,279,13,12,13,-0.006132305442224855,-0.006132305442224855,-0.006387897615904766,-0.003513567895470788,0.1733883627873398,0.005410725881460656,0.011798623497365419,0.0002555921736799091,0.12779608683995455
deep_pullback,nonoverlap_w4,2024Q2,w1,PRIMARY,SUPPORTED,406,67,200,13,12,13,-0.0004958820935787698,-0.0004958820935787698,-0.0007900301753862809,-0.001230499529934669,0.198991748991749,0.0038506941798271818,0.0046407243552134625,0.00029414808180751155,0.1470740409037558
deep_pullback,nonoverlap_w4,2024Q2,w2,PRIMARY,SUPPORTED,406,67,200,13,12,13,0.00010773334887120037,0.00010773334887120037,-0.0001864147329363099,0.0005596215568073784,0.198991748991749,0.007341810871041984,0.0075282256039782966,0.00029414808180751155,0.1470740409037558
deep_pullback,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,SUPPORTED,406,67,200,13,12,13,-0.002645096694774994,-0.002645096694774994,-0.0029392447765825068,0.00040276283022347984,0.198991748991749,0.006168301537085982,0.009107546313668488,0.00029414808180751155,0.1470740409037558
deep_pullback,nonoverlap_w4,2024Q2,w4,PRIMARY,SUPPORTED,406,67,200,13,12,13,-0.002580612007469071,-0.002580612007469071,-0.00287476008927658,0.0002916256139106285,0.198991748991749,0.008317729171905996,0.011192489261182575,0.00029414808180751155,0.1470740409037558
extended_vs_candidate,all_entries,2024Q2,w1,PRIMARY,SUPPORTED,579,102,0,13,11,13,0.0016640341257990001,0.0016640341257990001,0.0013440320496552849,0.001008455597028488,0.04667952231899408,0.005111961859770115,0.0037679298101148295,0.0003200020761437162,0.1600010380718581
extended_vs_candidate,all_entries,2024Q2,w2,PRIMARY,SUPPORTED,579,102,0,13,11,13,-0.0005955011364031196,-0.0005955011364031196,-0.0009155032125468358,-0.00026653684361044197,0.04667952231899408,0.00574523837819624,0.006660741590743077,0.0003200020761437162,0.1600010380718581
extended_vs_candidate,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,SUPPORTED,579,102,0,13,11,13,-0.0012676032615462002,-0.0012676032615462002,-0.0015876053376899198,0.0012557831321129355,0.04667952231899408,0.006620319600127647,0.008207924937817565,0.0003200020761437162,0.1600010380718581
extended_vs_candidate,all_entries,2024Q2,w4,PRIMARY,SUPPORTED,579,102,0,13,11,13,0.0019385690534289787,0.0019385690534289787,0.0016185669772852613,0.004573832439041495,0.04667952231899408,0.009962432423587353,0.008343865446302091,0.0003200020761437162,0.1600010380718581
