policy,panel,horizon,code,affected_weeks,incremental_without_ticker
deep_pullback,all_entries,w1,AAMI,13,0.0007371467888908782
deep_pullback,all_entries,w1,AAOI,2,0.0007271402499692379
deep_pullback,all_entries,w1,AAON,7,0.0007470067530061095
deep_pullback,all_entries,w1,AAPL,11,0.0007368904161540259
deep_pullback,all_entries,w1,ABBV,8,0.0007376152737476797
deep_pullback,all_entries,w1,ABCB,14,0.0007385195972866681
deep_pullback,all_entries,w1,ACA,13,0.0007396943804596379
deep_pullback,all_entries,w1,ACFN,8,0.0007116931125929051
deep_pullback,all_entries,w1,ACIW,4,0.0007368951096888843
deep_pullback,all_entries,w1,ACMR,2,0.0007350850970302181
deep_pullback,all_entries,w1,ACNB,3,0.0007375407073115178
deep_pullback,all_entries,w1,ACT,22,0.0007235290464887568
deep_pullback,all_entries,w1,AD,13,0.0007373829520554104
deep_pullback,all_entries,w1,ADC,1,0.000739720111084526
deep_pullback,all_entries,w1,ADDYY,6,0.0007403031139092364
deep_pullback,all_entries,w1,ADEA,6,0.0007302399316367567
deep_pullback,all_entries,w1,ADI,7,0.0007376422437989414
deep_pullback,all_entries,w1,ADM,4,0.0007404974998356359
deep_pullback,all_entries,w1,ADPT,4,0.0007293301930141988
deep_pullback,all_entries,w1,AEE,12,0.0007385849264682087
deep_pullback,all_entries,w1,AEIS,6,0.0007560206487642678
deep_pullback,all_entries,w1,AEP,14,0.0007347535257000299
deep_pullback,all_entries,w1,AFL,7,0.0007371500572595968
deep_pullback,all_entries,w1,AFRM,2,0.0007219552377002031
deep_pullback,all_entries,w1,AGM,2,0.0007372603433016227
deep_pullback,all_entries,w1,AGX,11,0.0007527659416863449
deep_pullback,all_entries,w1,AHR,19,0.0007374276112154192
deep_pullback,all_entries,w1,AII,1,0.00073829532802892
deep_pullback,all_entries,w1,AIP,8,0.0007533010327171197
deep_pullback,all_entries,w1,AIR,8,0.0007390936487513933
deep_pullback,all_entries,w1,AIRT,1,0.0007392465093973735
deep_pullback,all_entries,w1,AIT,9,0.000735479023760939
deep_pullback,all_entries,w1,AIZ,6,0.0007375076082227345
deep_pullback,all_entries,w1,AJG,15,0.000745279562520166
deep_pullback,all_entries,w1,AKR,5,0.0007363714594093113
deep_pullback,all_entries,w1,ALB,1,0.0007354617886173936
deep_pullback,all_entries,w1,ALHC,5,0.000726573709338787
deep_pullback,all_entries,w1,ALKS,1,0.0007382667079127511
deep_pullback,all_entries,w1,ALL,9,0.0007403165752996219
deep_pullback,all_entries,w1,ALM,4,0.0007186022091837105
deep_pullback,all_entries,w1,ALMU,2,0.0007495234681599607
deep_pullback,all_entries,w1,ALNT,5,0.0007343656258200291
deep_pullback,all_entries,w1,ALSN,6,0.0007373193212412939
deep_pullback,all_entries,w1,AMAL,7,0.0007372590923733288
deep_pullback,all_entries,w1,AMAT,5,0.0007406530121913553
deep_pullback,all_entries,w1,AMD,1,0.0007376136529728359
deep_pullback,all_entries,w1,AME,6,0.0007377009464307841
deep_pullback,all_entries,w1,AMG,7,0.000738078615322319
deep_pullback,all_entries,w1,AMGN,9,0.0007386472128702898
deep_pullback,all_entries,w1,AMKR,2,0.0007371528130637986
deep_pullback,all_entries,w1,AMPX,4,0.0007333499743392084
deep_pullback,all_entries,w1,AMRX,15,0.0007324342085734463
deep_pullback,all_entries,w1,AMSC,5,0.0007329464075374377
deep_pullback,all_entries,w1,AMTM,1,0.0007374709398197525
deep_pullback,all_entries,w1,AMZN,7,0.0007355852612680332
deep_pullback,all_entries,w1,ANAB,5,0.0007371349482631751
deep_pullback,all_entries,w1,ANDE,3,0.0007388743067390351
deep_pullback,all_entries,w1,ANDG,1,0.0007526670307177433
deep_pullback,all_entries,w1,ANET,14,0.0007275304565610905
deep_pullback,all_entries,w1,ANF,2,0.0007494996927912228
deep_pullback,all_entries,w1,ANIP,5,0.0007407260203324952
deep_pullback,all_entries,w1,ANRO,3,0.0007357225573723275
deep_pullback,all_entries,w1,AON,7,0.0007375301137940073
deep_pullback,all_entries,w1,APEI,10,0.0007362750699167295
deep_pullback,all_entries,w1,APGE,2,0.0007395059180573717
deep_pullback,all_entries,w1,APLD,4,0.0007335004690162859
deep_pullback,all_entries,w1,APP,5,0.0007226121553381442
deep_pullback,all_entries,w1,ARCB,1,0.0007446612040298706
deep_pullback,all_entries,w1,ARGX,7,0.0007469404107967947
deep_pullback,all_entries,w1,ARLP,3,0.0007383397503451686
deep_pullback,all_entries,w1,ARM,1,0.0007366908302539822
deep_pullback,all_entries,w1,ARMK,9,0.0007426740326661305
deep_pullback,all_entries,w1,AROC,2,0.0007379022810956774
deep_pullback,all_entries,w1,AROW,4,0.0007379271608442867
deep_pullback,all_entries,w1,AS,9,0.0007363739412044498
deep_pullback,all_entries,w1,ASB,2,0.0007377043321133876
deep_pullback,all_entries,w1,ASML,2,0.0007375688926499162
deep_pullback,all_entries,w1,ASND,12,0.0007367241287818209
deep_pullback,all_entries,w1,ASTS,4,0.000734095728898586
deep_pullback,all_entries,w1,ASX,6,0.0007410438981172092
deep_pullback,all_entries,w1,ATAI,2,0.0007333538641781753
deep_pullback,all_entries,w1,ATEN,3,0.000736351289395845
deep_pullback,all_entries,w1,ATI,8,0.0007341193787981554
deep_pullback,all_entries,w1,ATLO,1,0.0007377730582705436
deep_pullback,all_entries,w1,ATRO,8,0.0006888425355443227
deep_pullback,all_entries,w1,AU,11,0.0008210110472949532
deep_pullback,all_entries,w1,AUGO,3,0.0007592764430931776
deep_pullback,all_entries,w1,AUPH,2,0.0007347102809526524
deep_pullback,all_entries,w1,AUR,5,0.0007495087579928166
deep_pullback,all_entries,w1,AVAV,6,0.0007052382469347495
deep_pullback,all_entries,w1,AVBC,5,0.0007378532517658332
deep_pullback,all_entries,w1,AVBH,4,0.0007375616633167293
deep_pullback,all_entries,w1,AVBP,4,0.0007349326704944972
deep_pullback,all_entries,w1,AVGO,10,0.000739451984986869
deep_pullback,all_entries,w1,AVT,7,0.0007371454289656179
deep_pullback,all_entries,w1,AXON,9,0.0007211455134449204
deep_pullback,all_entries,w1,AXS,18,0.0007308534977573457
deep_pullback,all_entries,w1,AXSM,4,0.0007297084594754748
deep_pullback,all_entries,w1,AXTI,1,0.0007409027732415101
deep_pullback,all_entries,w1,AZN,8,0.0007345090130040486
deep_pullback,all_entries,w1,AZZ,12,0.000738492845650458
deep_pullback,all_entries,w1,BAC,8,0.000737559341761672
deep_pullback,all_entries,w1,BAM,9,0.0007370652206650367
deep_pullback,all_entries,w1,BANC,3,0.0007371749774537765
deep_pullback,all_entries,w1,BAP,13,0.0007425145966589887
deep_pullback,all_entries,w1,BATRA,1,0.0007423127775938508
deep_pullback,all_entries,w1,BBAI,2,0.0007162239198010075
deep_pullback,all_entries,w1,BBIO,4,0.0007419910543913299
deep_pullback,all_entries,w1,BBT,1,0.0007391456828502142
deep_pullback,all_entries,w1,BCAL,4,0.0007378913492581067
deep_pullback,all_entries,w1,BCML,6,0.000737126499056419
deep_pullback,all_entries,w1,BE,6,0.0007179800966871992
deep_pullback,all_entries,w1,BELFA,8,0.0007547647798248242
deep_pullback,all_entries,w1,BFC,12,0.0007383462030226465
deep_pullback,all_entries,w1,BFH,5,0.0007356579842083099
deep_pullback,all_entries,w1,BFST,1,0.0007376191134226077
deep_pullback,all_entries,w1,BHE,3,0.0007359641910598975
