quarter,feature,path_class,class_n,known_n,missing_fraction,mean,q10,q25,q50,q75,q90,panel
2022Q4,pullback_v_is_dry,ambiguous_3w,0,0,,,,,,,,all_entries
2022Q4,pullback_v_is_dry,stop_first_3w,83,28,0.6626506024096386,0.21428571428571427,0.0,0.0,0.0,0.0,1.0,all_entries
2022Q4,pullback_v_is_dry,fast_winner_3w,7,3,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,all_entries
2022Q4,pullback_v_is_dry,unresolved_3w,252,60,0.7619047619047619,0.18333333333333332,0.0,0.0,0.0,0.0,1.0,all_entries
2022Q4,ibd_entry_volume_ratio,ambiguous_3w,0,0,,,,,,,,all_entries
2022Q4,ibd_entry_volume_ratio,stop_first_3w,83,27,0.6746987951807228,2.134146230486914,1.535871774657975,1.6164826276147224,1.8248175182481752,2.244159049833958,2.922075026678552,all_entries
2022Q4,ibd_entry_volume_ratio,fast_winner_3w,7,6,0.1428571428571429,2.102188615509758,1.8559518954247018,1.8631065142109993,1.9870460782265154,2.2687955650684177,2.4635678728780563,all_entries
2022Q4,ibd_entry_volume_ratio,unresolved_3w,252,88,0.6507936507936508,3.049147271463214,1.5720253488461544,1.68230402923263,1.938773502915525,2.579978295711511,3.9931189562007745,all_entries
2022Q4,ibd_entry_close_vs_trigger_pct,ambiguous_3w,0,0,,,,,,,,all_entries
2022Q4,ibd_entry_close_vs_trigger_pct,stop_first_3w,83,27,0.6746987951807228,0.0283313523582521,0.00328824886244898,0.0082236260894692,0.0183303196071062,0.0424059321473088,0.06605118695763205,all_entries
2022Q4,ibd_entry_close_vs_trigger_pct,fast_winner_3w,7,6,0.1428571428571429,0.03433387629837422,0.010836036054234251,0.02177819991056265,0.0335328991823524,0.04385523103262675,0.058632693658536,all_entries
2022Q4,ibd_entry_close_vs_trigger_pct,unresolved_3w,252,88,0.6507936507936508,0.022745083914155605,0.00205972368878815,0.008917344271186825,0.0163954401179082,0.0352506670835116,0.047157805242863074,all_entries
2022Q4,ibd_entry_close_position,ambiguous_3w,0,0,,,,,,,,all_entries
2022Q4,ibd_entry_close_position,stop_first_3w,83,27,0.6746987951807228,0.7027196916102745,0.3751696420317145,0.47450174911010917,0.7760009765625,0.9487161100462518,0.9682463574134332,all_entries
2022Q4,ibd_entry_close_position,fast_winner_3w,7,6,0.1428571428571429,0.6700506183612873,0.4674853547454829,0.5103991986491844,0.6970031382149253,0.8247089253785556,0.8456633621234538,all_entries
2022Q4,ibd_entry_close_position,unresolved_3w,252,88,0.6507936507936508,0.7716612546080758,0.4197395110963487,0.6558138001309077,0.8201295028462411,0.9457695868644413,0.9971198209130484,all_entries
2022Q4,ibd_entry_breakout_range_ratio,ambiguous_3w,0,0,,,,,,,,all_entries
2022Q4,ibd_entry_breakout_range_ratio,stop_first_3w,83,27,0.6746987951807228,0.5284936161642539,0.08002717408595816,0.2416274779131142,0.4850315683676713,0.6788183612138967,0.9805215453632485,all_entries
2022Q4,ibd_entry_breakout_range_ratio,fast_winner_3w,7,6,0.1428571428571429,0.5379410778674188,0.13112823983204375,0.2796479497315637,0.46653853676780005,0.5827671535149518,1.0161564570024129,all_entries
2022Q4,ibd_entry_breakout_range_ratio,unresolved_3w,252,88,0.6507936507936508,0.569046170729103,0.10336666820946082,0.21418842117744583,0.46499673173237654,0.8234524485689031,1.1095050184232145,all_entries
2022Q4,current_vs_ibd_candidate_pct,ambiguous_3w,0,0,,,,,,,,all_entries
2022Q4,current_vs_ibd_candidate_pct,stop_first_3w,83,83,0.0,2.538313253012048,0.394,0.88,1.81,3.715,5.627999999999998,all_entries
2022Q4,current_vs_ibd_candidate_pct,fast_winner_3w,7,7,0.0,3.2871428571428574,0.49000000000000005,1.1,1.6,5.68,7.438,all_entries
