feature,stability_label,effect_strength,supported_quarters,winner_high_quarters,stop_high_quarters,direction_consistency,median_matched_percentile_gap,median_cliffs_delta,loo_median_sign_stable,median_low_tail_log_odds,median_high_tail_log_odds,median_winner_minus_stop_missing,production_change,panel
base_depth_pct,CONSISTENT_STOP_HIGH,SMALL,8,0,8,1.0,-0.0821924136325005,-0.19167311411992263,True,0.34207314549835033,-0.3782960634060163,0.0,False,all_entries
base_duration_weeks,MIXED_OR_WEAK,WEAK,8,2,6,0.75,-0.05895422335673256,-0.04983236237757514,True,0.06317400041565821,-0.4225334158967051,0.0,False,all_entries
base_mbox_count,MIXED_OR_WEAK,WEAK,8,2,6,0.75,-0.054937452591868344,-0.06234394637620444,True,0.11220913862015873,-0.3631952390913077,0.0,False,all_entries
current_vs_ibd_candidate_pct,MIXED_OR_WEAK,WEAK,8,3,5,0.625,-0.02041354367874154,0.03896913935211807,True,-0.18853919946310918,0.16176235897736013,0.0,False,all_entries
dist_to_52w_high_pct,CONSISTENT_STOP_HIGH,MODERATE_PLUS,8,1,7,0.875,-0.10797480876242489,-0.2372949476587088,True,0.5005412757394885,-0.42839227029212135,0.0,False,all_entries
eps_yoy_growth,MIXED_OR_WEAK,WEAK,8,6,2,0.75,0.046356120250215654,0.09938239492652641,True,-0.42209267704760844,0.2034581185670688,0.04088185890257562,False,all_entries
ibd_entry_breakout_range_ratio,MIXED_OR_WEAK,WEAK,8,6,2,0.75,0.0515229960229292,-0.08338809784592917,True,0.09716718843457403,-0.14310739657290314,-0.02134734460585852,False,all_entries
ibd_entry_close_position,MIXED_OR_WEAK,WEAK,8,3,5,0.625,-0.03502645389869358,0.019480128423217856,True,0.13086871658415444,0.0786061599177964,-0.02134734460585852,False,all_entries
ibd_entry_close_vs_trigger_pct,MIXED_OR_WEAK,SMALL,8,5,3,0.625,0.11574054521710302,0.12086686667619093,True,0.0735747936466783,0.20298779506572462,-0.019784844605858554,False,all_entries
ibd_entry_volume_ratio,MIXED_OR_WEAK,WEAK,8,6,2,0.75,0.02850438831407688,0.07474381496120627,True,0.06192147789681432,0.4009134560186466,-0.019784844605858554,False,all_entries
mbox_count,MIXED_OR_WEAK,WEAK,8,0,6,0.75,-0.031190066907178807,-0.045006322663838104,True,0.05325853837799242,0.0,0.0,False,all_entries
pct_above_ceiling,MIXED_OR_WEAK,WEAK,8,4,4,0.5,0.0051594839587660035,0.010494016549638559,False,0.031954979368775,0.06509651399779297,0.0,False,all_entries
pullback_count,MIXED_OR_WEAK,WEAK,8,3,5,0.625,-0.013927130124811449,-0.04444075495211859,True,0.07163337413353177,-0.10690776159744692,0.0,False,all_entries
pullback_duration_weeks,MIXED_OR_WEAK,WEAK,7,4,3,0.5714285714285714,0.03523792357606348,0.006802721088435374,True,-0.09391059944990161,0.1586291059672284,0.010627530364372473,False,all_entries
pullback_pct,MIXED_OR_WEAK,MODERATE_PLUS,7,2,5,0.7142857142857143,-0.12685088935088934,-0.2054421768707483,True,0.19998821804272474,-0.8593825996022756,0.010627530364372473,False,all_entries
pullback_pct_off_peak,MIXED_OR_WEAK,WEAK,7,2,5,0.7142857142857143,-0.051463580667120534,-0.04217687074829932,True,0.2846920631425915,0.17824823140631876,0.010627530364372473,False,all_entries
pullback_v_is_dry,MIXED_OR_WEAK,SMALL,7,4,2,0.5714285714285714,0.05555555555555555,0.13636363636363635,True,-0.22074436219622817,0.3313242201038115,0.010627530364372473,False,all_entries
touched_ema10_count,MIXED_OR_WEAK,WEAK,8,1,7,0.875,-0.03775772143805023,-0.05512311959196634,True,0.0981429062705286,-0.10386960963797226,0.0,False,all_entries
volume_ratio,MIXED_OR_WEAK,WEAK,8,5,3,0.625,0.005102279471678142,0.00503063725490196,True,0.025758901714896414,-0.03278342376279994,0.0,False,all_entries
base_depth_pct,CONSISTENT_STOP_HIGH,SMALL,8,2,6,0.75,-0.06679245025269441,-0.17166260977472317,True,0.30117142876429165,-0.16792210029156412,0.0,False,nonoverlap_w3
base_duration_weeks,MIXED_OR_WEAK,WEAK,8,2,6,0.75,-0.05504070964045572,-0.06720439383482861,True,0.19248226115608982,-0.3337293449847783,0.0,False,nonoverlap_w3
base_mbox_count,CONSISTENT_STOP_HIGH,SMALL,8,1,7,0.875,-0.04424473083297991,-0.14078502415458938,True,0.18192963591137357,-0.34834612968369344,0.0,False,nonoverlap_w3
current_vs_ibd_candidate_pct,MIXED_OR_WEAK,WEAK,8,3,5,0.625,-0.00452240362390352,0.010892554865335483,True,-0.10304550591133915,0.040869445607760006,0.0,False,nonoverlap_w3
dist_to_52w_high_pct,CONSISTENT_STOP_HIGH,MODERATE_PLUS,8,2,6,0.75,-0.10458882261552555,-0.2491636296830403,True,0.4601645856142735,-0.7752939848482878,0.0,False,nonoverlap_w3
eps_yoy_growth,MIXED_OR_WEAK,WEAK,8,5,3,0.625,0.0039705360047267435,0.08829753264131052,True,-0.1633963860614054,0.30498451897583007,0.05004500081819668,False,nonoverlap_w3
ibd_entry_breakout_range_ratio,MIXED_OR_WEAK,WEAK,8,6,2,0.75,0.08576201458865307,-0.053456221198156684,True,-0.07563806134107141,-0.15167950255912138,-0.038889511429852086,False,nonoverlap_w3
ibd_entry_close_position,MIXED_OR_WEAK,WEAK,8,1,7,0.875,-0.04624852464638576,-0.02832536837913182,True,0.2385204143940577,-0.09219991974779625,-0.038889511429852086,False,nonoverlap_w3
ibd_entry_close_vs_trigger_pct,MIXED_OR_WEAK,SMALL,8,5,3,0.625,0.06915624148238386,0.11889499389499389,True,-0.029848873269456556,0.2804823298182017,-0.03671559838637384,False,nonoverlap_w3
ibd_entry_volume_ratio,MIXED_OR_WEAK,WEAK,8,4,4,0.5,-0.00879405530327379,0.07602492429536455,False,0.18223853987141975,0.3760623372807924,-0.03671559838637384,False,nonoverlap_w3
mbox_count,MIXED_OR_WEAK,WEAK,8,0,6,0.75,-0.03900616283704539,-0.013862433862433863,True,0.019676020565973007,0.0,0.0,False,nonoverlap_w3
pct_above_ceiling,MIXED_OR_WEAK,WEAK,8,2,6,0.75,-0.015291149799424086,0.01901613518718439,True,0.13732274591019433,0.17242892001074,0.0,False,nonoverlap_w3
pullback_count,MIXED_OR_WEAK,WEAK,8,2,6,0.75,-0.021517963745494306,-0.007235441272731089,True,0.019406917440758367,0.07255976611287611,0.0,False,nonoverlap_w3
pullback_duration_weeks,MIXED_OR_WEAK,WEAK,7,4,3,0.5714285714285714,0.03536036036036028,0.05384615384615385,True,-0.13301258586839818,0.13650788058450844,0.005597014925373123,False,nonoverlap_w3
pullback_pct,CONSISTENT_STOP_HIGH,MODERATE_PLUS,7,1,6,0.8571428571428571,-0.08434343434343433,-0.23664638269100743,True,0.2915985658742375,-0.7437813430390967,0.005597014925373123,False,nonoverlap_w3
pullback_pct_off_peak,MIXED_OR_WEAK,SMALL,7,4,3,0.5714285714285714,0.055101010101010095,-0.10505961972284886,False,0.3456263409490685,-0.13636594876315605,0.005597014925373123,False,nonoverlap_w3
pullback_v_is_dry,MIXED_OR_WEAK,SMALL,7,4,2,0.5714285714285714,0.03125,0.1147276828875282,True,-0.16883119110356742,0.33758913919450695,0.005597014925373123,False,nonoverlap_w3
touched_ema10_count,MIXED_OR_WEAK,WEAK,8,1,5,0.625,-0.006120282471789487,-0.005401636063441236,True,0.021903667649581616,-0.11123283977902368,0.0,False,nonoverlap_w3
volume_ratio,MIXED_OR_WEAK,WEAK,8,5,3,0.625,0.03356331025778342,0.059814814814814814,True,-0.17943855844956758,0.01178544338081424,0.0,False,nonoverlap_w3
