code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry
BVC,2026-03-13,True,pivot,True,pivot,7.76,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 7.76, ""resistance_date"": ""2026-03-09""}]}",,,,,,,,,,,7.89,1.68,UNCONFIRMED,0.1387429051923481,-27.9,2026-01-05,142.8,0,0,3.25,2024-10-14,-90.2,5,64,90.2,4.825,1.0,1,10.0,-58.7,-47.4,True,False,,30.3,-73.96039603960396,Finance,Investment Managers
UMAC,2026-03-13,True,ceiling_breakout,,ceiling,17.18,ceiling_breakout,,,,,,,,,,,,20.4,18.74,UNCONFIRMED,1.9656258587147917,0.0,2026-03-09,18.7,0,0,17.18,2025-09-29,-57.9,2,23,57.9,4.45,2.0,0,,,,True,True,49.95311034698344,34.9264,-41.591460900636775,Electronic Technology,Electronic Equipment/Instruments
ORKA,2026-03-13,True,ceiling_breakout,False,ceiling_pullback,35.66,ceiling_breakout,"{""abandon_line"": 30.1644, ""atr_zone_width"": 1.1223194695634524, ""ceiling"": 30.78, ""confirm_close"": 40.0, ""confirm_date"": ""2026-03-09"", ""max_zone_width"": 1.5390000000000001, ""pending_high"": 35.66, ""touch_atr14"": 3.741064898544842, ""touch_date"": ""2026-03-02"", ""touch_high"": 35.66, ""touch_low"": 31.86, ""zone_cap_applied"": false, ""zone_pct"": 3.6462620843516973, ""zone_upper"": 31.902319469563455, ""zone_width"": 1.1223194695634524}",,,,,,,,,,,40.0,12.17,UNCONFIRMED,1.518781335446986,19.8,2026-01-12,30.0,2,0,30.78,2024-10-14,-82.2,2,65,82.2,4.275,3.0,2,3.0,-12.8,9.5,True,True,-12.264474134977732,111.37,-64.08368501391757,Health Technology,Pharmaceuticals: Major
MU,2026-03-13,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,417.37,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-03-09"", ""ma10_prior_week"": 385.275, ""pending_high"": 417.37, ""touch_date"": ""2026-03-02""}",,,,,,,,,,,425.89,2.04,UNCONFIRMED,0.9936504981283284,171.3,2025-09-08,197.4,2,0,143.19,2024-06-10,-57.1,5,65,57.1,3.95,4.0,5,4.0,-16.9,-1.0,True,False,1372.0935784196706,1255.0,-66.06454183266932,Electronic Technology,Semiconductors
DOCN,2026-03-13,True,ceiling_breakout,False,ceiling_pullback,66.26,ceiling_breakout,"{""abandon_line"": 50.6562, ""atr_zone_width"": 2.3501427672034816, ""ceiling"": 51.69, ""confirm_close"": 68.63, ""confirm_date"": ""2026-03-09"", ""max_zone_width"": 2.5845000000000002, ""pending_high"": 66.26, ""touch_atr14"": 7.833809224011606, ""touch_date"": ""2026-02-23"", ""touch_high"": 66.26, ""touch_low"": 51.03, ""zone_cap_applied"": false, ""zone_pct"": 4.546610112601048, ""zone_upper"": 54.04014276720348, ""zone_width"": 2.3501427672034816}",,,,,,,,,,,68.63,3.58,UNCONFIRMED,1.1246215689929266,29.0,2026-01-05,32.8,1,0,51.69,2023-07-17,-62.5,9,129,62.5,3.925,5.0,2,5.0,-27.5,-2.6,True,False,-24.45482866043614,187.5,-63.39733333333333,Technology Services,Packaged Software
SNDK,2026-03-13,True,pivot,False,pivot,650.29,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 650.29, ""resistance_date"": ""2026-03-09""}]}",,,,,,,,,,,661.62,1.74,UNCONFIRMED,0.9624914663671492,865.2,2025-09-01,1088.0,3,1,55.69,2025-03-24,-49.9,2,23,49.9,3.775,6.0,4,4.0,-19.0,1.7,True,False,,2354.3899,-71.89845233365976,Electronic Technology,Computer Peripherals
AMKR,2026-03-13,True,ceiling_breakout,,ceiling,42.45,ceiling_breakout,,,,,,,,,,,,42.94,1.15,UNCONFIRMED,0.8325233724805926,0.0,2026-03-09,1.2,0,0,42.45,2024-07-08,-67.4,3,87,67.4,3.5,7.0,0,,,,True,False,216.5300546448088,96.68,-55.585436491518415,Electronic Technology,Semiconductors
ANRO,2026-03-13,True,ceiling_breakout,,ceiling,20.91,ceiling_breakout,,,,,,,,,,,,22.26,6.46,UNCONFIRMED,1.5131022823330516,0.0,2026-03-09,6.5,0,0,20.91,2025-12-15,-33.5,1,12,33.5,3.325,8.0,0,,,,True,True,1.284403669724782,33.67,-33.88773388773389,Health Technology,Biotechnology
ANDE,2026-03-13,True,pivot,True,pivot,69.66,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 69.66, ""resistance_date"": ""2026-03-09""}]}",,,,,,,,,,,70.34,0.98,UNCONFIRMED,1.375465950675671,22.3,2026-01-12,24.4,1,0,56.53,2022-04-11,-51.4,12,196,51.4,3.2750000000000004,9.0,1,5.0,-12.0,1.0,True,True,620.3841117415975,82.11,-14.334429423943485,Commercial Services,Miscellaneous Commercial Services
BE,2026-03-13,True,ceiling_breakout,,ceiling,147.82,ceiling_breakout,,,,,,,,,,,,154.51,4.53,UNCONFIRMED,0.8758447728978896,0.0,2026-03-09,4.5,0,0,147.82,2025-11-03,-48.8,1,18,48.8,3.075,10.0,0,,,,True,False,,351.28,-56.015144613983146,Electronic Technology,Electronic Production Equipment
PLPC,2026-03-13,True,ceiling_breakout,,ceiling,240.45,ceiling_breakout,,,,,,,,,,,,261.31,8.68,UNCONFIRMED,1.5519628201325026,0.0,2026-03-09,8.7,0,0,240.45,2025-10-20,-23.6,2,20,23.6,3.0375,11.0,0,,,,True,True,74.96977496977497,504.69,-48.223662049971274,Producer Manufacturing,Building Products
UAN,2026-03-13,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,120.42,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-03-09"", ""ma10_prior_week"": 99.584, ""pending_high"": 120.42, ""touch_date"": ""2026-03-02""}",,,,,,,,,,,120.76,0.28,UNCONFIRMED,3.425888245421819,74.1,2025-05-12,76.7,4,3,68.33,2025-01-13,-23.6,1,17,23.6,2.9875000000000003,12.0,8,7.0,-19.5,10.2,False,False,99.91820486953677,139.5,-13.433691756272392,Process Industries,Chemicals: Agricultural
LBRX,2026-03-13,True,pivot,False,pivot,24.46,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 24.46, ""resistance_date"": ""2026-03-09""}]}",,,,,,,,,,,25.67,4.95,UNCONFIRMED,1.2348160012734164,7.4,2026-01-19,26.8,1,0,20.25,2025-09-08,-34.0,1,19,34.0,2.975,13.0,2,3.0,-13.3,0.3,True,False,-689.0322580645161,49.14,-47.761497761497765,Health Technology,Pharmaceuticals: Major
XENE,2026-03-13,True,ceiling_breakout,,ceiling,45.32,ceiling_breakout,,,,,,,,,,,,55.23,21.87,UNCONFIRMED,3.996819099334942,0.0,2026-03-09,21.9,0,0,45.32,2025-12-01,-13.3,1,14,13.3,2.85,14.0,0,,,,False,False,-3.6163668561841686,72.66,-23.988439306358377,Health Technology,Pharmaceuticals: Major
BOTJ,2026-03-13,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,20.2,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-03-09"", ""ma10_prior_week"": 19.25, ""pending_high"": 20.2, ""touch_date"": ""2026-03-02""}",,,,,,,,,,,20.85,3.22,UNCONFIRMED,0.8874045801526718,24.1,2025-10-27,26.8,4,0,16.44,2024-12-02,-32.2,3,47,32.2,2.575,15.0,4,4.0,-11.4,-2.4,True,False,19.808467741935488,29.79,-30.010070493454176,Finance,Regional Banks
CQP,2026-03-13,True,ceiling_breakout,,ceiling,62.38,ceiling_breakout,,,,,,,,,,,,62.5,0.19,UNCONFIRMED,1.4658724567134225,0.0,2026-03-09,0.2,0,0,62.38,2025-02-24,-24.9,4,54,24.9,2.45,16.0,0,,,,True,True,138.5005512679162,70.6447,-11.529102678615663,Utilities,Gas Distributors
ST,2026-03-13,True,ceiling_breakout,,ceiling,33.17,ceiling_breakout,,,,,,,,,,,,34.09,2.77,UNCONFIRMED,1.2507695337195683,0.0,2026-03-09,2.8,0,0,33.17,2025-08-18,-15.8,1,29,15.8,2.2,17.0,0,,,,True,False,68.07534411977781,53.89,-36.7415104843199,Electronic Technology,Electronic Equipment/Instruments
ESQ,2026-03-13,True,ceiling_breakout,,ceiling,106.65,ceiling_breakout,,,,,,,,,,,,109.78,2.93,UNCONFIRMED,1.1357217184480453,0.0,2026-03-09,2.9,0,0,106.65,2025-09-22,-14.1,2,24,14.1,2.125,18.0,0,,,,True,False,8.057836227566664,134.815,-18.569892074324063,Finance,Major Banks
ADM,2026-03-13,True,pivot,False,pivot,67.11,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 67.11, ""resistance_date"": ""2026-03-09""}]}",,,,,,,,,,,71.51,6.56,UNCONFIRMED,1.3264922267358776,11.3,2026-01-12,13.3,2,0,63.14,2025-10-13,-13.9,2,13,13.9,1.575,19.0,3,3.0,-5.6,3.7,True,True,313.7458563535912,88.46,-19.16120280352701,Process Industries,Agricultural Commodities/Milling
SR,2026-03-13,True,pivot,False,pivot,90.17,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 90.17, ""resistance_date"": ""2026-03-09""}]}",,,,,,,,,,,91.81,1.82,UNCONFIRMED,0.8922861272942311,1.9,2026-02-09,5.1,1,0,87.35,2025-11-03,-9.2,1,14,9.2,0.85,20.0,1,5.0,-3.8,1.8,True,False,,,,Utilities,Gas Distributors
SNDA,2026-03-13,False,,,,,,,,,,,,,,,,,35.07,,,6.43493555549148,1.3,2026-02-16,2.6,0,0,34.19,2024-04-29,-43.4,8,94,,,,1,2.0,-17.9,-6.7,False,False,-218.13755325623865,44.385,-20.98681987157823,Health Services,Medical/Nursing Services
UNF,2026-03-13,False,,True,,,,,,,,,,,,,,,272.94,,,3.3773549987045195,14.4,2026-02-09,18.8,1,0,229.77,2025-01-13,-36.0,3,56,,,,1,4.0,-4.7,13.4,True,True,-48.73153575615475,306.67,-10.998793491375103,Consumer Services,Other Consumer Services
DNTH,2026-03-13,False,,True,,,,,,,,,,,,,,,77.86,,,2.874666506789772,122.6,2025-10-27,130.6,4,1,33.77,2024-03-18,-60.4,7,84,,,,2,5.0,-20.6,35.4,False,False,-1.5063993657265804,116.47,-33.15016742508801,Health Technology,Biotechnology
TEN,2026-03-13,False,,False,,,,,,,,,,,,,,,32.89,,,2.4297698262693213,19.2,2026-02-09,19.3,0,0,27.57,2024-05-27,-54.0,5,89,,,,1,3.0,-5.8,-5.3,False,False,162.77724204435876,45.85,-28.266085059978185,Transportation,Marine Shipping
LAUR,2026-03-13,False,,False,,,,,,,,,,,,,,,34.26,,,2.1676311230695515,73.6,2025-04-21,75.0,5,2,19.58,2024-11-18,-9.0,2,22,,,,6,10.0,-13.2,-4.1,True,True,51.23494905835133,40.925,-16.285888821014048,Commercial Services,Miscellaneous Commercial Services
GRDN,2026-03-13,False,,True,,,,,,,,,,,,,,,32.59,,,2.132338374166282,-3.8,2026-02-02,7.2,0,0,30.39,2025-09-08,-23.9,2,21,,,,1,6.0,-9.9,-4.1,True,True,139.74807557732683,47.02,-30.689068481497227,Retail Trade,Drugstore Chains
FANG,2026-03-13,False,,False,,,,,,,,,,,,,,,180.38,,,2.0299570390443633,11.9,2026-01-26,17.8,1,0,153.18,2025-06-09,-14.8,3,33,,,,1,3.0,-7.1,3.6,False,False,179.68053804119376,214.51,-15.91068015477134,Energy Minerals,Oil & Gas Production
LSBK,2026-03-13,False,,False,,,,,,,,,,,,,,,15.31,,,2.0059961842463885,12.8,2025-10-27,15.6,2,0,13.24,2025-08-25,-7.3,1,9,,,,5,2.0,-1.7,-1.5,False,False,17.654123298638915,17.96,-14.755011135857464,Finance,Savings Banks
BELFA,2026-03-13,False,,True,,,,,,,,,,,,,,,180.29,,,1.8723623262995368,64.3,2025-07-21,71.3,3,1,105.22,2024-10-14,-48.9,2,40,,,,7,4.0,-29.2,-20.7,True,True,-11.932367149758448,293.51,-38.57449490647679,Electronic Technology,Electronic Components
CGON,2026-03-13,False,,False,,,,,,,,,,,,,,,64.29,,,1.8178127131581512,18.6,2026-01-05,39.9,1,0,45.94,2025-11-24,-19.4,1,6,,,,1,6.0,-14.6,13.2,True,True,-64.91260349586017,79.39,-19.02002771129865,Health Technology,Biotechnology
DHT,2026-03-13,False,,False,,,,,,,,,,,,,,,16.26,,,1.6706616087719373,25.0,2026-01-19,25.2,1,0,12.99,2025-11-17,-15.6,1,9,,,,1,3.0,-15.9,-14.9,False,False,252.40687679083095,20.55,-20.875912408759124,Transportation,Marine Shipping
PSX,2026-03-13,False,,False,,,,,,,,,,,,,,,171.49,,,1.6067698461693978,23.0,2026-01-19,23.4,1,0,138.99,2025-09-22,-11.0,1,17,,,,1,4.0,-8.2,6.3,True,True,344.95669181335563,236.14,-27.37782671296688,Energy Minerals,Oil Refining/Marketing
AVBH,2026-03-13,False,,False,,,,,,,,,,,,,,,27.47,,,1.5854916796740657,-0.4,2026-01-19,3.3,1,0,26.59,2025-02-03,-25.7,2,50,,,,1,6.0,-14.0,-12.0,False,False,-5.913550782285863,34.175,-19.619604974396488,Finance,Regional Banks
SENEA,2026-03-13,False,,,,,,,,,,,,,,,,,143.78,,,1.5768045774647887,12.6,2026-02-09,13.7,1,0,126.4,2025-11-17,-16.9,1,12,,,,0,,,,True,True,33.12611012433392,196.3899,-26.788495742398165,Consumer Non-Durables,Food: Specialty/Candy
NHC,2026-03-13,False,,False,,,,,,,,,,,,,,,160.28,,,1.5535276491419232,17.7,2026-01-12,21.3,2,0,132.13,2024-08-26,-34.1,6,72,,,,2,5.0,-11.4,-5.9,False,False,67.12698099559414,232.67,-31.112734774573426,Health Services,Hospital/Nursing Management
ALNT,2026-03-13,False,,False,,,,,,,,,,,,,,,62.27,,,1.5530747443144783,35.9,2025-10-06,40.5,3,1,44.31,2023-02-27,-62.1,9,136,,,,4,4.0,-20.7,-10.3,False,False,83.21927997619756,118.67,-47.526754866436335,Producer Manufacturing,Electrical Products
FTK,2026-03-13,False,,,,,,,,,,,,,,,,,17.68,,,1.544591723915177,4.1,2026-03-02,4.8,0,0,16.87,2025-06-09,-35.1,4,38,,,,0,,,,True,True,430.122950819672,39.67,-55.43231661204941,Industrial Services,Oilfield Services/Equipment
RCKY,2026-03-13,False,,False,,,,,,,,,,,,,,,42.43,,,1.5389095470633036,-5.4,2026-02-23,12.2,0,0,37.83,2024-05-27,-69.2,4,91,,,,1,3.0,-13.8,-12.2,False,False,279.4184839044652,53.01,-19.958498396528956,Consumer Non-Durables,Apparel/Footwear
