code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source
DELL,2026-03-27,True,ceiling_breakout,,ceiling,167.21,ceiling_breakout,,1.0,2026-03-24,167.21,167.21,1.8407157779114107,0.0580108845164761,0.906291834002677,0.6492637215528775,ceiling,,171.81,2.75,ACTIONABLE,1.4377013210574587,0.0,2026-03-23,2.8,0,0,167.21,2024-05-20,-61.1,5,96,61.1,4.5,1.0,0,,,,True,True,39.0243902439,186.39,-7.8223080637373155,Electronic Technology,Computer Processing Hardware,SEC
NEM,2026-03-27,True,pivot,False,pivot,98.1,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 98.1, ""resistance_date"": ""2026-03-23""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 98.1, ""resistance_date"": ""2026-03-23""}}",1.0,2026-03-23,98.1,98.1,1.6552591519512847,0.000407747196738,0.4810924369747907,0.0084033613445391,pivot,,102.1,4.08,ACTIONABLE,1.268297145908324,29.5,2025-09-08,34.5,2,1,75.93,2022-04-11,-62.9,10,178,62.9,4.449999999999999,2.0,6,5.0,-28.0,-22.0,True,False,108.75,134.61,-24.151251764356296,Unknown,Unknown,SEC
FCX,2026-03-27,True,ceiling_breakout,,ceiling,53.08,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,56.24,5.95,UNCONFIRMED,0.9520456593181426,0.0,2026-03-23,6.0,0,0,53.08,2024-05-13,-48.6,7,97,48.6,4.1,3.0,0,,,,True,False,27.7777777778,69.75,-19.369175627240143,Non-Energy Minerals,Other Metals/Minerals,SEC
GEV,2026-03-27,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,852.4,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-03-23"", ""ma10_prior_week"": 779.173, ""pending_high"": 852.4, ""touch_date"": ""2026-03-09""}",0.0,,,,,,,,,daily_volume_not_confirmed,853.16,0.09,UNCONFIRMED,1.190655480468997,17.5,2026-01-26,26.2,2,0,676.1,2025-07-28,-21.7,2,26,21.7,3.15,4.0,1,5.0,-13.2,-4.6,False,False,568.5714285714,948.38,-10.0402792129737,Producer Manufacturing,Electrical Products,SEC
TIGO,2026-03-27,True,pivot,False,pivot,73.54,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 73.54, ""resistance_date"": ""2026-03-23""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,75.33,2.43,UNCONFIRMED,1.2805586681836023,192.9,2025-03-03,212.6,8,1,24.1,2024-09-16,-14.0,2,24,14.0,3.15,5.0,12,5.0,-7.9,2.4,True,False,,77.33,-2.5863183757920627,Communications,Wireless Telecommunications,
EQIX,2026-03-27,True,ceiling_breakout,,ceiling,959.33,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,963.0,0.38,UNCONFIRMED,0.8414820187443872,0.0,2026-03-23,0.4,0,0,959.33,2024-12-02,-28.5,4,68,28.5,3.0999999999999996,6.0,0,,,,False,False,22.9032258065,990.98,-2.8234676784597124,Finance,Real Estate Investment Trusts,SEC
PFIS,2026-03-27,True,ceiling_breakout,,ceiling,52.71,ceiling_breakout,,1.0,2026-03-23,52.71,52.71,1.6210374639769451,0.000948586605957,0.3124999999999986,0.0390624999999977,ceiling,,52.9,0.36,ACTIONABLE,1.531223834166326,0.0,2026-03-23,0.4,0,0,52.71,2025-09-01,-19.1,3,29,19.1,3.05,7.0,0,,,,True,True,451.1627906977,57.07,-7.306816190643072,Finance,Regional Banks,SEC
NFG,2026-03-27,True,ceiling_breakout,,ceiling,92.97,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,95.29,2.5,UNCONFIRMED,1.0958331761947568,0.0,2026-03-23,2.5,0,0,92.97,2025-09-22,-17.5,2,26,17.5,2.8,8.0,0,,,,True,False,304.0816326531,97.06,-1.823614259221096,Unknown,Unknown,SEC
CASY,2026-03-27,True,pivot,False,pivot,690.0,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 690.0, ""resistance_date"": ""2026-03-23""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 690.0, ""resistance_date"": ""2026-03-23""}}",1.0,2026-03-25,690.0,690.0,1.7666946874451517,0.0351159420289854,0.7716708542713576,0.7609924623115576,pivot,,714.24,3.51,ACTIONABLE,1.2508548286900731,34.0,2025-11-03,34.9,4,1,529.58,2025-07-21,-7.7,2,15,7.7,2.3499999999999996,9.0,3,5.0,-9.1,3.5,True,False,49.7854077253,721.5,-1.0062370062370096,Retail Trade,Specialty Stores,SEC
BKR,2026-03-27,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,61.29,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-03-23"", ""ma10_prior_week"": 58.244, ""pending_high"": 61.29, ""touch_date"": ""2026-03-09""}",0.0,,,,,,,,,daily_volume_not_confirmed,63.22,3.15,UNCONFIRMED,1.0587339480833526,22.6,2026-01-12,25.2,2,0,50.5,2025-09-22,-13.8,2,16,13.8,1.85,10.0,1,5.0,-18.2,-3.9,True,False,-300.0,67.0,-5.641791044776124,Industrial Services,Contract Drilling,SEC
