snapshot_date,status,row_count,column_count,signal_rows,valid_ibd_entry_rows,invalid_ibd_entry_rows,missing_field_count,abnormal_empty_total,non_eps_abnormal_empty_total,signal_eps_missing,signal_eps_supplement_available,signal_eps_unresolved,normal_empty_total,repairable_fallback_total,optional_gap_total,missing_fields,abnormal_empty_fields,non_eps_abnormal_empty_fields,normal_empty_fields,repairable_fallback_fields,optional_gap_fields,signal_eps_missing_codes,output_pool_path
2026-01-02,passed_except_eps,83,47,15,4,11,0,15,0,15,12,3,1452,48,115,,eps_yoy_growth_signal=15,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=79; ibd_entry_close_position_invalid_or_non_signal=79; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=79; ibd_entry_date_invalid_or_non_signal=79; ibd_entry_price_invalid_or_non_signal=79; ibd_entry_rule_invalid_or_non_signal=79; ibd_entry_volume_ratio_invalid_or_non_signal=79; ibd_trigger_price_invalid_or_non_signal=79; ...+12,industry=24; sector=24,ibd_candidate_extra=75; pullback_duration_weeks=10; pullback_pct=10; pullback_pct_off_peak=10; pullback_v_is_dry=10,ASML;BIDU;BKR;BTSG;FTAI;GEV;HEI;HWM;LSCC;NYAX;RKLB;SHEL;TSM;WES;ZION,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv
2026-01-09,passed_except_eps,91,47,40,11,29,0,40,0,40,26,14,1263,60,131,,eps_yoy_growth_signal=40,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=80; ibd_entry_close_position_invalid_or_non_signal=80; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=80; ibd_entry_date_invalid_or_non_signal=80; ibd_entry_price_invalid_or_non_signal=80; ibd_entry_rule_invalid_or_non_signal=80; ibd_entry_volume_ratio_invalid_or_non_signal=80; ibd_trigger_price_invalid_or_non_signal=80; ...+12,industry=30; sector=30,ibd_candidate_extra=63; pullback_duration_weeks=17; pullback_pct=17; pullback_pct_off_peak=17; pullback_v_is_dry=17,AMAT;AMZN;ASML;AU;AZN;BTU;CASY;CAT;CHRW;CVNA;EXPE;FCX;FTAI;GH;GMED;GOOG;GSK;HEI;HLT;HUT;HWM;IBM;LDOS;LGND;LSCC;NTRA;NU;NUTX;ROST;SMTC;SNDK;SOLV;STX;TROW;UAL;URBN;VALE;W;WDC;WES,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv
2026-01-16,passed_except_eps,94,47,21,9,12,0,21,0,21,13,8,1565,66,147,,eps_yoy_growth_signal=21,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=85; ibd_entry_close_position_invalid_or_non_signal=85; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=85; ibd_entry_date_invalid_or_non_signal=85; ibd_entry_price_invalid_or_non_signal=85; ibd_entry_rule_invalid_or_non_signal=85; ibd_entry_volume_ratio_invalid_or_non_signal=85; ibd_trigger_price_invalid_or_non_signal=85; ...+12,industry=33; sector=33,ibd_candidate_extra=80; pullback_v_is_dry=19; pullback_duration_weeks=16; pullback_pct=16; pullback_pct_off_peak=16,ASTS;BIDU;BKR;BTU;CAH;FE;FN;IBKR;JNJ;MNST;MRNA;RTX;SANM;SCHW;SHEL;SN;STX;TKO;WELL;WMT;WULF,backtest/ibd_skill_replay_pools/2026-01-16/breakout_follow_pool.csv
2026-01-23,passed_except_eps,100,47,14,7,7,0,14,0,14,6,8,1783,70,165,,eps_yoy_growth_signal=14,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=93; ibd_entry_close_position_invalid_or_non_signal=93; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=93; ibd_entry_date_invalid_or_non_signal=93; ibd_entry_price_invalid_or_non_signal=93; ibd_entry_reject_reason_valid_or_non_signal=93; ibd_entry_rule_invalid_or_non_signal=93; ibd_entry_volume_ratio_invalid_or_non_signal=93; ...+12,industry=35; sector=35,ibd_candidate_extra=91; pullback_v_is_dry=23; pullback_duration_weeks=17; pullback_pct=17; pullback_pct_off_peak=17,ALM;BIDU;BILI;BKR;COHR;CVNA;GH;KO;LMND;MDT;MTB;NU;PAC;ROKU,backtest/ibd_skill_replay_pools/2026-01-23/breakout_follow_pool.csv
2026-01-30,passed_except_eps,100,47,17,10,7,0,17,0,17,14,3,1726,70,146,,eps_yoy_growth_signal=17,-,ibd_entry_reject_reason_valid_or_non_signal=93; ibd_entry_breakout_range_ratio_invalid_or_non_signal=90; ibd_entry_close_position_invalid_or_non_signal=90; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=90; ibd_entry_date_invalid_or_non_signal=90; ibd_entry_price_invalid_or_non_signal=90; ibd_entry_rule_invalid_or_non_signal=90; ibd_entry_volume_ratio_invalid_or_non_signal=90; ...+12,industry=35; sector=35,ibd_candidate_extra=88; pullback_v_is_dry=22; pullback_duration_weeks=12; pullback_pct=12; pullback_pct_off_peak=12,AAOI;AAPL;ALM;CAH;CIEN;GOOG;GSK;HON;IBM;JNJ;KO;LMT;MDT;PFG;SCHW;SHEL;ZM,backtest/ibd_skill_replay_pools/2026-01-30/breakout_follow_pool.csv
2026-02-06,passed,0,47,0,0,0,0,0,0,0,0,0,0,0,0,,-,-,-,-,-,,backtest/ibd_skill_replay_pools/2026-02-06/breakout_follow_pool.csv
2026-02-13,passed_except_eps,119,47,27,12,15,0,27,0,27,15,12,1972,78,199,,eps_yoy_growth_signal=27,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=107; ibd_entry_close_position_invalid_or_non_signal=107; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=107; ibd_entry_date_invalid_or_non_signal=107; ibd_entry_price_invalid_or_non_signal=107; ibd_entry_rule_invalid_or_non_signal=107; ibd_entry_volume_ratio_invalid_or_non_signal=107; ibd_trigger_price_invalid_or_non_signal=107; ...+12,industry=39; sector=39,ibd_candidate_extra=103; pullback_v_is_dry=30; pullback_duration_weeks=22; pullback_pct=22; pullback_pct_off_peak=22,ADC;AEIS;AEO;AMAT;AU;AZN;DG;FE;GNRC;HWM;LSCC;MAS;MTZ;NATL;NEM;NYAX;OR;PFIS;ROST;SHEL;SN;TSM;VRT;WELL;WES;WLK;WULF,backtest/ibd_skill_replay_pools/2026-02-13/breakout_follow_pool.csv
2026-02-20,passed_except_eps,119,47,18,7,11,0,18,0,18,11,7,2115,80,175,,eps_yoy_growth_signal=18,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=112; ibd_entry_close_position_invalid_or_non_signal=112; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=112; ibd_entry_date_invalid_or_non_signal=112; ibd_entry_price_invalid_or_non_signal=112; ibd_entry_rule_invalid_or_non_signal=112; ibd_entry_volume_ratio_invalid_or_non_signal=112; ibd_trigger_price_invalid_or_non_signal=112; ...+12,industry=40; sector=40,ibd_candidate_extra=106; pullback_v_is_dry=24; pullback_duration_weeks=15; pullback_pct=15; pullback_pct_off_peak=15,AAOI;AS;AXTI;CDE;COHR;FANG;FN;HEI;HWM;MRNA;NRG;PAC;RTX;SHEL;TTMI;UAL;UBS;XPO,backtest/ibd_skill_replay_pools/2026-02-20/breakout_follow_pool.csv
2026-02-27,passed_except_eps,111,47,27,15,12,0,27,0,27,14,13,1791,74,151,,eps_yoy_growth_signal=27,-,ibd_entry_reject_reason_valid_or_non_signal=99; ibd_entry_breakout_range_ratio_invalid_or_non_signal=96; ibd_entry_close_position_invalid_or_non_signal=96; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=96; ibd_entry_date_invalid_or_non_signal=96; ibd_entry_price_invalid_or_non_signal=96; ibd_entry_rule_invalid_or_non_signal=96; ibd_entry_volume_ratio_invalid_or_non_signal=96; ...+12,industry=37; sector=37,ibd_candidate_extra=91; pullback_v_is_dry=18; pullback_duration_weeks=14; pullback_pct=14; pullback_pct_off_peak=14,AMGN;APEI;AU;AZN;BMY;BTSG;CASY;CDE;DG;EQIX;EXPE;FCX;FIGS;GMED;JNJ;KO;LH;NATL;NEM;OR;PAAS;PHG;TIGO;TKO;VICR;VVX;WULF,backtest/ibd_skill_replay_pools/2026-02-27/breakout_follow_pool.csv
2026-03-06,passed_except_eps,106,47,9,7,2,0,9,0,9,6,3,1963,64,138,,eps_yoy_growth_signal=9,-,ibd_entry_reject_reason_valid_or_non_signal=104; ibd_entry_breakout_range_ratio_invalid_or_non_signal=99; ibd_entry_close_position_invalid_or_non_signal=99; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=99; ibd_entry_date_invalid_or_non_signal=99; ibd_entry_price_invalid_or_non_signal=99; ibd_entry_rule_invalid_or_non_signal=99; ibd_entry_volume_ratio_invalid_or_non_signal=99; ...+12,industry=32; sector=32,ibd_candidate_extra=101; pullback_v_is_dry=13; pullback_duration_weeks=8; pullback_pct=8; pullback_pct_off_peak=8,CF;EXPE;FIGS;LMT;MPC;NYAX;PBF;RTX;VVX,backtest/ibd_skill_replay_pools/2026-03-06/breakout_follow_pool.csv
