snapshot_date,signal_rows,resolved_rows,unresolved_rows,coverage_pct
2025-10-10,12,10,2,83.3333
2025-10-24,29,27,2,93.1034
2025-10-31,28,22,6,78.5714
2025-11-07,15,14,1,93.3333
2025-11-14,18,13,5,72.2222
2025-11-21,8,8,0,100.0
2025-11-28,36,31,5,86.1111
2025-12-05,30,25,5,83.3333
2025-12-12,26,24,2,92.3077
2025-12-19,19,17,2,89.4737
2025-12-26,17,13,4,76.4706
2026-01-02,15,9,6,60.0
2026-01-09,40,33,7,82.5
2026-01-16,21,18,3,85.7143
2026-01-23,14,9,5,64.2857
2026-01-30,17,14,3,82.3529
2026-02-13,27,19,8,70.3704
2026-02-20,18,14,4,77.7778
2026-02-27,27,21,6,77.7778
2026-03-06,9,8,1,88.8889
2026-03-13,10,9,1,90.0
2026-03-20,8,8,0,100.0
2026-03-27,10,9,1,90.0
2026-04-02,45,40,5,88.8889
2026-04-10,69,63,6,91.3043
2026-04-17,96,84,12,87.5
2026-04-24,80,68,12,85.0
2026-05-01,105,90,15,85.7143
2026-05-08,128,110,18,85.9375
2026-05-15,66,56,10,84.8485
2026-05-22,87,79,8,90.8046
2026-05-29,112,102,10,91.0714
2026-06-05,108,97,11,89.8148
2026-06-12,268,251,17,93.6567
2026-06-18,145,136,9,93.7931
2026-06-26,211,206,5,97.6303
2026-07-02,120,110,10,91.6667
2026-07-10,83,70,13,84.3373
2026-07-17,174,165,9,94.8276
2026-07-24,106,97,9,91.5094
2026-07-31,114,106,8,92.9825
2026-08-07,167,162,5,97.006
