snapshot_date,code,old_eps,new_eps,old_eps25,new_eps25
2025-10-10,OKLO,,33.3333333333,False,True
2025-10-10,RIOT,-100.0,281.25,False,True
2025-10-10,TEM,,96.3556851312,False,True
2025-10-10,ANET,-66.4516129032,34.6153846154,False,True
2025-10-10,SANM,-28.90625,38.4615384615,False,True
2025-10-24,SHOP,,430.7692307692,False,True
2025-10-24,RIOT,-100.0,281.25,False,True
2025-10-24,OPEN,-533.3333333333,69.2307692308,False,True
2025-10-24,NTRA,69.0721649485,-146.6666666667,True,False
2025-10-24,FTAI,-591.3043478261,169.4690265487,False,True
2025-10-24,KLAC,-11.9284294235,46.7532467532,False,True
2025-10-24,NRG,169.6,-118.3976261128,True,False
2025-10-24,GOOG,31.25,22.2222222222,True,False
2025-10-24,PANW,25.8064516129,-156.0,True,False
2025-10-24,ZS,137.5,-22.2222222222,True,False
2025-10-31,WULF,62.5,-66.6666666667,True,False
2025-10-31,MS,46.7741935484,17.032967033,True,False
2025-10-31,CPNG,-150.0,150.0,False,True
2025-11-07,SANM,-28.90625,38.4615384615,False,True
2025-11-28,AAPL,11.1111111111,89.6907216495,False,True
2025-11-28,WWD,18.9781021898,63.9705882353,False,True
2025-12-05,WWD,18.9781021898,63.9705882353,False,True
2025-12-12,CIEN,250.0,-50.0,True,False
2025-12-26,CIEN,250.0,-50.0,True,False
2026-01-30,CIEN,250.0,-50.0,True,False
2026-01-30,LMT,2.2058823529,155.5066079295,False,True
2026-02-13,AEIS,400.0,1.5384615385,True,False
2026-02-20,MRNA,-1800.0,27.8350515464,False,True
2026-02-20,RTX,29.3577981651,8.1818181818,True,False
2026-02-27,NEM,108.75,-3.2520325203,True,False
2026-02-27,EXPE,45.4365079365,-25.7142857143,True,False
2026-02-27,VVX,63.829787234,-6.4102564103,True,False
2026-02-27,EQIX,22.9032258065,1521.0526315789,False,True
2026-02-27,AMGN,13.601532567,109.4017094017,False,True
2026-02-27,LH,56.0,15.1162790698,True,False
2026-02-27,NATL,21.4285714286,98.1818181818,False,True
2026-02-27,KO,30.303030303,6.0,True,False
2026-02-27,TKO,67.8571428571,-128.5714285714,True,False
2026-03-06,EXPE,45.4365079365,-25.7142857143,True,False
2026-03-06,VVX,63.829787234,-6.4102564103,True,False
2026-03-06,LMT,2.2058823529,155.5066079295,False,True
2026-03-06,RTX,29.3577981651,8.1818181818,True,False
2026-03-13,DOCN,357.5757575758,21.0526315789,True,False
2026-03-13,EQIX,22.9032258065,1521.0526315789,False,True
2026-03-13,APEI,650.0,6.3492063492,True,False
2026-03-20,DOCN,357.5757575758,21.0526315789,True,False
2026-03-27,NEM,108.75,-3.2520325203,True,False
