code,weeks_present,first_seen,last_seen,row_count,has_signal
CAT,42,2025-10-10,2026-08-07,42,True
C,42,2025-10-10,2026-08-07,42,True
MNST,42,2025-10-10,2026-08-07,42,True
SNDK,42,2025-10-10,2026-08-07,42,True
MU,42,2025-10-10,2026-08-07,42,True
CASY,42,2025-10-10,2026-08-07,42,True
WDC,42,2025-10-10,2026-08-07,42,True
TSM,41,2025-10-10,2026-08-07,41,True
STX,41,2025-10-10,2026-08-07,41,True
COHR,41,2025-10-24,2026-08-07,41,True
ROST,41,2025-10-24,2026-08-07,41,True
VTR,41,2025-10-24,2026-08-07,41,True
CIEN,40,2025-10-10,2026-07-24,40,True
BTSG,40,2025-10-31,2026-08-07,40,True
SANM,38,2025-10-10,2026-07-31,38,True
FN,38,2025-10-10,2026-07-17,38,True
HUT,38,2025-10-10,2026-07-31,38,True
LGND,38,2025-10-10,2026-08-07,38,True
WULF,36,2025-10-10,2026-08-07,36,True
LSCC,36,2025-10-31,2026-08-07,36,True
MS,35,2025-10-10,2026-08-07,35,True
HWM,35,2025-10-10,2026-08-07,35,True
AMAT,35,2025-12-05,2026-08-07,35,True
VRT,34,2025-10-10,2026-07-17,34,True
GH,34,2025-10-10,2026-08-07,34,True
JNJ,34,2025-10-10,2026-08-07,34,True
GOOG,33,2025-10-10,2026-06-18,33,True
HLT,33,2025-11-28,2026-07-24,33,True
WWD,33,2025-11-28,2026-07-17,33,True
IBKR,32,2025-10-10,2026-08-07,32,True
ASML,32,2025-12-05,2026-08-07,32,True
FEIM,31,2025-10-10,2026-07-24,31,True
BKR,31,2025-10-24,2026-07-02,31,True
SHEL,31,2025-10-24,2026-06-05,31,True
WELL,30,2025-10-10,2026-08-07,30,True
NBIS,30,2025-10-10,2026-08-07,30,True
RTX,30,2025-10-10,2026-08-07,30,True
SMTC,30,2025-12-05,2026-08-07,30,True
PFG,30,2025-12-12,2026-08-07,30,True
SEDG,29,2025-10-10,2026-07-24,29,True
CAH,29,2025-10-31,2026-07-10,29,True
MRNA,29,2026-01-16,2026-08-07,29,True
NYAX,28,2025-10-10,2026-07-31,28,True
AU,28,2025-10-10,2026-05-01,28,True
AAPL,28,2025-10-24,2026-08-07,28,True
TTMI,28,2026-01-23,2026-08-07,28,True
TPR,27,2025-10-10,2026-04-24,27,True
LLY,27,2025-11-14,2026-08-07,27,True
WES,27,2025-11-28,2026-08-07,27,True
AXTI,27,2026-01-16,2026-07-24,27,True
VICR,27,2026-01-23,2026-07-31,27,True
CHRW,26,2025-10-10,2026-07-17,26,True
ALM,26,2025-10-10,2026-06-18,26,True
FIGS,26,2025-10-31,2026-05-01,26,True
LITE,26,2026-01-16,2026-07-17,26,True
XPO,26,2026-02-13,2026-08-07,26,True
DOCN,26,2026-02-13,2026-08-07,26,True
IVT,26,2026-02-13,2026-08-07,26,True
MKSI,26,2026-02-13,2026-08-07,26,True
TIGO,26,2026-02-13,2026-08-07,26,True
EA,25,2025-10-10,2026-07-31,25,True
FE,25,2025-10-31,2026-04-24,25,True
EWBC,25,2025-12-05,2026-08-07,25,True
GSK,24,2025-10-10,2026-04-10,24,True
JPM,24,2025-10-10,2026-08-07,24,True
CRDO,24,2025-10-10,2026-08-07,24,True
AZN,24,2025-11-14,2026-05-01,24,True
AAOI,24,2026-01-30,2026-07-17,24,True
RKLB,23,2025-10-10,2026-06-18,23,True
PFIS,23,2026-02-13,2026-08-07,23,True
KEYS,23,2026-03-06,2026-08-07,23,True
MPC,23,2026-03-06,2026-08-07,23,True
GLW,23,2026-03-06,2026-08-07,23,True
AVGO,22,2025-10-10,2026-05-29,22,True
NTRA,22,2025-10-24,2026-08-07,22,True
WMT,22,2025-10-24,2026-04-17,22,True
ROKU,22,2025-10-31,2026-08-07,22,True
KO,22,2025-11-28,2026-08-07,22,True
DAN,22,2026-01-23,2026-06-26,22,True
ENLT,22,2026-03-06,2026-07-31,22,True
EXPE,21,2025-10-10,2026-08-07,21,True
MTZ,21,2026-02-13,2026-07-02,21,True
AEIS,21,2026-02-13,2026-07-02,21,True
TER,21,2026-03-20,2026-08-07,21,True
OUST,20,2025-10-10,2026-07-17,20,True
ABBV,20,2025-10-10,2026-08-07,20,True
KLAC,20,2025-10-10,2026-08-07,20,True
AMD,20,2025-10-24,2026-08-07,20,True
ZION,20,2025-12-12,2026-08-07,20,True
KRYS,20,2026-02-13,2026-08-07,20,True
DELL,20,2026-03-27,2026-08-07,20,True
WFC,19,2025-10-24,2026-03-06,19,True
MMM,19,2025-10-24,2026-08-07,19,True
VALE,19,2026-01-09,2026-05-22,19,True
OPLN,19,2026-01-23,2026-08-07,19,True
GNRC,19,2026-02-13,2026-07-17,19,True
NATL,19,2026-02-13,2026-06-18,19,True
APEI,19,2026-02-13,2026-06-18,19,True
CBL,19,2026-02-13,2026-08-07,19,True
INSW,19,2026-04-02,2026-08-07,19,True
MRVL,19,2026-04-02,2026-08-07,19,True
AROW,19,2026-04-02,2026-08-07,19,True
TMP,19,2026-04-02,2026-08-07,19,True
NVT,19,2026-04-02,2026-08-07,19,True
NHC,19,2026-04-02,2026-08-07,19,True
SENEA,19,2026-04-02,2026-08-07,19,True
HG,19,2026-04-02,2026-08-07,19,True
BWFG,19,2026-04-02,2026-08-07,19,True
VIK,19,2026-04-02,2026-08-07,19,True
ELA,19,2026-04-02,2026-08-07,19,True
OII,19,2026-04-02,2026-08-07,19,True
FRO,19,2026-04-02,2026-08-07,19,True
MSGS,19,2026-04-02,2026-08-07,19,True
FTAI,18,2025-10-24,2026-05-01,18,True
ALB,18,2025-11-21,2026-04-17,18,True
GEV,18,2026-01-02,2026-06-26,18,True
FCX,18,2026-01-09,2026-05-22,18,True
TXN,18,2026-02-13,2026-08-07,18,True
RSI,18,2026-04-02,2026-08-07,18,True
PL,18,2026-04-02,2026-07-31,18,True
VLO,18,2026-04-02,2026-08-07,18,True
LINC,18,2026-04-02,2026-08-07,18,True
ECO,18,2026-04-02,2026-08-07,18,True
INTC,18,2026-04-10,2026-08-07,18,True
AEHR,18,2026-04-10,2026-08-07,18,True
ACLS,18,2026-04-10,2026-08-07,18,True
UI,17,2025-10-10,2026-05-08,17,True
PAC,17,2025-10-10,2026-04-24,17,True
NET,17,2025-10-10,2026-08-07,17,True
NU,17,2025-10-24,2026-02-20,17,True
ALL,17,2025-11-14,2026-08-07,17,True
SATS,17,2026-01-16,2026-05-15,17,True
