snapshot_date,rows,signal_rows,eps_nonempty_rows,eps_nonempty_stage2_exact_match,eps_nonempty_not_stage2_exact_match,signal_eps_nonempty_rows,signal_eps_stage2_exact_match,signal_eps_missing_rows,signal_eps_missing_codes
2026-01-02,306,29,270,270,0,28,28,1,NVMI
2026-01-09,346,149,304,304,0,131,131,18,ASH;BE;BMRC;BVC;CTRE;H;IVZ;KMT;LINC;LQDA;NUTX;NVMI;NVRI;SNDK;SWBI;TWIN;VSXY;WYY
2026-01-16,380,145,337,337,0,130,130,15,AEP;AMTM;AUGO;BE;CHMG;ELA;HZO;KLIC;LINC;LNT;PSNL;TECH;TWIN;WULF;WYY
2026-01-23,376,64,334,334,0,58,58,6,ASND;CNOB;COHR;MOD;NVRI;RFIL
2026-01-30,407,106,363,363,0,97,97,9,BE;BUUU;CHMG;LMT;LQDA;MOD;NJR;SWBI;TSN
2026-02-06,482,265,439,439,0,250,250,15,ASH;CHMG;CNOB;CTRE;FSEA;GFF;GPRE;HSY;HZO;JBTM;KLIC;KMT;NVRI;RCBC;VSXY
2026-02-13,497,92,445,445,0,77,77,15,AEP;AUGO;CRC;HCSG;ICHR;KLIC;LINC;LNT;MGRT;MO;RCBC;SR;TWIN;UHT;WULF
2026-02-20,497,60,448,448,0,53,53,7,ASH;COHR;CTO;H;MSGS;UCTT;VSXY
2026-02-27,459,54,411,411,0,46,46,8,BE;HCSG;HSY;JAZZ;LNT;RFIL;TWIN;WULF
2026-03-06,407,26,367,367,0,20,20,6,ASND;GPRE;LMT;PBF;RLYB;SWBI
2026-03-13,360,20,324,324,0,16,16,4,BE;BVC;SNDK;SR
2026-03-20,331,32,293,293,0,25,25,7,ANDG;DK;ELA;ETON;ICHR;PTGX;UCTT
2026-03-27,346,69,308,308,0,61,61,8,CRC;GPRE;LNT;MO;NTCT;PLAB;TSN;UNFI
2026-04-02,409,151,366,366,0,140,140,11,ANDG;AUGO;ELA;ICHR;JAZZ;LNT;MGRT;MSGS;NJR;NVRI;TSN
2026-04-10,474,286,425,425,0,261,261,25,AEHR;AEP;ASH;ASND;AUGO;BE;CHMG;CNOB;COHR;CTO;ICHR;KLIC;LNT;MGRT;MO;MOD;NVMI;PLAB;RFIL;SNDK;SR;TSN;UCTT;UHT;WULF
2026-04-17,452,174,398,398,0,156,156,18,AKR;ASH;BE;CNOB;CTO;H;HPE;HZO;JAZZ;KLIC;LION;MANE;MSGS;OOMA;RFIL;ULS;UNFI;WULF
2026-04-24,447,78,398,398,0,68,68,10,AEP;CHMG;FPS;HCSG;MDV;MO;MOD;OCC;OOMA;SWBI
2026-05-01,472,122,416,416,0,102,102,20,AEP;AKR;BUUU;CNOB;CTO;DK;ETON;FPS;FVR;GPRE;IRM;JAZZ;LION;LNT;MO;MSGS;NVRI;PBF;TXNM;ULS
2026-05-08,487,136,429,429,0,118,118,18,AAON;AKR;AMN;APC;CTRE;FSEA;H;HCSG;HZO;IRM;JAZZ;LINC;MDV;MOD;RFIL;RLYB;TSN;ULS
2026-05-15,469,59,409,409,0,49,49,10,APC;BUUU;COHR;ETON;LQDA;MO;MSGS;OCC;PBF;TXNM
2026-05-22,514,106,448,448,0,96,96,10,AKR;BE;CLBK;CRC;EDRY;H;LION;LQDA;NVRI;UHT
2026-05-29,505,99,442,442,0,89,89,10,AAON;BUUU;CNOB;ELA;H;MOD;MOG-A;OCC;SNDK;WULF
2026-06-05,530,121,464,464,0,109,109,12,AKR;AMN;CNOB;DK;FSEA;FVR;HNGE;NODK;OSCR;TWIN;UNFI;VSXY
2026-06-12,613,292,544,544,0,270,270,22,ASH;CLBK;CNOB;CTO;ELA;ETON;FVR;HCSG;ICHR;KLIC;LQDA;NVMI;NVRI;OCC;PTGX;RFIL;SHOO;SNDK;TWIN;UCTT;WKC;WULF
2026-06-18,591,119,521,521,0,102,102,17,AEHR;ALH;ALOT;ASH;BE;FLXS;HCSG;ICHR;IRM;KLIC;LION;MOD;NVRI;PTGX;SWBI;VSXY;WULF
2026-06-26,669,239,593,593,0,214,214,25,AEP;ALMR;AMN;ASND;BUUU;CCXI;CLBK;DK;ETON;GFF;HCSG;HZO;IRM;LINC;LNT;MANE;MO;MSGS;NJR;NTCT;PK;PSNL;RCUS;RFIL;UHT
2026-07-02,691,129,615,615,0,116,116,13,ASH;BMRC;CCXI;CRWD;CTRE;DK;HCSG;JAN;JAZZ;NUTX;NVRI;OOMA;UHT
2026-07-10,683,85,604,604,0,70,70,15,ALH;ALMR;ANDG;COAG;GPRE;HPE;ICHR;LINC;MOD;NJR;NTCT;PBF;PENG;SION;TRAX
2026-07-17,713,181,629,629,0,163,163,18,AKR;APC;ASH;CDNA;CHMG;CLBK;COAG;CTO;CTRE;GPRE;IRM;IVZ;MDV;MO;MSGS;PK;RLYB;SION
2026-07-24,731,114,645,645,0,103,103,11,ALOT;BLFS;CHMG;CTRE;EDRY;FLXS;IRM;JAZZ;LQDA;MOG-A;RCBC
2026-07-31,259,36,228,228,0,33,33,3,ARXS;ETON;SION
2026-08-07,790,179,701,701,0,158,158,21,AIRT;ALH;AMN;ASH;BUUU;BVS;CCXI;EDRY;FLXS;FSEA;GFF;HNGE;HPE;IVZ;NEO;PTGX;SHOO;SION;TECH;TWIN;VSXY
