snapshot_date,expected_last_trading_day,status,output_pool_path,output_row_count,failure_reason,replay_used_clipped_data,has_future_data_before_clip,schema_validation_status
2026-01-02,2026-01-02,success,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,306,,True,True,passed
2026-01-09,2026-01-09,success,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,346,,True,True,passed
2026-01-16,2026-01-16,success,backtest/ibd_skill_replay_pools/2026-01-16/breakout_follow_pool.csv,380,,True,True,passed
2026-01-23,2026-01-23,success,backtest/ibd_skill_replay_pools/2026-01-23/breakout_follow_pool.csv,376,,True,True,passed
2026-01-30,2026-01-30,success,backtest/ibd_skill_replay_pools/2026-01-30/breakout_follow_pool.csv,407,,True,True,passed
2026-02-06,2026-02-06,success,backtest/ibd_skill_replay_pools/2026-02-06/breakout_follow_pool.csv,482,,True,True,passed
2026-02-13,2026-02-13,success,backtest/ibd_skill_replay_pools/2026-02-13/breakout_follow_pool.csv,497,,True,True,passed
2026-02-20,2026-02-20,success,backtest/ibd_skill_replay_pools/2026-02-20/breakout_follow_pool.csv,497,,True,True,passed
2026-02-27,2026-02-27,success,backtest/ibd_skill_replay_pools/2026-02-27/breakout_follow_pool.csv,459,,True,True,passed
2026-03-06,2026-03-06,success,backtest/ibd_skill_replay_pools/2026-03-06/breakout_follow_pool.csv,407,,True,True,passed
2026-03-13,2026-03-13,success,backtest/ibd_skill_replay_pools/2026-03-13/breakout_follow_pool.csv,360,,True,True,passed
2026-03-20,2026-03-20,success,backtest/ibd_skill_replay_pools/2026-03-20/breakout_follow_pool.csv,331,,True,True,passed
2026-03-27,2026-03-27,success,backtest/ibd_skill_replay_pools/2026-03-27/breakout_follow_pool.csv,346,,True,True,passed
2026-04-02,2026-04-02,success,backtest/ibd_skill_replay_pools/2026-04-02/breakout_follow_pool.csv,409,,True,True,passed
2026-04-10,2026-04-10,success,backtest/ibd_skill_replay_pools/2026-04-10/breakout_follow_pool.csv,474,,True,True,passed
2026-04-17,2026-04-17,success,backtest/ibd_skill_replay_pools/2026-04-17/breakout_follow_pool.csv,452,,True,True,passed
2026-04-24,2026-04-24,success,backtest/ibd_skill_replay_pools/2026-04-24/breakout_follow_pool.csv,447,,True,True,passed
2026-05-01,2026-05-01,success,backtest/ibd_skill_replay_pools/2026-05-01/breakout_follow_pool.csv,472,,True,True,passed
2026-05-08,2026-05-08,success,backtest/ibd_skill_replay_pools/2026-05-08/breakout_follow_pool.csv,487,,True,True,passed
2026-05-15,2026-05-15,success,backtest/ibd_skill_replay_pools/2026-05-15/breakout_follow_pool.csv,469,,True,True,passed
2026-05-22,2026-05-22,success,backtest/ibd_skill_replay_pools/2026-05-22/breakout_follow_pool.csv,514,,True,True,passed
2026-05-29,2026-05-29,success,backtest/ibd_skill_replay_pools/2026-05-29/breakout_follow_pool.csv,505,,True,True,passed
2026-06-05,2026-06-05,success,backtest/ibd_skill_replay_pools/2026-06-05/breakout_follow_pool.csv,530,,True,True,passed
2026-06-12,2026-06-12,success,backtest/ibd_skill_replay_pools/2026-06-12/breakout_follow_pool.csv,613,,True,True,passed
2026-06-18,2026-06-18,success,backtest/ibd_skill_replay_pools/2026-06-18/breakout_follow_pool.csv,591,,True,True,passed
2026-06-26,2026-06-26,success,backtest/ibd_skill_replay_pools/2026-06-26/breakout_follow_pool.csv,669,,True,True,passed
2026-07-02,2026-07-02,success,backtest/ibd_skill_replay_pools/2026-07-02/breakout_follow_pool.csv,691,,True,True,passed
2026-07-10,2026-07-10,success,backtest/ibd_skill_replay_pools/2026-07-10/breakout_follow_pool.csv,683,,True,True,passed
2026-07-17,2026-07-17,success,backtest/ibd_skill_replay_pools/2026-07-17/breakout_follow_pool.csv,713,,True,True,passed
2026-07-24,2026-07-24,success,backtest/ibd_skill_replay_pools/2026-07-24/breakout_follow_pool.csv,731,,True,True,passed
2026-07-31,2026-07-31,success,backtest/ibd_skill_replay_pools/2026-07-31/breakout_follow_pool.csv,259,,True,True,passed
2026-08-07,2026-08-07,success,backtest/ibd_skill_replay_pools/2026-08-07/breakout_follow_pool.csv,790,,True,True,passed
