snapshot_date,code,supplement_source,supplement_value,status
2025-10-10,ALM,us/stage2/stage2_whitelist.csv,89.46564885496183,current_snapshot_available_not_pit_safe
2025-10-10,ANET,us/stage2/stage2_whitelist.csv,35.9553775743707,current_snapshot_available_not_pit_safe
2025-10-10,ASTS,,,unresolved
2025-10-10,CORZ,us/stage2/stage2_whitelist.csv,-7868.824940047961,current_snapshot_available_not_pit_safe
2025-10-10,GH,us/stage2/stage2_whitelist.csv,-12.33693626537459,current_snapshot_available_not_pit_safe
2025-10-10,GSK,,,unresolved
2025-10-10,MP,,,unresolved
2025-10-10,OKLO,,,unresolved
2025-10-10,RIOT,us/stage2/stage2_whitelist.csv,-217.76588397790056,current_snapshot_available_not_pit_safe
2025-10-10,SANM,us/stage2/stage2_whitelist.csv,68.71823379923758,current_snapshot_available_not_pit_safe
2025-10-10,TEM,,,unresolved
2025-10-10,VRT,us/stage2/stage2_whitelist.csv,52.41702741702743,current_snapshot_available_not_pit_safe
2025-10-24,AAPL,us/stage2/stage2_whitelist.csv,29.131849205842947,current_snapshot_available_not_pit_safe
2025-10-24,AVGO,us/stage2/stage2_whitelist.csv,85.59486780715397,current_snapshot_available_not_pit_safe
2025-10-24,BKR,us/stage2/stage2_whitelist.csv,-3.435114503816792,current_snapshot_available_not_pit_safe
2025-10-24,CDNS,,,unresolved
2025-10-24,COF,,,unresolved
2025-10-24,CRWD,,,unresolved
2025-10-24,FTAI,,,unresolved
2025-10-24,GH,us/stage2/stage2_whitelist.csv,-12.33693626537459,current_snapshot_available_not_pit_safe
2025-10-24,GOOG,us/eps_growth_screener_results.csv,294.01687216093444,current_snapshot_available_not_pit_safe
2025-10-24,HWM,us/stage2/stage2_whitelist.csv,32.508728179551134,current_snapshot_available_not_pit_safe
2025-10-24,IBM,,,unresolved
2025-10-24,KLAC,us/stage2/stage2_whitelist.csv,14.389759435003304,current_snapshot_available_not_pit_safe
2025-10-24,MMM,us/stage2/stage2_whitelist.csv,33.54269478091821,current_snapshot_available_not_pit_safe
2025-10-24,NRG,,,unresolved
2025-10-24,NTRA,us/stage2/stage2_whitelist.csv,36.846372111876775,current_snapshot_available_not_pit_safe
2025-10-24,NU,,,unresolved
2025-10-24,NVDA,us/eps_growth_screener_results.csv,213.4224669026084,current_snapshot_available_not_pit_safe
2025-10-24,OPEN,,,unresolved
2025-10-24,PANW,us/stage2/stage2_whitelist.csv,-159.64912280701756,current_snapshot_available_not_pit_safe
2025-10-24,RIOT,us/stage2/stage2_whitelist.csv,-217.76588397790056,current_snapshot_available_not_pit_safe
2025-10-24,ROST,us/stage2/stage2_whitelist.csv,38.05949781659389,current_snapshot_available_not_pit_safe
2025-10-24,RTX,us/stage2/stage2_whitelist.csv,28.043798006210164,current_snapshot_available_not_pit_safe
2025-10-24,SEDG,,,unresolved
2025-10-24,SHEL,us/stage2/stage2_whitelist.csv,216.92485168094925,current_snapshot_available_not_pit_safe
2025-10-24,SHOP,,,unresolved
2025-10-24,VEEV,,,unresolved
2025-10-24,WELL,us/stage2/stage2_whitelist.csv,12.01117318435755,current_snapshot_available_not_pit_safe
2025-10-24,WFC,us/stage2/stage2_whitelist.csv,25.53258145363407,current_snapshot_available_not_pit_safe
2025-10-24,ZS,,,unresolved
2025-10-31,AMZN,us/eps_growth_screener_results.csv,241.8287822000119,current_snapshot_available_not_pit_safe
2025-10-31,C,us/stage2/stage2_whitelist.csv,61.04832523651241,current_snapshot_available_not_pit_safe
2025-10-31,CAH,us/stage2/stage2_whitelist.csv,70.07431211086563,current_snapshot_available_not_pit_safe
2025-10-31,CHRW,,,unresolved
2025-10-31,COE,,,unresolved
2025-10-31,CORZ,us/stage2/stage2_whitelist.csv,-7868.824940047961,current_snapshot_available_not_pit_safe
2025-10-31,CPNG,,,unresolved
2025-10-31,CRDO,us/eps_growth_screener_results.csv,336.83424589347936,current_snapshot_available_not_pit_safe
2025-10-31,FUTU,,,unresolved
2025-10-31,GSK,,,unresolved
2025-10-31,HOOD,us/stage2/stage2_whitelist.csv,44.86575600565238,current_snapshot_available_not_pit_safe
2025-10-31,LKNCY,,,unresolved
2025-10-31,LSCC,us/eps_growth_screener_results.csv,550.9433962264152,current_snapshot_available_not_pit_safe
2025-10-31,MS,us/stage2/stage2_whitelist.csv,62.71075001174092,current_snapshot_available_not_pit_safe
2025-10-31,MTSR,,,unresolved
2025-10-31,NBIS,us/stage2/stage2_whitelist.csv,-127.73874683440896,current_snapshot_available_not_pit_safe
2025-10-31,NET,us/stage2/stage2_whitelist.csv,-230.3719008264463,current_snapshot_available_not_pit_safe
2025-10-31,NVDA,us/eps_growth_screener_results.csv,213.4224669026084,current_snapshot_available_not_pit_safe
2025-10-31,PLTR,us/eps_growth_screener_results.csv,221.56862745098036,current_snapshot_available_not_pit_safe
2025-10-31,ROKU,us/eps_growth_screener_results.csv,1440.02849002849,current_snapshot_available_not_pit_safe
2025-10-31,SOFI,,,unresolved
2025-10-31,STX,us/stage2/stage2_whitelist.csv,149.16685280321644,current_snapshot_available_not_pit_safe
2025-10-31,TSLA,,,unresolved
2025-10-31,VTR,us/stage2/stage2_whitelist.csv,-4.640215198386005,current_snapshot_available_not_pit_safe
2025-10-31,W,us/stage2/stage2_whitelist.csv,-106.5348237317283,current_snapshot_available_not_pit_safe
