phase,fold,snapshot_date
FORMAL_OOS,1,2026-03-13
FORMAL_OOS,1,2026-03-20
FORMAL_OOS,1,2026-03-27
FORMAL_OOS,1,2026-04-02
FORMAL_OOS,2,2026-04-10
FORMAL_OOS,2,2026-04-17
FORMAL_OOS,2,2026-04-24
FORMAL_OOS,2,2026-05-01
FORMAL_OOS,3,2026-05-08
FORMAL_OOS,3,2026-05-15
FORMAL_OOS,3,2026-05-22
FORMAL_OOS,3,2026-05-29
FORMAL_OOS,4,2026-06-05
FORMAL_OOS,4,2026-06-12
FORMAL_OOS,4,2026-06-18
FORMAL_OOS,4,2026-06-26
FORMAL_OOS,5,2026-07-02
FORMAL_OOS,5,2026-07-10
FORMAL_OOS,5,2026-07-17
FORMAL_OOS,5,2026-07-24
TAIL_EXPLORATORY,,2026-07-31
TAIL_EXPLORATORY,,2026-08-07
