fold,evaluation_role,train_champion_rule,snapshot_date,code,variant,selection_source,ibd_entry_status,ibd_candidate_rule,current_vs_ibd_candidate_pct,review_reason
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-13,DOCN,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ceiling_pullback,3.58,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-13,NYAX,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,pivot,2.67,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-20,BTU,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,2.22,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-20,LMND,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,3.82,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-20,STX,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,0.87,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-27,CASY,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,pivot,3.51,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-27,DELL,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,2.75,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-27,NEM,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,pivot,4.08,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-27,PFIS,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,0.36,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-04-02,CLST,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,three_weeks_tight,2.05,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-04-02,ECO,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,3.44,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-04-02,FBNC,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,0.29,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-04-02,INVA,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,1.01,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-04-02,MRVL,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,4.29,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-04-02,PFIS,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,1.39,weekend_actionable
1,B0_ACTIONABLE_ONLY,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-04-02,TDW,B0_ACTIONABLE_ONLY,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,1.81,weekend_actionable
1,PRIMARY_R1,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,2026-03-13,DOCN,R1_NEAR_BUY_POINT_PLUS_EVIDENCE,ACTIONABLE_BASELINE,ACTIONABLE,ceiling_pullback,3.58,weekend_actionable
