audit_rule,horizon,snapshot_date,code,ibd_entry_status,ibd_candidate_rule,current_vs_ibd_candidate_pct,review_opportunity_1w,forward_1w_return_pct,forward_2w_return_pct,forward_3w_return_pct,forward_4w_return_pct,mfe_1w_pct,mfe_2w_pct,mfe_3w_pct,mfe_4w_pct,mae_1w_pct,mae_2w_pct,mae_3w_pct,mae_4w_pct
B0_ACTIONABLE_ONLY,1w,2025-12-12,CIEN,EXTENDED,pivot,7.39,True,4.301756999427209,8.223149775063444,15.101433914393514,11.583047570747397,4.759106112981648,10.034415880085422,15.386710536952686,18.243981712115765,-8.66690803615291,-8.66690803615291,-8.66690803615291,-8.66690803615291
B0_ACTIONABLE_ONLY,1w,2025-12-12,EXPE,UNCONFIRMED,ma10_touch_confirm,3.18,False,4.414847834581548,3.5376574612683287,8.010253166355842,8.284605124974775,5.559174436795766,5.559174436795766,8.295434227742305,9.667171988074541,-0.3429289318924389,-0.3429289318924389,-0.3429289318924389,-0.3429289318924389
B0_ACTIONABLE_ONLY,1w,2025-12-12,HLT,UNCONFIRMED,ceiling,0.69,True,2.677158060101492,2.7157995770447974,3.0390309342283706,5.617816098116002,3.615222699082077,3.615222699082077,3.615222699082077,6.594522254039892,-0.5832145710684355,-0.5832145710684355,-0.5832145710684355,-0.5832145710684355
B0_ACTIONABLE_ONLY,1w,2025-12-12,HWM,UNCONFIRMED,ceiling,3.63,True,2.66902554307471,5.696270796548064,8.31988180982175,10.817357604200705,2.825431982714921,7.225029033657493,9.17255712133933,12.820385496143526,-3.6074641809159647,-3.6074641809159647,-3.6074641809159647,-3.6074641809159647
B0_ACTIONABLE_ONLY,1w,2025-12-12,STX,UNCONFIRMED,pivot,1.13,True,1.5313887008121085,-3.6280880893523326,13.200177068648177,9.095887649649992,4.638726009059191,4.638726009059191,13.741472245932208,13.741472245932208,-5.4061559165979105,-5.885786539855287,-6.036529086473818,-6.036529086473818
B0_ACTIONABLE_ONLY,1w,2026-01-09,AMAT,UNCONFIRMED,pivot,10.08,False,8.38194632195519,5.879620231539939,8.842633092880469,9.56184740381607,9.704361215973556,10.377170035768035,14.211853609083903,14.211853609083903,-1.5643647095342939,-1.5643647095342939,-1.5643647095342939,-4.7162968741734534
B0_ACTIONABLE_ONLY,1w,2026-01-09,ASML,EXTENDED,ma10_touch_confirm,8.62,False,8.161225014198736,12.522483771061466,14.754864211045593,13.807455340534624,9.498744562980011,13.047934408615113,18.901956180408174,18.901956180408174,-0.5127193904862049,-0.5127193904862049,-0.5127193904862049,-0.5127193904862049
B0_ACTIONABLE_ONLY,1w,2026-01-09,SNDK,EXTENDED,pivot,32.54,False,10.602453075663787,25.892447591035573,77.88592348662084,56.00182434680412,15.522632190679332,36.240605197429886,80.94766966135583,93.86581748094069,0.0,0.0,0.0,0.0
B0_ACTIONABLE_ONLY,1w,2026-01-09,STX,UNCONFIRMED,ma10_touch_confirm,0.93,True,8.994024137955648,19.705326072438332,44.64936545337941,41.99325230250648,11.930771356238257,23.77468318550866,52.96515320984645,53.48969543597488,-0.40760456738979656,-0.40760456738979656,-0.40760456738979656,-0.40760456738979656
B0_ACTIONABLE_ONLY,1w,2026-01-09,WDC,EXTENDED,ma10_touch_confirm,6.76,False,14.47544935753795,24.470287391997747,39.65375244771479,47.798444565568474,19.111108903120954,29.426357850855943,47.50388290838985,53.229974160206716,0.0,0.0,0.0,0.0
