snapshot_date,code,selection_source,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,_evidence_family_count,review_reason,pit_eps_yoy_growth,volume_ratio,dist_to_52w_high_pct,pullback_v_is_dry,sector,industry
2026-08-07,ACT,SUPPLEMENTAL,UNCONFIRMED,three_weeks_tight,48.79,0.35,1,unconfirmed_near_buy_point|rs_near_high,12.6126126126,1.1332270394456017,-0.4473363155754306,False,Finance,Multi-Line Insurance
2026-08-07,AIR,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,142.92,0.1,1,unconfirmed_near_buy_point|eps,34.0206185567,0.7432057647518651,-7.103896103896101,False,Electronic Technology,Aerospace & Defense
2026-08-07,AIRT,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,30.6,4.58,2,weekend_actionable,1227.8431372549,3.352112943004911,-8.571428571428575,,Transportation,Air Freight/Couriers
2026-08-07,AIT,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,352.76,2.02,1,unconfirmed_near_buy_point|rs_near_high,3.1128404669,0.7350552783923808,-0.8348717383517612,False,Distribution Services,Wholesale Distributors
2026-08-07,AIZ,ACTIONABLE_BASELINE,ACTIONABLE,pivot,279.5,3.6,3,weekend_actionable,30.4824561404,1.193150084524977,-4.7344870698164065,False,Finance,Property/Casualty Insurance
2026-08-07,ALH,SUPPLEMENTAL,UNCONFIRMED,pivot,27.05,2.66,2,unconfirmed_near_buy_point|eps|rs_near_high,180.0,0.7656595718008656,-1.6294721927027966,,Producer Manufacturing,Industrial Machinery
2026-08-07,ALX,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,275.0,0.69,3,weekend_actionable,2441.1764705882,1.4534176117147108,-4.332653836851752,False,Finance,Real Estate Investment Trusts
2026-08-07,AME,ACTIONABLE_BASELINE,ACTIONABLE,pivot,244.71,3.66,2,weekend_actionable,14.1935483871,1.3113305728790554,-1.6631130063965882,False,Producer Manufacturing,Electrical Products
2026-08-07,AMKR,SUPPLEMENTAL,UNCONFIRMED,ceiling,53.37,3.56,1,unconfirmed_near_buy_point|eps,266.6666666667,0.7432844319691122,-42.83202316921803,,Electronic Technology,Semiconductors
2026-08-07,AMN,SUPPLEMENTAL,UNCONFIRMED,pivot,35.73,0.76,2,unconfirmed_near_buy_point|eps|rs_near_high,117.5496688742,1.2031307082306115,-2.1739130434782483,False,Commercial Services,Personnel Services
