code,rows,symbol_found_count,symbol_found_rate,complete_1w_count,complete_1w_rate,complete_2w_count,complete_2w_rate,complete_3w_count,complete_3w_rate,complete_4w_count,complete_4w_rate
AA,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AAL,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AAMI,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
AAOI,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AAON,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
AAPL,7,7,1.0,7,1.0,7,1.0,7,1.0,7,1.0
ABBV,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ABCB,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ABNB,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
ACA,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ACHC,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ACLS,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ACLX,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ACMR,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
ACNB,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ACT,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,1,0.3333333333333333
ACU,3,3,1.0,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
AD,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
ADC,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ADI,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ADM,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ADPT,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
AEE,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
AEHR,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
AEIS,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AEO,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AEP,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AFBI,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AFL,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AGX,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
AHR,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
AIP,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
AIR,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
AIRT,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
AIT,6,6,1.0,6,1.0,6,1.0,5,0.8333333333333334,5,0.8333333333333334
AIZ,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
AKAM,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AKR,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
AKTS,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALAB,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
ALB,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALGM,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALH,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
ALKS,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
ALL,8,8,1.0,8,1.0,8,1.0,8,1.0,8,1.0
ALM,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALNT,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
ALOT,2,2,1.0,1,0.5,1,0.5,1,0.5,0,0.0
ALRS,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ALSN,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ALX,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
AMAL,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
AMAT,6,6,1.0,6,1.0,6,1.0,6,1.0,6,1.0
AMBQ,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
AMD,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
AME,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
AMG,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
AMGN,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
AMKR,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
AMLX,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
AMN,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
AMPX,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AMRX,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
AMTB,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
AMZN,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ANAB,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ANDG,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
ANET,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
ANRO,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
AOSL,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
APEI,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
APGE,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
APLD,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
APLE,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
APP,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ARCB,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ARGX,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ARM,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ARMK,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
AROC,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
AROW,7,7,1.0,7,1.0,7,1.0,7,1.0,7,1.0
ARWR,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ARXS,1,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0
AS,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
ASB,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ASH,5,5,1.0,5,1.0,5,1.0,4,0.8,3,0.6
ASIC,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
ASML,6,6,1.0,6,1.0,6,1.0,6,1.0,6,1.0
ASND,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
ASRT,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ASTC,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ASTS,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ASX,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ASYS,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
ATEX,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
ATI,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
ATLC,3,3,1.0,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
ATLO,5,5,1.0,5,1.0,5,1.0,4,0.8,4,0.8
ATRO,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
AU,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AUPH,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AVA,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AVBC,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
AVBH,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
AVBP,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
AVGO,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AVNS,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AVT,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
AWR,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
