metric,weeks,block_size,observed_macro_delta,bootstrap_ci_2_5,bootstrap_ci_97_5,prob_delta_gt_0
opportunity_recall_1w,42,4,0.5294995386630599,0.46970352401772447,0.6108153144385314,1.0
avg_watchlist_size,42,4,29.047619047619047,14.950000000000001,44.431547619047606,1.0
tradable_big_winner_recall_2w,42,4,0.4835600907029479,0.41637188208616777,0.5632100340136055,1.0
tradable_winner_capture_lift_2w,42,4,-0.13715816015785307,-0.2972046923309551,-0.022747508633018304,0.006
tradable_loser_capture_lift_2w,42,4,0.05999446106927529,-0.08829667101858914,0.2400974312093693,0.796
opp_severe_loser_exposure_2w,42,4,0.050078725201980555,0.00022585436127444544,0.11453881173885574,0.975
tradable_big_winner_recall_3w,42,4,0.4768002322880372,0.4105946677451468,0.5589441609977324,1.0
tradable_winner_capture_lift_3w,42,4,-0.10129447835375402,-0.21645089633626796,0.0077008379612925,0.038
tradable_loser_capture_lift_3w,42,4,0.1343819081064618,-0.009799965562191957,0.26539313135537757,0.964
opp_severe_loser_exposure_3w,42,4,0.07088749348059069,0.0013062740077962106,0.16114128643965447,0.9775
tradable_big_winner_recall_4w,42,4,0.4978472222222222,0.43723516744096014,0.5823015873015873,1.0
tradable_winner_capture_lift_4w,42,4,0.042722068217609536,-0.10069359658063398,0.1736170817628179,0.7085
tradable_loser_capture_lift_4w,42,4,-0.03199990032670282,-0.15671594978060313,0.11315580611326413,0.3615
opp_severe_loser_exposure_4w,42,4,0.06348326241014576,-0.0084294053663723,0.1432929833070644,0.955
