code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type,pool_path,_source_row_order,pit_eps_state,pit_eps_yoy_growth,observation_start_date,observation_start_open,review_opportunity_1w,opportunity_type_1w,first_zone_date_1w,first_zone_close_1w,forward_1w_censored,forward_1w_sessions,forward_1w_return_pct,mfe_1w_pct,mae_1w_pct,stop_8_within_1w,forward_2w_censored,forward_2w_sessions,forward_2w_return_pct,mfe_2w_pct,mae_2w_pct,stop_8_within_2w,forward_3w_censored,forward_3w_sessions,forward_3w_return_pct,mfe_3w_pct,mae_3w_pct,stop_8_within_3w,forward_4w_censored,forward_4w_sessions,forward_4w_return_pct,mfe_4w_pct,mae_4w_pct,stop_8_within_4w,winner_return_top5_1w,winner_mfe_top5_1w,big_winner_any_1w,loser_return_bottom5_1w,severe_loser_1w,big_loser_any_1w,winner_return_top10pct_1w,loser_return_bottom10pct_1w,winner_return_top5_2w,winner_mfe_top5_2w,big_winner_any_2w,loser_return_bottom5_2w,severe_loser_2w,big_loser_any_2w,winner_return_top10pct_2w,loser_return_bottom10pct_2w,winner_return_top5_3w,winner_mfe_top5_3w,big_winner_any_3w,loser_return_bottom5_3w,severe_loser_3w,big_loser_any_3w,winner_return_top10pct_3w,loser_return_bottom10pct_3w,winner_return_top5_4w,winner_mfe_top5_4w,big_winner_any_4w,loser_return_bottom5_4w,severe_loser_4w,big_loser_any_4w,winner_return_top10pct_4w,loser_return_bottom10pct_4w
ALM,2025-10-10,True,ceiling_breakout,,ceiling,7.74,ceiling_breakout,,1.0,2025-10-09,7.99,7.74,2.9970922468693693,0.0116279069767442,0.4318181818181823,0.204545454545454,ceiling,,7.75,0.13,ACTIONABLE,3.558895559768739,0.0,2025-10-06,0.1,0,0,7.74,2025-06-30,-59.2,1,14,59.2,3.125,7.0,0,,,,True,True,,8.39,-7.628128724672234,Non-Energy Minerals,Other Metals/Minerals,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,6,UNKNOWN,,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANET,2025-10-10,True,pivot,False,pivot,150.25,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 150.25, ""resistance_date"": ""2025-10-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,154.1,2.56,UNCONFIRMED,1.1983495511173794,12.9,2025-08-25,15.4,1,0,133.57,2025-01-20,-55.5,1,31,55.5,2.5833333333333335,9.0,2,4.0,-7.3,2.6,True,False,34.6153846154,162.68,-5.274157855913453,Electronic Technology,Computer Peripherals,SEC,resolved,,GROWTH,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,8,VERIFIED,34.6153846154,2025-10-13,160.75999450683594,False,,,,False,5,-10.985312892984311,0.7713395966254089,-14.9104267477963,True,False,10,-4.316986451702121,0.7713395966254089,-14.9104267477963,True,False,15,-1.90967415422445,2.600154315377612,-14.9104267477963,True,False,20,-16.241603323295273,2.600154315377612,-17.610101098498067,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True
ASTS,2025-10-10,True,10_wk_ema_touch_confirm,,ma10_touch_confirm,68.8,10_wk_ema_touch_confirm,"{""confirm_date"": ""2025-10-06"", ""ma10_prior_week"": 48.626, ""pending_high"": 68.8, ""touch_date"": ""2025-09-29""}",1.0,2025-10-07,68.8,68.8,1.6884452261723697,0.0864825581395349,0.856651376146789,0.6823394495412848,ma10_touch_confirm,,82.03,19.23,EXTENDED,2.182823144946845,21.1,2025-09-29,41.2,1,0,58.08,2025-07-14,-37.9,1,11,37.9,3.5833333333333335,5.0,0,,,,True,True,-357.1428571429,91.41,-10.261459358932278,Unknown,Unknown,SEC,resolved,,PROFIT_TO_LOSS,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,4,VERIFIED,-357.1428571429,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CORZ,2025-10-10,True,ceiling_breakout,,ceiling,18.35,ceiling_breakout,,1.0,2025-10-10,18.35,18.35,2.479734919289035,0.0092643051771115,0.3875968992248064,0.1317829457364327,ceiling,,18.52,0.93,ACTIONABLE,1.9315324034815793,0.0,2025-10-06,0.9,0,0,18.35,2024-11-18,-66.2,3,46,66.2,3.916666666666667,3.0,0,,,,True,True,99.1130820399,19.31,-4.091144484722942,Technology Services,Packaged Software,SEC,resolved,,LOSS_NARROWING,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,2,VERIFIED,99.1130820399,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GH,2025-10-10,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,63.63,10_wk_ema_touch_confirm,"{""confirm_date"": ""2025-10-06"", ""ma10_prior_week"": 58.04, ""pending_high"": 63.63, ""touch_date"": ""2025-09-08""}",0.0,,,,,,,,,daily_volume_not_confirmed,64.22,0.93,UNCONFIRMED,0.8219473832184276,18.4,2025-08-04,29.8,2,0,49.48,2025-02-10,-29.5,3,25,29.5,1.8958333333333333,11.0,1,7.0,-20.9,-4.9,True,False,4.7619047619,68.0,-5.558823529411772,Health Technology,Medical Specialties,SEC,resolved,,LOSS_NARROWING,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,10,VERIFIED,4.7619047619,2025-10-13,64.55999755859375,True,UNCONFIRMED_TO_ZONE,2025-10-15,64.19000244140625,False,5,1.3940544608324723,5.684643644865384,-5.51424673670835,False,False,10,11.756512165906718,12.608425801535518,-5.51424673670835,False,False,15,44.08302379293425,48.51301251428739,-5.51424673670835,False,False,20,49.8141339502397,55.23544766206791,-5.51424673670835,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False
GSK,2025-10-10,True,ceiling_breakout,,ceiling,43.39,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,43.54,0.35,UNCONFIRMED,1.2490418313567049,0.0,2025-10-06,0.3,0,0,43.39,2024-05-20,-29.3,4,72,29.3,1.75,12.0,0,,,,False,False,,45.59,-4.49660013160782,Unknown,Unknown,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,11,UNKNOWN,,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MP,2025-10-10,True,pivot,True,pivot,75.92,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 75.92, ""resistance_date"": ""2025-10-06""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 75.92, ""resistance_date"": ""2025-10-06""}}",1.0,2025-10-10,75.92,75.92,4.079836336412631,0.0318756585879873,0.4273281114012183,0.2106179286335946,pivot,,78.34,3.19,ACTIONABLE,2.319889269406536,156.4,2025-06-09,190.7,2,0,26.95,2025-03-10,-30.8,1,13,30.8,3.2499999999999996,6.0,3,9.0,-25.6,-5.0,True,True,9.5238095238,84.92,-7.748469147432879,Unknown,Unknown,SEC,resolved,,LOSS_NARROWING,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,5,VERIFIED,9.5238095238,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OKLO,2025-10-10,True,pivot,False,pivot,136.53,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 136.53, ""resistance_date"": ""2025-10-06""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 136.53, ""resistance_date"": ""2025-10-06""}}",1.0,2025-10-10,137.69,136.53,2.0430116046512015,0.0778583461510289,0.4209670865501825,0.4319382364892321,pivot,,147.16,7.79,EXTENDED,1.5620318371289466,113.3,2025-07-14,148.8,4,1,59.14,2025-02-03,-70.5,1,23,70.5,4.583333333333333,1.0,2,4.0,-20.5,7.8,True,True,33.3333333333,161.41,-8.82844929062635,Unknown,Unknown,SEC,resolved,,LOSS_NARROWING,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,0,VERIFIED,33.3333333333,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RIOT,2025-10-10,True,ceiling_breakout,,ceiling,20.65,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,21.01,1.74,UNCONFIRMED,1.0651585751436417,0.0,2025-10-06,1.7,0,0,20.65,2023-07-10,-70.0,6,117,70.0,4.083333333333333,2.0,0,,,,True,False,281.25,23.93,-12.202256581696602,Technology Services,Information Technology Services,SEC,resolved,,TURNAROUND,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,1,VERIFIED,281.25,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SANM,2025-10-10,True,pivot,True,pivot,122.08,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 122.08, ""resistance_date"": ""2025-10-06""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 122.08, ""resistance_date"": ""2025-10-06""}}",1.0,2025-10-06,160.25,122.08,5.769200474695176,0.146788990825688,0.2552408973887458,0.6590658330268482,pivot,,122.71,0.52,ACTIONABLE,2.5200849953688556,25.1,2025-06-23,35.9,2,1,90.32,2024-11-04,-29.5,2,33,29.5,2.479166666666667,10.0,2,10.0,-11.2,0.5,False,False,38.4615384615,160.25,-23.425897035881437,Electronic Technology,Electronic Production Equipment,SEC,resolved,,GROWTH,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,9,VERIFIED,38.4615384615,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
