snapshot_date,code,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,review_opportunity_1w,opportunity_type_1w,opportunity_delay_sessions,opportunity_anchor_date,opportunity_anchor_price,forward_1w_return_pct,mfe_1w_pct,mae_1w_pct,big_winner_any_1w,big_loser_any_1w,opp_forward_1w_return_pct,opp_mfe_1w_pct,opp_mae_1w_pct,opp_big_winner_any_1w,opp_big_loser_any_1w,forward_2w_return_pct,mfe_2w_pct,mae_2w_pct,big_winner_any_2w,big_loser_any_2w,opp_forward_2w_return_pct,opp_mfe_2w_pct,opp_mae_2w_pct,opp_big_winner_any_2w,opp_big_loser_any_2w,forward_3w_return_pct,mfe_3w_pct,mae_3w_pct,big_winner_any_3w,big_loser_any_3w,opp_forward_3w_return_pct,opp_mfe_3w_pct,opp_mae_3w_pct,opp_big_winner_any_3w,opp_big_loser_any_3w,forward_4w_return_pct,mfe_4w_pct,mae_4w_pct,big_winner_any_4w,big_loser_any_4w,opp_forward_4w_return_pct,opp_mfe_4w_pct,opp_mae_4w_pct,opp_big_winner_any_4w,opp_big_loser_any_4w
2025-10-10,ALM,ACTIONABLE,ceiling,7.74,0.13,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-10,ANET,UNCONFIRMED,pivot,150.25,2.56,False,,,,,-10.985312892984311,0.7713395966254089,-14.9104267477963,True,True,,,,False,False,-4.316986451702121,0.7713395966254089,-14.9104267477963,True,True,,,,False,False,-1.90967415422445,2.600154315377612,-14.9104267477963,True,True,,,,False,False,-16.241603323295273,2.600154315377612,-17.610101098498067,True,True,,,,False,False
2025-10-10,ASTS,EXTENDED,ma10_touch_confirm,68.8,19.23,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-10,CORZ,ACTIONABLE,ceiling,18.35,0.93,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-10,GH,UNCONFIRMED,ma10_touch_confirm,63.63,0.93,True,UNCONFIRMED_TO_ZONE,3,2025-10-15,64.19000244140625,1.3940544608324723,5.684643644865384,-5.51424673670835,True,True,5.982234291696509,9.565351544040102,-0.2960000532476803,True,True,11.756512165906718,12.608425801535518,-5.51424673670835,True,True,12.587620960188794,14.207812385600693,-0.2960000532476803,True,True,44.08302379293425,48.51301251428739,-5.51424673670835,True,True,48.076023425176075,56.13023431832034,-0.2960000532476803,True,True,49.8141339502397,55.23544766206791,-5.51424673670835,True,True,52.422484213488964,58.23336319006855,-0.2960000532476803,True,True
2025-10-10,GSK,UNCONFIRMED,ceiling,43.39,0.35,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-10,MP,ACTIONABLE,pivot,75.92,3.19,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-10,OKLO,EXTENDED,pivot,136.53,7.79,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-10,RIOT,UNCONFIRMED,ceiling,20.65,1.74,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-10,SANM,ACTIONABLE,pivot,122.08,0.52,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
