feature,bucket,rows,sample_share,opportunity_rate,quality_evaluable_rows,persistent_winner_rate,persistent_loser_rate,winner_minus_loser,median_mean_opp_return_2_4w
status,UNCONFIRMED,112,1.0,0.49107142857142855,51,0.6862745098039216,0.5882352941176471,0.0980392156862745,2.3212220113129067
setup,ceiling,22,0.19642857142857142,0.36363636363636365,8,0.5,0.75,-0.25,0.9951040131670141
setup,ceiling_pullback,5,0.044642857142857144,0.4,2,1.0,1.0,0.0,8.997373996530474
setup,ma10_touch_confirm,24,0.21428571428571427,0.5416666666666666,12,0.6666666666666666,0.5833333333333334,0.08333333333333326,1.6514017704237587
setup,pivot,55,0.49107142857142855,0.5272727272727272,26,0.8076923076923077,0.5384615384615384,0.2692307692307693,2.21652552374542
setup,three_weeks_tight,6,0.05357142857142857,0.5,3,0.0,0.3333333333333333,-0.3333333333333333,-1.2708462120209856
vs_buy_point,"(2,5]",44,0.39285714285714285,0.4772727272727273,20,0.55,0.6,-0.04999999999999993,2.0460076341247877
vs_buy_point,"[0,2]",68,0.6071428571428571,0.5,31,0.7741935483870968,0.5806451612903226,0.19354838709677413,2.582118344610303
base_depth,33-50,30,0.26785714285714285,0.7,20,0.8,0.5,0.30000000000000004,3.0490581730437762
base_depth,<=33,65,0.5803571428571429,0.4461538461538462,27,0.5555555555555556,0.7407407407407407,-0.18518518518518512,0.8258512901365996
base_depth,>50,17,0.15178571428571427,0.29411764705882354,4,1.0,0.0,1.0,9.52980304037225
base_duration,21-65,68,0.6071428571428571,0.5735294117647058,35,0.6857142857142857,0.5714285714285714,0.11428571428571432,2.582118344610303
base_duration,7-20,27,0.24107142857142858,0.37037037037037035,10,0.7,0.6,0.09999999999999998,0.3202247553934223
base_duration,>65,17,0.15178571428571427,0.35294117647058826,6,0.6666666666666666,0.6666666666666666,0.0,4.517116660560694
pullback_depth,15-25,16,0.14285714285714285,0.5,7,1.0,0.2857142857142857,0.7142857142857143,8.512977759866917
pullback_depth,8-15,20,0.17857142857142858,0.8,15,0.8,0.3333333333333333,0.46666666666666673,3.2290425991061618
pullback_depth,<=8,41,0.36607142857142855,0.4634146341463415,17,0.5882352941176471,0.7647058823529411,-0.17647058823529405,-0.8320561805369516
pullback_depth,>25,1,0.008928571428571428,0.0,0,,,,
pullback_depth,MISSING,34,0.30357142857142855,0.35294117647058826,12,0.5,0.8333333333333334,-0.33333333333333337,0.2474186525788606
pullback_duration,4-6,42,0.375,0.5952380952380952,22,0.8636363636363636,0.45454545454545453,0.4090909090909091,3.4251033472413983
pullback_duration,7-10,12,0.10714285714285714,0.5,6,0.8333333333333334,0.5,0.33333333333333337,8.758740836868084
pullback_duration,<=3,22,0.19642857142857142,0.5,10,0.4,0.7,-0.29999999999999993,0.4152708692238049
pullback_duration,>10,2,0.017857142857142856,0.5,1,1.0,0.0,1.0,-0.18540177934975496
pullback_duration,MISSING,34,0.30357142857142855,0.35294117647058826,12,0.5,0.8333333333333334,-0.33333333333333337,0.2474186525788606
entry_volume,MISSING,112,1.0,0.49107142857142855,51,0.6862745098039216,0.5882352941176471,0.0980392156862745,2.3212220113129067
weekly_volume,1.0-1.3,40,0.35714285714285715,0.55,21,0.6190476190476191,0.5714285714285714,0.04761904761904767,1.7707932569366684
weekly_volume,<1.0,39,0.3482142857142857,0.5384615384615384,20,0.7,0.55,0.1499999999999999,1.991909965148734
weekly_volume,>=1.3,33,0.29464285714285715,0.36363636363636365,10,0.8,0.7,0.10000000000000009,3.6999054670057836
eps,<25,30,0.26785714285714285,0.4666666666666667,14,0.8571428571428571,0.5,0.3571428571428571,2.4458202590453615
eps,>=25,74,0.6607142857142857,0.5405405405405406,36,0.6111111111111112,0.6111111111111112,0.0,2.399087131011912
eps,MISSING,8,0.07142857142857142,0.125,1,1.0,1.0,0.0,-3.868756486661007
rs_distance,"(-10,-5]",5,0.044642857142857144,1.0,5,1.0,0.0,1.0,8.573951569232234
rs_distance,<=-10,1,0.008928571428571428,0.0,0,,,,
rs_distance,>-5,106,0.9464285714285714,0.4716981132075472,46,0.6521739130434783,0.6521739130434783,0.0,1.2442246045605805
dry_state,FALSE,38,0.3392857142857143,0.4473684210526316,15,0.6666666666666666,0.6666666666666666,0.0,-0.8320561805369516
dry_state,MISSING,34,0.30357142857142855,0.35294117647058826,12,0.5,0.8333333333333334,-0.33333333333333337,0.2474186525788606
dry_state,TRUE,40,0.35714285714285715,0.65,24,0.7916666666666666,0.4166666666666667,0.37499999999999994,4.4342754027412665
evidence_count,E2,87,0.7767857142857143,0.45977011494252873,38,0.7105263157894737,0.5789473684210527,0.13157894736842102,0.39736919518097435
evidence_count,E3,21,0.1875,0.5714285714285714,12,0.5833333333333334,0.5833333333333334,0.0,3.1417109429654033
evidence_count,E4,4,0.03571428571428571,0.75,1,1.0,1.0,0.0,9.441974192571209
