feature,bucket,rows,sample_share,opportunity_rate,quality_evaluable_rows,persistent_winner_rate,persistent_loser_rate,winner_minus_loser,median_mean_opp_return_2_4w
setup x vs_buy_point,"ceiling | (2,5]",10,0.08928571428571429,0.4,4,0.25,0.75,-0.5,0.9951040131670141
setup x vs_buy_point,"ceiling | [0,2]",12,0.10714285714285714,0.3333333333333333,4,0.75,0.75,0.0,-0.22246321306330064
setup x vs_buy_point,"ceiling_pullback | (2,5]",3,0.026785714285714284,0.0,0,,,,
setup x vs_buy_point,"ceiling_pullback | [0,2]",2,0.017857142857142856,1.0,2,1.0,1.0,0.0,8.997373996530474
setup x vs_buy_point,"ma10_touch_confirm | (2,5]",10,0.08928571428571429,0.6,5,0.4,0.6,-0.19999999999999996,2.4769522507109176
setup x vs_buy_point,"ma10_touch_confirm | [0,2]",14,0.125,0.5,7,0.8571428571428571,0.5714285714285714,0.2857142857142857,-0.8320561805369516
setup x vs_buy_point,"pivot | (2,5]",19,0.16964285714285715,0.5263157894736842,10,0.8,0.6,0.20000000000000007,2.499917928021415
setup x vs_buy_point,"pivot | [0,2]",36,0.32142857142857145,0.5277777777777778,16,0.8125,0.5,0.3125,2.1624278547693665
setup x vs_buy_point,"three_weeks_tight | (2,5]",2,0.017857142857142856,0.5,1,0.0,0.0,0.0,-1.2708462120209856
setup x vs_buy_point,"three_weeks_tight | [0,2]",4,0.03571428571428571,0.5,2,0.0,0.5,-0.5,-0.5422179085054863
setup x base_depth,ceiling | 33-50,3,0.026785714285714284,0.3333333333333333,1,0.0,1.0,-1.0,-6.647192885117318
setup x base_depth,ceiling | <=33,13,0.11607142857142858,0.46153846153846156,6,0.5,0.8333333333333334,-0.33333333333333337,0.9951040131670141
setup x base_depth,ceiling | >50,6,0.05357142857142857,0.16666666666666666,1,1.0,0.0,1.0,10.546628320877582
setup x base_depth,ceiling_pullback | <=33,4,0.03571428571428571,0.5,2,1.0,1.0,0.0,8.997373996530474
setup x base_depth,ceiling_pullback | >50,1,0.008928571428571428,0.0,0,,,,
setup x base_depth,ma10_touch_confirm | 33-50,9,0.08035714285714286,0.6666666666666666,6,0.8333333333333334,0.3333333333333333,0.5,3.0490581730437762
setup x base_depth,ma10_touch_confirm | <=33,12,0.10714285714285714,0.5,6,0.5,0.8333333333333334,-0.33333333333333337,-0.11398603554718117
setup x base_depth,ma10_touch_confirm | >50,3,0.026785714285714284,0.3333333333333333,0,,,,
setup x base_depth,pivot | 33-50,17,0.15178571428571427,0.7647058823529411,12,0.9166666666666666,0.5,0.41666666666666663,4.4342754027412665
setup x base_depth,pivot | <=33,31,0.2767857142857143,0.41935483870967744,11,0.6363636363636364,0.7272727272727273,-0.09090909090909094,-0.18540177934975496
setup x base_depth,pivot | >50,7,0.0625,0.42857142857142855,3,1.0,0.0,1.0,8.512977759866917
setup x base_depth,three_weeks_tight | 33-50,1,0.008928571428571428,1.0,1,0.0,1.0,-1.0,-3.6665541616212756
setup x base_depth,three_weeks_tight | <=33,5,0.044642857142857144,0.4,2,0.0,0.0,0.0,0.6556360662946586
vs_buy_point x rs_distance,"(2,5] | >-5",44,0.39285714285714285,0.4772727272727273,20,0.55,0.6,-0.04999999999999993,2.0460076341247877
vs_buy_point x rs_distance,"[0,2] | (-10,-5]",5,0.044642857142857144,1.0,5,1.0,0.0,1.0,8.573951569232234
vs_buy_point x rs_distance,"[0,2] | <=-10",1,0.008928571428571428,0.0,0,,,,
vs_buy_point x rs_distance,"[0,2] | >-5",62,0.5535714285714286,0.46774193548387094,26,0.7307692307692307,0.6923076923076923,0.038461538461538436,-0.28605164162028845
base_depth x dry_state,33-50 | FALSE,14,0.125,0.6428571428571429,8,0.75,0.75,0.0,-0.961748849629009
base_depth x dry_state,33-50 | MISSING,5,0.044642857142857144,0.2,1,0.0,1.0,-1.0,-6.647192885117318
base_depth x dry_state,33-50 | TRUE,11,0.09821428571428571,1.0,11,0.9090909090909091,0.2727272727272727,0.6363636363636364,8.573951569232234
base_depth x dry_state,<=33 | FALSE,21,0.1875,0.2857142857142857,6,0.5,0.6666666666666666,-0.16666666666666663,-3.4628767550960284
base_depth x dry_state,<=33 | MISSING,22,0.19642857142857142,0.45454545454545453,10,0.5,0.9,-0.4,0.2474186525788606
base_depth x dry_state,<=33 | TRUE,22,0.19642857142857142,0.5909090909090909,11,0.6363636363636364,0.6363636363636364,0.0,1.7707932569366684
base_depth x dry_state,>50 | FALSE,3,0.026785714285714284,0.6666666666666666,1,1.0,0.0,1.0,13.402648365825684
base_depth x dry_state,>50 | MISSING,7,0.0625,0.14285714285714285,1,1.0,0.0,1.0,10.546628320877582
base_depth x dry_state,>50 | TRUE,7,0.0625,0.2857142857142857,2,1.0,0.0,1.0,5.8710101794865395
pullback_depth x dry_state,15-25 | FALSE,8,0.07142857142857142,0.375,2,1.0,0.5,0.5,6.685767733025516
pullback_depth x dry_state,15-25 | TRUE,8,0.07142857142857142,0.625,5,1.0,0.2,0.8,8.512977759866917
pullback_depth x dry_state,8-15 | FALSE,7,0.0625,0.7142857142857143,4,0.75,0.25,0.5,1.1457752356805813
pullback_depth x dry_state,8-15 | TRUE,13,0.11607142857142858,0.8461538461538461,11,0.8181818181818182,0.36363636363636365,0.4545454545454546,3.621164095376635
pullback_depth x dry_state,<=8 | FALSE,23,0.20535714285714285,0.391304347826087,9,0.5555555555555556,0.8888888888888888,-0.33333333333333326,-3.6665541616212756
pullback_depth x dry_state,<=8 | TRUE,18,0.16071428571428573,0.5555555555555556,8,0.625,0.625,0.0,2.21652552374542
pullback_depth x dry_state,>25 | TRUE,1,0.008928571428571428,0.0,0,,,,
pullback_depth x dry_state,MISSING | MISSING,34,0.30357142857142855,0.35294117647058826,12,0.5,0.8333333333333334,-0.33333333333333337,0.2474186525788606
