metric,weeks,block_size,observed_macro_delta,bootstrap_ci_2_5,bootstrap_ci_97_5,prob_delta_gt_0
opportunity_recall_1w,20,4,0.02706835187057634,0.0009813953488372093,0.052249747219413556,0.997
avg_watchlist_size,20,4,0.35,0.1,0.6,0.9975
tradable_winner_capture_lift_2w,20,4,-0.008081447898723637,-0.016506356323632055,-0.0009438236182422233,0.0
tradable_loser_capture_lift_2w,20,4,-0.009979754480978464,-0.01908872883995282,-0.001217035718259707,0.0
opp_severe_loser_exposure_2w,20,4,-0.0024102641544502,-0.0062197879639740074,-0.0001849894291754764,0.0
tradable_winner_capture_lift_3w,20,4,-0.005581960951562273,-0.012169021454735723,-0.0005505637773079636,0.0
tradable_loser_capture_lift_3w,20,4,-0.007933739179050497,-0.01745754870286001,-0.001065607310918637,0.0
opp_severe_loser_exposure_3w,20,4,-0.0029657358145730264,-0.00746336996336997,-0.00031910676532770284,0.0
tradable_winner_capture_lift_4w,20,4,-0.007229136066345362,-0.017467231304440587,-0.0004719118091211116,0.0
tradable_loser_capture_lift_4w,20,4,-0.007880613742810665,-0.018589353908502824,-0.0009820867379006892,0.0
opp_severe_loser_exposure_4w,20,4,-0.003230258113979046,-0.008498168498168502,-0.0002906976744186052,0.0
