variant,selected_count,added,removed,rank_changed,affected_weeks,Jaccard,complete_outcome_count,treatment_contrast,target_rule,audited_weeks,actual_target_trace_changes,non_target_trace_violations,selection_contrast_weeks,baseline_selected_count,variant_selected_count,atomicity_status
B0_PIT_VERIFIED,97,0,0,0,0,1.0,42,NO_TREATMENT_CONTRAST,,,,,,,,
B0 status soft,126,33,4,0,19,0.7289682539682539,62,OK,status,42.0,2738.0,0.0,19.0,97.0,126.0,PASS
B0 status supplemental UNCONFIRMED,126,33,4,0,19,0.7289682539682539,63,OK,status,42.0,2738.0,0.0,19.0,97.0,126.0,PASS
B0 no entry_valid,97,0,0,0,0,1.0,42,NO_TREATMENT_CONTRAST,entry_valid,42.0,0.0,0.0,0.0,97.0,97.0,PASS
B0 close trigger soft,97,0,0,0,0,1.0,42,NO_TREATMENT_CONTRAST,close_trigger,42.0,0.0,0.0,0.0,97.0,97.0,PASS
B0 fresh continuous,97,4,4,10,4,0.95,42,OK,fresh,42.0,2738.0,0.0,7.0,97.0,97.0,PASS
B0 volume soft,97,0,0,0,0,1.0,42,NO_TREATMENT_CONTRAST,volume,42.0,0.0,0.0,0.0,97.0,97.0,PASS
B0 volume route-specific,97,0,0,0,0,1.0,42,NO_TREATMENT_CONTRAST,volume,42.0,2738.0,0.0,0.0,97.0,97.0,PASS
B0 geometry soft,113,16,0,0,12,0.8492063492063492,50,OK,geometry,42.0,2738.0,0.0,12.0,97.0,113.0,PASS
B0 geometry failure only,97,0,0,0,0,1.0,42,NO_TREATMENT_CONTRAST,geometry,42.0,0.0,0.0,0.0,97.0,97.0,PASS
B0 pullback dry hard,76,1,22,1,14,0.7583333333333332,32,OK,pullback_dry,42.0,2738.0,0.0,14.0,97.0,76.0,PASS
B0 pullback dry bonus,97,0,0,0,0,1.0,42,NO_TREATMENT_CONTRAST,pullback_dry,42.0,0.0,0.0,0.0,97.0,97.0,PASS
B0 pullback dry drop,97,2,2,6,2,0.975,42,OK,pullback_dry,42.0,2738.0,0.0,5.0,97.0,97.0,PASS
B0 EPS >=25 hard,84,11,24,5,16,0.7170833333333333,36,OK,eps,42.0,2738.0,0.0,16.0,97.0,84.0,PASS
B0 EPS >=25 bonus,97,0,0,0,0,1.0,42,NO_TREATMENT_CONTRAST,eps,42.0,0.0,0.0,0.0,97.0,97.0,PASS
B0 EPS >=25 drop,97,22,22,24,16,0.7575000000000001,45,OK,eps,42.0,2738.0,0.0,21.0,97.0,97.0,PASS
B0 EPS unknown manual-review,101,5,1,3,5,0.9416666666666667,43,OK,eps,42.0,2738.0,0.0,5.0,97.0,101.0,PASS
B0 no industry cover,99,6,4,0,6,0.9291666666666666,43,OK,industry_cover,42.0,2738.0,0.0,6.0,97.0,99.0,PASS
B0 top1,40,0,57,0,32,0.4958333333333334,18,OK,topk,42.0,2738.0,0.0,32.0,97.0,40.0,PASS
