snapshot_date,signal_events,entry_available,forward_1w_complete,forward_3w_complete,forward_5w_complete,forward_8w_complete,eps_verified,eps_unverified_or_unknown
2025-10-10,12,3,3,3,3,3,8,4
2025-10-24,29,13,13,13,13,13,26,3
2025-10-31,28,13,13,13,13,13,22,6
2025-11-07,15,5,5,5,5,5,14,1
2025-11-14,18,7,7,7,7,7,13,5
2025-11-21,8,5,5,5,5,5,8,0
2025-11-28,36,11,11,11,11,11,30,6
2025-12-05,30,11,11,11,11,11,24,6
2025-12-12,26,12,12,12,12,12,24,2
2025-12-19,19,9,9,9,9,9,16,3
2025-12-26,17,10,10,10,10,10,12,5
2026-01-02,15,8,8,8,8,8,9,6
2026-01-09,40,20,20,20,20,20,32,8
2026-01-16,21,8,8,8,8,8,18,3
2026-01-23,14,6,6,6,6,6,9,5
2026-01-30,17,9,9,9,9,9,14,3
2026-02-13,27,9,9,9,9,9,19,8
2026-02-20,18,8,8,8,8,8,14,4
2026-02-27,27,9,9,9,9,9,21,6
2026-03-06,9,5,5,5,5,5,8,1
2026-03-13,10,3,3,3,3,3,9,1
2026-03-20,8,4,4,4,4,4,8,0
2026-03-27,10,4,4,4,4,4,9,1
2026-04-02,45,25,25,25,25,25,41,4
2026-04-10,69,40,40,40,40,40,63,6
2026-04-17,96,56,56,56,56,56,84,12
2026-04-24,80,40,40,40,40,40,64,16
2026-05-01,105,77,77,77,77,77,88,17
2026-05-08,128,89,89,89,89,89,109,19
2026-05-15,66,43,43,43,43,43,53,13
2026-05-22,87,59,59,59,59,59,76,11
2026-05-29,112,70,70,70,70,70,97,15
2026-06-05,108,87,87,87,87,86,93,15
2026-06-12,268,225,225,225,225,224,239,29
2026-06-18,145,110,110,110,110,110,125,20
2026-06-26,211,169,169,169,169,0,191,20
2026-07-02,120,93,93,93,93,0,105,15
2026-07-10,83,69,69,69,69,0,62,21
2026-07-17,174,148,148,148,147,0,160,14
2026-07-24,106,97,97,97,0,0,89,17
2026-07-31,114,104,104,104,0,0,103,11
2026-08-07,167,158,158,0,0,0,159,8
