total_return_pct,CAGR_pct,max_drawdown_pct,Calmar,Sharpe,Sortino,closed_trades,win_rate,average_win_pct,average_loss_pct,payoff_ratio,expectancy_pct,cash_utilization,average_holding_days,max_concurrent_positions,exit_policy,trades,valuation_start,valuation_as_of
11.292188,14.011962,-8.260313,1.696299,1.011497,1.429233,8,0.375,24.0,-8.0,3.0,4.0,0.863917,78.4,3,ordinary_stop8_profit24_no_power_lock,10,2025-10-27,2026-08-21
37.200153,47.350483,-8.260313,5.732287,2.450734,3.962974,8,0.5,41.274207,-8.0,5.159276,16.637103,0.822615,78.6,3,optimistic_same_day_profit_first_stop8_profit24,10,2025-10-27,2026-08-21
34.173889,43.376836,-9.568276,4.533401,2.00845,3.047844,9,0.444444,30.846021,-7.0,4.406574,9.820454,0.823465,71.363636,3,stop7_profit24,11,2025-10-27,2026-08-21
38.643469,49.252639,-7.943144,6.200648,2.247477,3.303957,8,0.625,29.476817,-7.5,3.930242,15.61051,0.816007,87.444444,3,stop7_5_profit24,9,2025-10-27,2026-08-21
37.200153,47.350483,-8.260313,5.732287,2.450734,3.962974,8,0.5,41.274207,-8.0,5.159276,16.637103,0.822615,78.6,3,main_ibd_power_lock_stop8_profit24,10,2025-10-27,2026-08-21
65.191232,85.003679,-8.260313,10.290613,3.514765,6.275931,13,0.615385,30.072765,-8.482091,3.545442,15.243974,0.74377,48.866667,3,stop8_profit20,15,2025-10-27,2026-08-21
48.14082,61.879222,-8.260313,7.491148,3.25325,5.38713,9,0.555556,36.619365,-8.0,4.577421,16.788536,0.811716,77.8,3,stop8_profit22_5,10,2025-10-27,2026-08-21
38.146819,48.597594,-8.260313,5.883263,2.489316,4.050926,8,0.5,42.024207,-8.0,5.253026,17.012103,0.821835,78.6,3,stop8_profit25,10,2025-10-27,2026-08-21
37.200153,47.350483,-8.260313,5.732287,2.450734,3.962974,8,0.5,41.274207,-8.0,5.159276,16.637103,0.822615,78.6,3,post_lock_resume_profit,10,2025-10-27,2026-08-21
29.058551,36.706185,-8.260313,4.44368,2.145649,3.423865,7,0.428571,42.488068,-8.0,5.311008,13.637743,0.83836,88.0,3,post_lock_week8_close,9,2025-10-27,2026-08-21
37.200153,47.350483,-8.260313,5.732287,2.450734,3.962974,8,0.5,41.274207,-8.0,5.159276,16.637103,0.822615,78.6,3,post_lock_trend_exit,10,2025-10-27,2026-08-21
36.700753,46.693368,-28.141063,1.659261,1.235375,1.569551,6,0.333333,24.0,-8.0,3.0,2.666667,0.882598,99.5,3,post_lock_mtm,8,2025-10-27,2026-08-21
