date,cash,market_value,equity,open_positions,variant,capacity,cost_bps_per_side
2025-10-27,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-10-28,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-10-29,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-10-30,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-10-31,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-03,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-04,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-05,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-06,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-07,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-10,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-11,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-12,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-13,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-14,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-17,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-18,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-19,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-20,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-21,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-24,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-25,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
2025-11-26,100000.0,0.0,100000.0,0,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0
