total_return_pct,CAGR_pct,max_drawdown_pct,Calmar,Sharpe,Sortino,closed_trades,win_rate,average_win_pct,average_loss_pct,payoff_ratio,expectancy_pct,cash_utilization,average_holding_days,max_concurrent_positions,variant,capacity,cost_bps_per_side,trades,skipped_capacity,skipped_cash,repeat_signals_ignored,stop_or_gap_stop,stop_exits,gap_stop_exits,profit_exits,pattern_power_triggers,trade_power_triggers,censored_positions,valuation_start,valuation_as_of
-5.106708,-6.222592,-7.953649,-0.782357,-0.761983,-0.374456,2,0.0,,-8.0,,,0.138424,38.0,3,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,0,3,8,0,0,2,2,0,0,0,0,1,2025-10-27,2026-08-21
-5.262779,-6.411599,-8.013171,-0.800133,-0.784446,-0.385639,2,0.0,,-8.0,,,0.138432,38.0,3,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,10,3,8,0,0,2,2,0,0,0,0,1,2025-10-27,2026-08-21
-5.496301,-6.69427,-8.102453,-0.826203,-0.817645,-0.40206,2,0.0,,-8.0,,,0.138445,38.0,3,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,3,25,3,8,0,0,2,2,0,0,0,0,1,2025-10-27,2026-08-21
3.399525,4.182544,-3.548693,1.178615,0.560045,0.335902,2,0.0,,-8.0,,,0.134818,36.166667,6,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,6,0,6,4,0,0,2,2,0,0,0,0,4,2025-10-27,2026-08-21
3.265592,4.017168,-3.580163,1.122063,0.538471,0.322533,2,0.0,,-8.0,,,0.134816,36.166667,6,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,6,10,6,4,0,0,2,2,0,0,0,0,4,2025-10-27,2026-08-21
3.065195,3.769813,-3.627329,1.039281,0.506333,0.302595,2,0.0,,-8.0,,,0.134813,36.166667,6,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,6,25,6,4,0,0,2,2,0,0,0,0,4,2025-10-27,2026-08-21
4.223783,5.201378,-2.147126,2.422483,0.975465,0.591338,3,0.333333,24.0,-8.0,3.0,2.666667,0.106863,31.666667,9,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,10,0,9,0,0,0,2,2,0,1,0,0,6,2025-10-27,2026-08-21
4.098884,5.046878,-2.165591,2.330485,0.946684,0.572723,3,0.333333,24.0,-8.0,3.0,2.666667,0.106847,31.666667,9,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,10,10,9,0,0,0,2,2,0,1,0,0,6,2025-10-27,2026-08-21
3.912003,4.815784,-2.193247,2.195732,0.903558,0.544889,3,0.333333,24.0,-8.0,3.0,2.666667,0.106823,31.666667,9,B0_FOR_R1_ATOMIC_IMPROVEMENTS_BLOCKED,10,25,9,0,0,0,2,2,0,1,0,0,6,2025-10-27,2026-08-21
37.200153,47.350483,-8.260313,5.732287,2.450734,3.962974,8,0.5,41.274207,-8.0,5.159276,16.637103,0.822615,78.6,3,B0_PIT_VERIFIED,3,0,10,74,0,0,4,4,0,4,1,1,2,2025-10-27,2026-08-21
36.422798,46.327868,-8.350389,5.547989,2.408472,3.881378,8,0.5,41.274207,-8.0,5.159276,16.637103,0.823251,78.6,3,B0_PIT_VERIFIED,3,10,10,74,0,0,4,4,0,4,1,1,2,2025-10-27,2026-08-21
35.263239,44.804905,-8.638659,5.186558,2.344787,3.75856,8,0.5,41.274207,-8.0,5.159276,16.637103,0.82421,78.6,3,B0_PIT_VERIFIED,3,25,10,74,0,0,4,4,0,4,1,1,2,2025-10-27,2026-08-21
41.54745,53.093337,-4.042454,13.133937,3.738994,6.427104,13,0.615385,33.072765,-8.0,4.134096,17.275548,0.80108,90.352941,6,B0_PIT_VERIFIED,6,0,17,57,0,0,5,5,0,8,2,2,4,2025-10-27,2026-08-21
40.955152,52.308529,-4.107293,12.735524,3.691154,6.341,13,0.615385,33.072765,-8.0,4.134096,17.275548,0.801783,90.352941,6,B0_PIT_VERIFIED,6,10,17,57,0,0,5,5,0,8,2,2,4,2025-10-27,2026-08-21
40.06978,51.13678,-4.209171,12.148896,3.619034,6.20954,13,0.615385,33.072765,-8.0,4.134096,17.275548,0.802845,90.352941,6,B0_PIT_VERIFIED,6,25,17,57,0,0,5,5,0,8,2,2,4,2025-10-27,2026-08-21
39.052946,49.793108,-2.948964,16.88495,3.930369,7.009954,24,0.541667,32.721502,-8.188913,3.99583,13.970895,0.685779,69.870968,10,B0_PIT_VERIFIED,10,0,31,36,0,2,11,10,1,13,4,4,7,2025-10-27,2026-08-21
38.450829,48.998498,-2.96118,16.546949,3.872463,6.913518,24,0.541667,32.721502,-8.188913,3.99583,13.970895,0.686828,69.870968,10,B0_PIT_VERIFIED,10,10,31,36,0,2,11,10,1,13,4,4,7,2025-10-27,2026-08-21
37.551399,47.812979,-2.979548,16.04706,3.785495,6.765969,24,0.541667,32.721502,-8.188913,3.99583,13.970895,0.688408,69.870968,10,B0_PIT_VERIFIED,10,25,31,36,0,2,11,10,1,13,4,4,7,2025-10-27,2026-08-21
43.85161,56.153428,-5.958785,9.423638,2.923679,3.801176,7,0.571429,42.145531,-8.803485,4.787369,20.310238,0.497089,54.222222,3,B0_PIT_VERIFIED_BLOCKED,3,0,9,54,0,0,3,2,1,4,2,2,2,2025-10-27,2026-08-21
43.142821,55.210919,-6.0528,9.12155,2.884383,3.738843,7,0.571429,42.145531,-8.803485,4.787369,20.310238,0.497949,54.222222,3,B0_PIT_VERIFIED_BLOCKED,3,10,9,54,0,0,3,2,1,4,2,2,2,2025-10-27,2026-08-21
42.086636,53.808414,-6.19284,8.688811,2.825067,3.644542,7,0.571429,42.145531,-8.803485,4.787369,20.310238,0.499242,54.222222,3,B0_PIT_VERIFIED_BLOCKED,3,25,9,54,0,0,3,2,1,4,2,2,2,2025-10-27,2026-08-21
