variant,date,code,event,signal_date,price
actionable_only_pool_order,2025-10-10,CORZ,entry_missing,2025-10-10,
actionable_only_pool_order,2025-10-10,VRT,entry_missing,2025-10-10,
actionable_only_pool_order,2025-10-13,ALM,entry,2025-10-10,8.2
actionable_only_pool_order,2025-10-14,ALM,power_trigger,2025-10-10,9.288
actionable_only_pool_order,2025-10-17,ALM,stop_loss,2025-10-10,7.585
actionable_only_pool_order,2025-10-24,COF,entry_missing,2025-10-24,
actionable_only_pool_order,2025-10-24,BKR,entry_missing,2025-10-24,
actionable_only_pool_order,2025-10-27,AAPL,entry,2025-10-24,263.91
actionable_only_pool_order,2026-01-20,AAPL,stop_loss,2025-10-24,244.11675000000002
actionable_only_pool_order,2025-11-03,AMZN,entry,2025-10-31,255.36
actionable_only_pool_order,2025-11-14,AMZN,gap_stop,2025-10-31,235.06
actionable_only_pool_order,2025-11-03,VTR,entry,2025-10-31,71.73
actionable_only_pool_order,2026-04-30,VTR,profit_take,2025-10-31,87.86925000000001
actionable_only_pool_order,2025-10-31,LKNCY,entry_missing,2025-10-31,
actionable_only_pool_order,2025-11-07,COLL,entry_missing,2025-11-07,
actionable_only_pool_order,2025-11-17,ALL,entry,2025-11-14,211.99
actionable_only_pool_order,2026-01-13,ALL,stop_loss,2025-11-14,196.09075
actionable_only_pool_order,2025-11-14,LYFT,entry_missing,2025-11-14,
actionable_only_pool_order,2025-11-17,LH,entry,2025-11-14,263.62
actionable_only_pool_order,2026-01-05,LH,stop_loss,2025-11-14,243.84850000000003
actionable_only_pool_order,2025-11-21,WMT,entry_missing,2025-11-21,
actionable_only_pool_order,2025-11-24,GOOG,entry,2025-11-21,310.4
actionable_only_pool_order,2026-03-26,GOOG,gap_stop,2025-11-21,286.02
actionable_only_pool_order,2025-11-28,MNST,entry_missing,2025-11-28,
actionable_only_pool_order,2025-11-28,WFC,entry_missing,2025-11-28,
actionable_only_pool_order,2025-12-01,ROST,entry,2025-11-28,174.38
actionable_only_pool_order,2026-03-04,ROST,profit_take,2025-11-28,213.6155
actionable_only_pool_order,2025-12-05,DASH,entry_missing,2025-12-05,
actionable_only_pool_order,2025-12-15,ROKU,entry,2025-12-12,107.44
actionable_only_pool_order,2026-01-29,ROKU,stop_loss,2025-12-12,99.382
actionable_only_pool_order,2025-12-22,HLT,entry,2025-12-19,292.26
actionable_only_pool_order,2025-12-19,MNST,entry_missing,2025-12-19,
actionable_only_pool_order,2025-12-22,LLY,entry,2025-12-19,1071.54
actionable_only_pool_order,2026-02-03,LLY,stop_loss,2025-12-19,991.1745
actionable_only_pool_order,2025-12-29,HEI,entry,2025-12-26,333.96
actionable_only_pool_order,2026-02-26,HEI,stop_loss,2025-12-26,308.913
actionable_only_pool_order,2025-12-26,HUT,entry_missing,2025-12-26,
actionable_only_pool_order,2026-01-05,ASML,entry,2026-01-02,1205.43
actionable_only_pool_order,2026-01-16,ASML,power_trigger,2026-01-02,1361.016
actionable_only_pool_order,2026-01-02,FTAI,entry_missing,2026-01-02,
actionable_only_pool_order,2026-01-09,VALE,entry_missing,2026-01-09,
actionable_only_pool_order,2026-01-12,GH,entry,2026-01-09,113.0
actionable_only_pool_order,2026-01-12,GH,stop_loss,2026-01-09,104.525
actionable_only_pool_order,2026-01-12,TROW,entry,2026-01-09,105.12
actionable_only_pool_order,2026-02-04,TROW,gap_stop,2026-01-09,95.27
actionable_only_pool_order,2026-01-16,SHEL,entry_missing,2026-01-16,
actionable_only_pool_order,2026-01-16,WMT,entry_missing,2026-01-16,
actionable_only_pool_order,2026-01-16,BKR,entry_missing,2026-01-16,
actionable_only_pool_order,2026-01-26,MTB,entry,2026-01-23,210.87
actionable_only_pool_order,2026-03-13,MTB,stop_loss,2026-01-23,195.05475
actionable_only_pool_order,2026-01-23,NU,entry_missing,2026-01-23,
actionable_only_pool_order,2026-01-23,BKR,entry_missing,2026-01-23,
actionable_only_pool_order,2026-02-02,PFG,entry,2026-01-30,92.99
actionable_only_pool_order,2026-03-12,PFG,gap_stop,2026-01-30,85.97
actionable_only_pool_order,2026-01-30,HON,entry_missing,2026-01-30,
actionable_only_pool_order,2026-02-02,KO,entry,2026-01-30,74.02
actionable_only_pool_order,2026-07-29,KO,profit_take,2026-01-30,90.6745
actionable_only_pool_order,2026-02-13,MAS,entry_missing,2026-02-13,
actionable_only_pool_order,2026-02-13,NATL,entry_missing,2026-02-13,
actionable_only_pool_order,2026-02-13,WULF,entry_missing,2026-02-13,
actionable_only_pool_order,2026-02-23,FANG,entry,2026-02-20,173.31
actionable_only_pool_order,2026-08-19,FANG,profit_take,2026-02-20,212.30475
actionable_only_pool_order,2026-02-20,HEI,repeat_signal_ignored,2026-02-20,
actionable_only_pool_order,2026-02-20,PAC,entry_missing,2026-02-20,
actionable_only_pool_order,2026-02-27,VVX,entry_missing,2026-02-27,
actionable_only_pool_order,2026-02-27,EQIX,entry_missing,2026-02-27,
actionable_only_pool_order,2026-03-02,JNJ,entry,2026-02-27,247.77
actionable_only_pool_order,2026-04-20,JNJ,stop_loss,2026-02-27,229.18725000000003
actionable_only_pool_order,2026-03-09,MPC,entry,2026-03-06,222.1
actionable_only_pool_order,2026-07-08,MPC,profit_take,2026-03-06,272.0725
actionable_only_pool_order,2026-03-09,LMT,entry,2026-03-06,671.19
actionable_only_pool_order,2026-03-19,LMT,stop_loss,2026-03-06,620.8507500000001
actionable_only_pool_order,2026-03-06,FIGS,entry_missing,2026-03-06,
actionable_only_pool_order,2026-03-13,NYAX,entry_missing,2026-03-13,
actionable_only_pool_order,2026-03-16,DOCN,entry,2026-03-13,69.36
actionable_only_pool_order,2026-03-18,DOCN,power_trigger,2026-03-13,79.512
actionable_only_pool_order,2026-03-20,BTU,entry_missing,2026-03-20,
actionable_only_pool_order,2026-03-23,STX,entry,2026-03-20,418.97
actionable_only_pool_order,2026-03-26,STX,stop_loss,2026-03-20,387.54725
