eps_mode,variant,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date
no_eps,v3_core_top3,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,skill_industry_eps_known,backtrader,10000.0,8.0,0,0,0,10000.0,0.0,0.0,0,0,0,,
no_eps,clean_eps_pass_no_dry_no_geom_caution,backtrader,10000.0,8.0,0,0,0,10000.0,0.0,0.0,0,0,0,,
no_eps,signal_shadow_top3,backtrader,10000.0,8.0,126,111,74,10734.442,7.344419999999996,-18.84292589639459,142,7,42,2025-10-10,2026-08-21
no_eps,research_fresh_demand_proximity_first,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21
no_eps,research_pullback_vcp_lane_interleave,backtrader,10000.0,8.0,101,96,66,10728.773999999998,7.287739999999987,-19.619746896935474,135,11,40,2025-10-24,2026-08-21
no_eps,research_proximity_structural_floor_guard,backtrader,10000.0,8.0,83,82,49,14722.627199999999,47.22627199999998,-14.748445951400669,83,2,36,2025-10-24,2026-08-21
no_eps,research_proximity_eps_known_floor_guard,backtrader,10000.0,8.0,0,0,0,10000.0,0.0,0.0,0,0,0,,
no_eps,research_proximity_eps_pass_floor_guard,backtrader,10000.0,8.0,0,0,0,10000.0,0.0,0.0,0,0,0,,
no_eps,signal_core_quality_top3,backtrader,10000.0,8.0,101,97,61,13651.948000000008,36.51948000000007,-16.990857121873383,118,7,40,2025-10-24,2026-08-21
no_eps,signal_core_quality_no_industry,backtrader,10000.0,8.0,106,100,62,13354.292000000009,33.54292000000007,-19.920964222031333,121,7,40,2025-10-24,2026-08-21
no_eps,signal_core_quality_eps_known,backtrader,10000.0,8.0,0,0,0,10000.0,0.0,0.0,0,0,0,,
no_eps,signal_core_quality_eps_pass,backtrader,10000.0,8.0,0,0,0,10000.0,0.0,0.0,0,0,0,,
no_eps,signal_core_quality_proximity_eps_known,backtrader,10000.0,8.0,0,0,0,10000.0,0.0,0.0,0,0,0,,
with_eps,v3_core_top3,backtrader,10000.0,8.0,106,103,65,14632.386800000004,46.32386800000003,-16.901371762076632,111,6,40,2025-10-24,2026-08-21
with_eps,skill_industry_eps_known,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,clean_eps_pass_no_dry_no_geom_caution,backtrader,10000.0,8.0,88,82,53,18198.789999999997,81.98789999999998,-6.608368436601408,113,2,38,2025-10-24,2026-08-21
with_eps,signal_shadow_top3,backtrader,10000.0,8.0,126,109,69,11966.554000000004,19.66554000000005,-13.944687858452486,130,5,42,2025-10-10,2026-08-21
with_eps,research_fresh_demand_proximity_first,backtrader,10000.0,8.0,101,98,61,14947.525599999997,49.47525599999998,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,research_pullback_vcp_lane_interleave,backtrader,10000.0,8.0,101,97,65,13523.248400000006,35.232484000000056,-17.92029644534583,124,8,40,2025-10-24,2026-08-21
with_eps,research_proximity_structural_floor_guard,backtrader,10000.0,8.0,83,81,51,15324.3828,53.24382800000001,-10.012803087239009,95,1,36,2025-10-24,2026-08-21
with_eps,research_proximity_eps_known_floor_guard,backtrader,10000.0,8.0,82,80,51,15492.812799999996,54.92812799999995,-10.012803087239009,93,1,36,2025-10-24,2026-08-21
with_eps,research_proximity_eps_pass_floor_guard,backtrader,10000.0,8.0,67,62,42,17438.250799999998,74.38250799999997,-3.8701103690391037,86,1,31,2025-10-24,2026-08-21
with_eps,signal_core_quality_top3,backtrader,10000.0,8.0,101,98,61,15311.3128,53.11312799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,signal_core_quality_no_industry,backtrader,10000.0,8.0,106,103,65,14632.386800000004,46.32386800000003,-16.901371762076632,111,6,40,2025-10-24,2026-08-21
with_eps,signal_core_quality_eps_known,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,signal_core_quality_eps_pass,backtrader,10000.0,8.0,88,84,54,16364.43,63.64430000000001,-11.268163007446198,110,3,38,2025-10-24,2026-08-21
with_eps,signal_core_quality_proximity_eps_known,backtrader,10000.0,8.0,101,98,62,15309.675599999999,53.09675599999999,-16.901371762076632,115,5,40,2025-10-24,2026-08-21
