eps_mode,baseline_variant,variant,absorption_status,week_coverage_ratio,pick_coverage_ratio,median_delta,floor_delta,bottom5_delta,stop_delta,decision_reason
with_eps,skill_industry_eps_known,research_fresh_demand_proximity_first,audit_only,1.0,1.0,0.368235,-8.147756,0.009901,-0.009901,"audit_only: failed weekly_floor,bottom5"
with_eps,skill_industry_eps_known,signal_shadow_top3,audit_only,1.05,1.2475247524752475,5.222142,-8.147756,0.081644,0.057834,"audit_only: failed weekly_floor,bottom5,stop"
with_eps,skill_industry_eps_known,v3_core_top3,audit_only,1.0,1.0495049504950495,0.835909,-8.147756,0.002429,0.011863,"audit_only: failed weekly_floor,bottom5,stop"
with_eps,skill_industry_eps_known,clean_eps_pass_no_dry_no_geom_caution,high_confidence_audit,0.95,0.8712871287128713,-0.811893,0.0,-0.000788,-0.000788,high_confidence_audit: failed median
with_eps,skill_industry_eps_known,research_proximity_eps_known_floor_guard,high_confidence_audit,0.9,0.8118811881188119,-0.634716,6.255138,-0.038759,-0.050954,high_confidence_audit: failed median
with_eps,skill_industry_eps_known,research_proximity_eps_pass_floor_guard,high_confidence_audit,0.775,0.6633663366336634,-0.811893,5.479786,-0.044037,-0.044037,high_confidence_audit: failed median
with_eps,skill_industry_eps_known,research_proximity_structural_floor_guard,reject_quality,0.9,0.8217821782178217,-0.634716,-8.147756,-0.028033,-0.040081,"reject_quality: failed median,weekly_floor"
with_eps,skill_industry_eps_known,research_pullback_vcp_lane_interleave,reject_quality,1.0,1.0,-1.554825,-5.219395,0.029703,0.039604,"reject_quality: failed median,weekly_floor,bottom5,stop"
no_eps,v3_core_top3,research_fresh_demand_proximity_first,audit_only,1.0,0.9528301886792453,2.470081,0.0,0.007939,0.008407,"audit_only: failed bottom5,stop"
no_eps,v3_core_top3,research_pullback_vcp_lane_interleave,audit_only,1.0,0.9528301886792453,0.041438,9.932099,0.01784,0.038109,"audit_only: failed bottom5,stop"
no_eps,v3_core_top3,signal_shadow_top3,audit_only,1.05,1.1886792452830188,6.989365,0.0,0.077718,0.036538,"audit_only: failed bottom5,stop"
no_eps,v3_core_top3,research_proximity_structural_floor_guard,candidate_absorbable,0.9,0.7830188679245284,2.846588,0.0,-0.039895,-0.037281,candidate_absorbable: non-coupled factor gates pass against baseline
no_eps,v3_core_top3,clean_eps_pass_no_dry_no_geom_caution,reject_low_coverage,0.0,0.0,,,-0.160377,-0.169811,"reject_low_coverage: failed coverage,median,weekly_floor"
no_eps,v3_core_top3,research_proximity_eps_known_floor_guard,reject_low_coverage,0.0,0.0,,,-0.160377,-0.169811,"reject_low_coverage: failed coverage,median,weekly_floor"
no_eps,v3_core_top3,research_proximity_eps_pass_floor_guard,reject_low_coverage,0.0,0.0,,,-0.160377,-0.169811,"reject_low_coverage: failed coverage,median,weekly_floor"
no_eps,v3_core_top3,skill_industry_eps_known,reject_low_coverage,0.0,0.0,,,-0.160377,-0.169811,"reject_low_coverage: failed coverage,median,weekly_floor"
